county,precinct,office,district,party,candidate,election_day,mail,canvass,votes
Sonoma,1126 MB,Registered Voters,,,,,,,12
Sonoma,1127,Registered Voters,,,,,,,455
Sonoma,1128,Registered Voters,,,,,,,1403
Sonoma,1129 MB,Registered Voters,,,,,,,13
Sonoma,1130 MB,Registered Voters,,,,,,,200
Sonoma,1132,Registered Voters,,,,,,,1039
Sonoma,1133 MB,Registered Voters,,,,,,,185
Sonoma,1134 MB,Registered Voters,,,,,,,115
Sonoma,1135 MB,Registered Voters,,,,,,,4
Sonoma,1136,Registered Voters,,,,,,,1119
Sonoma,1137,Registered Voters,,,,,,,1295
Sonoma,1144 MB,Registered Voters,,,,,,,4
Sonoma,1145 MB,Registered Voters,,,,,,,203
Sonoma,1146 MB,Registered Voters,,,,,,,151
Sonoma,1147 MB,Registered Voters,,,,,,,37
Sonoma,1148 MB,Registered Voters,,,,,,,163
Sonoma,1802,Registered Voters,,,,,,,567
Sonoma,1806,Registered Voters,,,,,,,769
Sonoma,1807 MB,Registered Voters,,,,,,,183
Sonoma,1808 MB,Registered Voters,,,,,,,226
Sonoma,1809 MB,Registered Voters,,,,,,,119
Sonoma,1810,Registered Voters,,,,,,,467
Sonoma,1811 MB,Registered Voters,,,,,,,125
Sonoma,1812 MB,Registered Voters,,,,,,,0
Sonoma,1813,Registered Voters,,,,,,,300
Sonoma,1814 MB,Registered Voters,,,,,,,0
Sonoma,1815 MB,Registered Voters,,,,,,,236
Sonoma,1816,Registered Voters,,,,,,,491
Sonoma,1817,Registered Voters,,,,,,,533
Sonoma,1818,Registered Voters,,,,,,,450
Sonoma,2007 MB,Registered Voters,,,,,,,17
Sonoma,2012 MB,Registered Voters,,,,,,,1
Sonoma,2014 MB,Registered Voters,,,,,,,0
Sonoma,2015 MB,Registered Voters,,,,,,,211
Sonoma,2016 MB,Registered Voters,,,,,,,197
Sonoma,2020 MB,Registered Voters,,,,,,,228
Sonoma,2022 MB,Registered Voters,,,,,,,142
Sonoma,2023 MB,Registered Voters,,,,,,,232
Sonoma,2026 MB,Registered Voters,,,,,,,11
Sonoma,2027 MB,Registered Voters,,,,,,,8
Sonoma,2028 MB,Registered Voters,,,,,,,8
Sonoma,2029 MB,Registered Voters,,,,,,,9
Sonoma,2032 MB,Registered Voters,,,,,,,12
Sonoma,2034 MB,Registered Voters,,,,,,,17
Sonoma,2036 MB,Registered Voters,,,,,,,15
Sonoma,2037 MB,Registered Voters,,,,,,,0
Sonoma,2038 MB,Registered Voters,,,,,,,17
Sonoma,2039 MB,Registered Voters,,,,,,,9
Sonoma,2041 MB,Registered Voters,,,,,,,12
Sonoma,2042 MB,Registered Voters,,,,,,,22
Sonoma,2301,Registered Voters,,,,,,,846
Sonoma,2304 MB,Registered Voters,,,,,,,10
Sonoma,2305 MB,Registered Voters,,,,,,,10
Sonoma,2306 MB,Registered Voters,,,,,,,11
Sonoma,2307,Registered Voters,,,,,,,442
Sonoma,2308,Registered Voters,,,,,,,533
Sonoma,2309,Registered Voters,,,,,,,427
Sonoma,2310,Registered Voters,,,,,,,821
Sonoma,2311 MB,Registered Voters,,,,,,,167
Sonoma,2312,Registered Voters,,,,,,,397
Sonoma,2502,Registered Voters,,,,,,,2092
Sonoma,2503,Registered Voters,,,,,,,1062
Sonoma,2504,Registered Voters,,,,,,,2126
Sonoma,2505 MB,Registered Voters,,,,,,,195
Sonoma,2506 MB,Registered Voters,,,,,,,3
Sonoma,2508,Registered Voters,,,,,,,1596
Sonoma,2509,Registered Voters,,,,,,,1622
Sonoma,2511 MB,Registered Voters,,,,,,,177
Sonoma,2512 MB,Registered Voters,,,,,,,35
Sonoma,2513 MB,Registered Voters,,,,,,,81
Sonoma,2514,Registered Voters,,,,,,,2521
Sonoma,2515,Registered Voters,,,,,,,990
Sonoma,2517 MB,Registered Voters,,,,,,,258
Sonoma,2519,Registered Voters,,,,,,,2439
Sonoma,2520,Registered Voters,,,,,,,2383
Sonoma,2523,Registered Voters,,,,,,,2167
Sonoma,2530,Registered Voters,,,,,,,2089
Sonoma,2531,Registered Voters,,,,,,,1660
Sonoma,2536,Registered Voters,,,,,,,928
Sonoma,2540,Registered Voters,,,,,,,2991
Sonoma,2601,Registered Voters,,,,,,,786
Sonoma,2602 MB,Registered Voters,,,,,,,241
Sonoma,2603 MB,Registered Voters,,,,,,,0
Sonoma,2604 MB,Registered Voters,,,,,,,20
Sonoma,2605 MB,Registered Voters,,,,,,,155
Sonoma,2606,Registered Voters,,,,,,,912
Sonoma,2607 MB,Registered Voters,,,,,,,241
Sonoma,2608 MB,Registered Voters,,,,,,,191
Sonoma,2609 MB,Registered Voters,,,,,,,249
Sonoma,2610 MB,Registered Voters,,,,,,,192
Sonoma,2611 MB,Registered Voters,,,,,,,211
Sonoma,2612 MB,Registered Voters,,,,,,,159
Sonoma,2613 MB,Registered Voters,,,,,,,149
Sonoma,2614,Registered Voters,,,,,,,284
Sonoma,2615,Registered Voters,,,,,,,698
Sonoma,2616,Registered Voters,,,,,,,510
Sonoma,2617,Registered Voters,,,,,,,387
Sonoma,2618,Registered Voters,,,,,,,427
Sonoma,2619,Registered Voters,,,,,,,547
Sonoma,3001 MB,Registered Voters,,,,,,,10
Sonoma,3002 MB,Registered Voters,,,,,,,3
Sonoma,3003 MB,Registered Voters,,,,,,,176
Sonoma,3005 MB,Registered Voters,,,,,,,163
Sonoma,3006 MB,Registered Voters,,,,,,,25
Sonoma,3011,Registered Voters,,,,,,,1142
Sonoma,3016 MB,Registered Voters,,,,,,,105
Sonoma,3017 MB,Registered Voters,,,,,,,104
Sonoma,3021 MB,Registered Voters,,,,,,,140
Sonoma,3024 MB,Registered Voters,,,,,,,33
Sonoma,3102 MB,Registered Voters,,,,,,,111
Sonoma,3103,Registered Voters,,,,,,,2213
Sonoma,3104 MB,Registered Voters,,,,,,,60
Sonoma,3105 MB,Registered Voters,,,,,,,235
Sonoma,3106,Registered Voters,,,,,,,457
Sonoma,3107,Registered Voters,,,,,,,430
Sonoma,3108,Registered Voters,,,,,,,1179
Sonoma,3110,Registered Voters,,,,,,,1377
Sonoma,3111 MB,Registered Voters,,,,,,,42
Sonoma,3113,Registered Voters,,,,,,,1131
Sonoma,3114 MB,Registered Voters,,,,,,,2
Sonoma,3117 MB,Registered Voters,,,,,,,191
Sonoma,3118 MB,Registered Voters,,,,,,,14
Sonoma,3119 MB,Registered Voters,,,,,,,236
Sonoma,3121 MB,Registered Voters,,,,,,,89
Sonoma,3122,Registered Voters,,,,,,,537
Sonoma,3123,Registered Voters,,,,,,,551
Sonoma,3124,Registered Voters,,,,,,,1233
Sonoma,3125 MB,Registered Voters,,,,,,,222
Sonoma,3126 MB,Registered Voters,,,,,,,233
Sonoma,3127 MB,Registered Voters,,,,,,,111
Sonoma,3128,Registered Voters,,,,,,,2206
Sonoma,3129,Registered Voters,,,,,,,937
Sonoma,3130 MB,Registered Voters,,,,,,,24
Sonoma,3131,Registered Voters,,,,,,,644
Sonoma,3132,Registered Voters,,,,,,,531
Sonoma,3133 MB,Registered Voters,,,,,,,239
Sonoma,3134,Registered Voters,,,,,,,422
Sonoma,3135,Registered Voters,,,,,,,887
Sonoma,3136,Registered Voters,,,,,,,1124
Sonoma,3137 MB,Registered Voters,,,,,,,0
Sonoma,3138 MB,Registered Voters,,,,,,,0
Sonoma,3139 MB,Registered Voters,,,,,,,162
Sonoma,3140 MB,Registered Voters,,,,,,,167
Sonoma,3141 MB,Registered Voters,,,,,,,273
Sonoma,3142,Registered Voters,,,,,,,2057
Sonoma,3143 MB,Registered Voters,,,,,,,136
Sonoma,3145,Registered Voters,,,,,,,309
Sonoma,3146 MB,Registered Voters,,,,,,,235
Sonoma,3147 MB,Registered Voters,,,,,,,216
Sonoma,3148 MB,Registered Voters,,,,,,,262
Sonoma,3149 MB,Registered Voters,,,,,,,153
Sonoma,3150 MB,Registered Voters,,,,,,,148
Sonoma,3151 MB,Registered Voters,,,,,,,155
Sonoma,3152 MB,Registered Voters,,,,,,,152
Sonoma,3153 MB,Registered Voters,,,,,,,202
Sonoma,3154 MB,Registered Voters,,,,,,,9
Sonoma,3155 MB,Registered Voters,,,,,,,3
Sonoma,3156 MB,Registered Voters,,,,,,,11
Sonoma,3157 MB,Registered Voters,,,,,,,152
Sonoma,3158 MB,Registered Voters,,,,,,,7
Sonoma,3601 MB,Registered Voters,,,,,,,220
Sonoma,3602,Registered Voters,,,,,,,1028
Sonoma,3603,Registered Voters,,,,,,,973
Sonoma,3604,Registered Voters,,,,,,,743
Sonoma,3605,Registered Voters,,,,,,,763
Sonoma,3606,Registered Voters,,,,,,,418
Sonoma,3607,Registered Voters,,,,,,,336
Sonoma,3608,Registered Voters,,,,,,,442
Sonoma,3609,Registered Voters,,,,,,,966
Sonoma,3610,Registered Voters,,,,,,,679
Sonoma,3611,Registered Voters,,,,,,,430
Sonoma,3612,Registered Voters,,,,,,,661
Sonoma,3613,Registered Voters,,,,,,,379
Sonoma,3614,Registered Voters,,,,,,,345
Sonoma,3615,Registered Voters,,,,,,,370
Sonoma,3616,Registered Voters,,,,,,,536
Sonoma,3617 MB,Registered Voters,,,,,,,19
Sonoma,3618,Registered Voters,,,,,,,1003
Sonoma,3619,Registered Voters,,,,,,,998
Sonoma,3621 MB,Registered Voters,,,,,,,0
Sonoma,3622,Registered Voters,,,,,,,918
Sonoma,3623,Registered Voters,,,,,,,782
Sonoma,3624 MB,Registered Voters,,,,,,,125
Sonoma,3625,Registered Voters,,,,,,,405
Sonoma,3626,Registered Voters,,,,,,,316
Sonoma,3627 MB,Registered Voters,,,,,,,38
Sonoma,3628,Registered Voters,,,,,,,566
Sonoma,3629,Registered Voters,,,,,,,371
Sonoma,3630,Registered Voters,,,,,,,610
Sonoma,3631,Registered Voters,,,,,,,893
Sonoma,3632,Registered Voters,,,,,,,300
Sonoma,3633 MB,Registered Voters,,,,,,,258
Sonoma,3634,Registered Voters,,,,,,,606
Sonoma,3635,Registered Voters,,,,,,,297
Sonoma,3636,Registered Voters,,,,,,,657
Sonoma,3637,Registered Voters,,,,,,,351
Sonoma,4005 MB,Registered Voters,,,,,,,131
Sonoma,4012 MB,Registered Voters,,,,,,,18
Sonoma,4013 MB,Registered Voters,,,,,,,128
Sonoma,4015,Registered Voters,,,,,,,329
Sonoma,4017 MB,Registered Voters,,,,,,,89
Sonoma,4018 MB,Registered Voters,,,,,,,18
Sonoma,4019 MB,Registered Voters,,,,,,,4
Sonoma,4021 MB,Registered Voters,,,,,,,158
Sonoma,4023 MB,Registered Voters,,,,,,,1
Sonoma,4027 MB,Registered Voters,,,,,,,169
Sonoma,4030 MB,Registered Voters,,,,,,,3
Sonoma,4037 MB,Registered Voters,,,,,,,85
Sonoma,4039 MB,Registered Voters,,,,,,,31
Sonoma,4051,Registered Voters,,,,,,,305
Sonoma,4052 MB,Registered Voters,,,,,,,5
Sonoma,4054 MB,Registered Voters,,,,,,,0
Sonoma,4064 MB,Registered Voters,,,,,,,54
Sonoma,4065 MB,Registered Voters,,,,,,,11
Sonoma,4066 MB,Registered Voters,,,,,,,7
Sonoma,4067 MB,Registered Voters,,,,,,,55
Sonoma,4070 MB,Registered Voters,,,,,,,4
Sonoma,4072 MB,Registered Voters,,,,,,,2
Sonoma,4073 MB,Registered Voters,,,,,,,0
Sonoma,4074 MB,Registered Voters,,,,,,,161
Sonoma,4101 MB,Registered Voters,,,,,,,0
Sonoma,4102 MB,Registered Voters,,,,,,,53
Sonoma,4103,Registered Voters,,,,,,,1539
Sonoma,4104 MB,Registered Voters,,,,,,,200
Sonoma,4105,Registered Voters,,,,,,,885
Sonoma,4106 MB,Registered Voters,,,,,,,133
Sonoma,4107,Registered Voters,,,,,,,1203
Sonoma,4108,Registered Voters,,,,,,,1354
Sonoma,4109,Registered Voters,,,,,,,1028
Sonoma,4110,Registered Voters,,,,,,,2052
Sonoma,4111,Registered Voters,,,,,,,839
Sonoma,4112,Registered Voters,,,,,,,874
Sonoma,4113 MB,Registered Voters,,,,,,,138
Sonoma,4127,Registered Voters,,,,,,,1566
Sonoma,4128 MB,Registered Voters,,,,,,,119
Sonoma,4129 MB,Registered Voters,,,,,,,85
Sonoma,4201,Registered Voters,,,,,,,2112
Sonoma,4203,Registered Voters,,,,,,,1165
Sonoma,4204,Registered Voters,,,,,,,1942
Sonoma,4401,Registered Voters,,,,,,,1849
Sonoma,4402,Registered Voters,,,,,,,2093
Sonoma,4406,Registered Voters,,,,,,,1571
Sonoma,4407 MB,Registered Voters,,,,,,,0
Sonoma,4902,Registered Voters,,,,,,,982
Sonoma,4903,Registered Voters,,,,,,,761
Sonoma,4904,Registered Voters,,,,,,,841
Sonoma,4905 MB,Registered Voters,,,,,,,169
Sonoma,4906,Registered Voters,,,,,,,965
Sonoma,4907,Registered Voters,,,,,,,858
Sonoma,4908,Registered Voters,,,,,,,804
Sonoma,4910,Registered Voters,,,,,,,1003
Sonoma,4912 MB,Registered Voters,,,,,,,14
Sonoma,4913,Registered Voters,,,,,,,451
Sonoma,4914,Registered Voters,,,,,,,272
Sonoma,4915,Registered Voters,,,,,,,311
Sonoma,4916,Registered Voters,,,,,,,395
Sonoma,4917,Registered Voters,,,,,,,889
Sonoma,4918,Registered Voters,,,,,,,614
Sonoma,4919 MB,Registered Voters,,,,,,,36
Sonoma,4920,Registered Voters,,,,,,,996
Sonoma,4921,Registered Voters,,,,,,,355
Sonoma,4922,Registered Voters,,,,,,,400
Sonoma,4923,Registered Voters,,,,,,,876
Sonoma,4924,Registered Voters,,,,,,,529
Sonoma,4925,Registered Voters,,,,,,,1002
Sonoma,4926 MB,Registered Voters,,,,,,,6
Sonoma,4927 MB,Registered Voters,,,,,,,2
Sonoma,4928,Registered Voters,,,,,,,548
Sonoma,4929 MB,Registered Voters,,,,,,,254
Sonoma,4930 MB,Registered Voters,,,,,,,190
Sonoma,4931 MB,Registered Voters,,,,,,,252
Sonoma,4932 MB,Registered Voters,,,,,,,7
Sonoma,4933,Registered Voters,,,,,,,530
Sonoma,4934,Registered Voters,,,,,,,299
Sonoma,5002 MB,Registered Voters,,,,,,,207
Sonoma,5005 MB,Registered Voters,,,,,,,241
Sonoma,5007 MB,Registered Voters,,,,,,,51
Sonoma,5009 MB,Registered Voters,,,,,,,22
Sonoma,5011 MB,Registered Voters,,,,,,,0
Sonoma,5012 MB,Registered Voters,,,,,,,3
Sonoma,5013 MB,Registered Voters,,,,,,,17
Sonoma,5014 MB,Registered Voters,,,,,,,106
Sonoma,5015 MB,Registered Voters,,,,,,,80
Sonoma,5017 MB,Registered Voters,,,,,,,0
Sonoma,5019 MB,Registered Voters,,,,,,,0
Sonoma,5024 MB,Registered Voters,,,,,,,8
Sonoma,5025 MB,Registered Voters,,,,,,,0
Sonoma,5026 MB,Registered Voters,,,,,,,3
Sonoma,5029 MB,Registered Voters,,,,,,,64
Sonoma,5031,Registered Voters,,,,,,,575
Sonoma,5033 MB,Registered Voters,,,,,,,69
Sonoma,5037 MB,Registered Voters,,,,,,,2
Sonoma,5038 MB,Registered Voters,,,,,,,2
Sonoma,5039 MB,Registered Voters,,,,,,,6
Sonoma,5040 MB,Registered Voters,,,,,,,26
Sonoma,5043 MB,Registered Voters,,,,,,,72
Sonoma,5046 MB,Registered Voters,,,,,,,208
Sonoma,5048 MB,Registered Voters,,,,,,,114
Sonoma,5050 MB,Registered Voters,,,,,,,1
Sonoma,5052 MB,Registered Voters,,,,,,,175
Sonoma,5054 MB,Registered Voters,,,,,,,5
Sonoma,5056 MB,Registered Voters,,,,,,,237
Sonoma,5057 MB,Registered Voters,,,,,,,84
Sonoma,5058 MB,Registered Voters,,,,,,,92
Sonoma,5059 MB,Registered Voters,,,,,,,23
Sonoma,5060 MB,Registered Voters,,,,,,,52
Sonoma,5062 MB,Registered Voters,,,,,,,105
Sonoma,5063 MB,Registered Voters,,,,,,,219
Sonoma,5064 MB,Registered Voters,,,,,,,176
Sonoma,5065 MB,Registered Voters,,,,,,,31
Sonoma,5067 MB,Registered Voters,,,,,,,0
Sonoma,5068 MB,Registered Voters,,,,,,,10
Sonoma,5069 MB,Registered Voters,,,,,,,79
Sonoma,5070 MB,Registered Voters,,,,,,,33
Sonoma,5071 MB,Registered Voters,,,,,,,5
Sonoma,5074 MB,Registered Voters,,,,,,,5
Sonoma,5075 MB,Registered Voters,,,,,,,0
Sonoma,5076 MB,Registered Voters,,,,,,,0
Sonoma,5077,Registered Voters,,,,,,,379
Sonoma,5078 MB,Registered Voters,,,,,,,144
Sonoma,5079 MB,Registered Voters,,,,,,,119
Sonoma,5080 MB,Registered Voters,,,,,,,195
Sonoma,5081 MB,Registered Voters,,,,,,,143
Sonoma,5101,Registered Voters,,,,,,,1085
Sonoma,5104,Registered Voters,,,,,,,2505
Sonoma,5105,Registered Voters,,,,,,,794
Sonoma,5107 MB,Registered Voters,,,,,,,35
Sonoma,5108 MB,Registered Voters,,,,,,,107
Sonoma,5110 MB,Registered Voters,,,,,,,94
Sonoma,5112,Registered Voters,,,,,,,312
Sonoma,5113,Registered Voters,,,,,,,1435
Sonoma,5114 MB,Registered Voters,,,,,,,0
Sonoma,5115,Registered Voters,,,,,,,968
Sonoma,5116 MB,Registered Voters,,,,,,,249
Sonoma,5117 MB,Registered Voters,,,,,,,101
Sonoma,5118 MB,Registered Voters,,,,,,,124
Sonoma,5119,Registered Voters,,,,,,,695
Sonoma,5120,Registered Voters,,,,,,,1443
Sonoma,5121 MB,Registered Voters,,,,,,,8
Sonoma,5122 MB,Registered Voters,,,,,,,104
Sonoma,5123,Registered Voters,,,,,,,995
Sonoma,5124 MB,Registered Voters,,,,,,,35
Sonoma,5125 MB,Registered Voters,,,,,,,168
Sonoma,5126 MB,Registered Voters,,,,,,,132
Sonoma,7101 MB,Registered Voters,,,,,,,232
Sonoma,7102,Registered Voters,,,,,,,321
Sonoma,7103 MB,Registered Voters,,,,,,,44
Sonoma,7104 MB,Registered Voters,,,,,,,63
Sonoma,7105 MB,Registered Voters,,,,,,,133
Sonoma,7106,Registered Voters,,,,,,,817
Sonoma,7107 MB,Registered Voters,,,,,,,65
Sonoma,7108,Registered Voters,,,,,,,1599
Sonoma,7109 MB,Registered Voters,,,,,,,65
Sonoma,7110,Registered Voters,,,,,,,2199
Sonoma,7111,Registered Voters,,,,,,,1379
Sonoma,7112 MB,Registered Voters,,,,,,,6
Sonoma,7113 MB,Registered Voters,,,,,,,141
Sonoma,7114 MB,Registered Voters,,,,,,,112
Sonoma,7115 MB,Registered Voters,,,,,,,97
Sonoma,7116 MB,Registered Voters,,,,,,,70
Sonoma,7117,Registered Voters,,,,,,,549
Sonoma,7118 MB,Registered Voters,,,,,,,222
Sonoma,7119 MB,Registered Voters,,,,,,,225
Sonoma,7120 MB,Registered Voters,,,,,,,11
Sonoma,7121 MB,Registered Voters,,,,,,,2
Sonoma,7122 MB,Registered Voters,,,,,,,66
Sonoma,7123 MB,Registered Voters,,,,,,,0
Sonoma,7124 MB,Registered Voters,,,,,,,0
Sonoma,7125 MB,Registered Voters,,,,,,,56
Sonoma,7126 MB,Registered Voters,,,,,,,2
Sonoma,7127 MB,Registered Voters,,,,,,,0
Sonoma,7128,Registered Voters,,,,,,,668
Sonoma,7129 MB,Registered Voters,,,,,,,16
Sonoma,7130,Registered Voters,,,,,,,2206
Sonoma,7131,Registered Voters,,,,,,,352
Sonoma,7132,Registered Voters,,,,,,,644
Sonoma,7133,Registered Voters,,,,,,,556
Sonoma,7134,Registered Voters,,,,,,,319
Sonoma,7135 MB,Registered Voters,,,,,,,39
Sonoma,7136,Registered Voters,,,,,,,826
Sonoma,7137 MB,Registered Voters,,,,,,,172
Sonoma,7138 MB,Registered Voters,,,,,,,24
Sonoma,7139,Registered Voters,,,,,,,422
Sonoma,7140 MB,Registered Voters,,,,,,,0
Sonoma,7141 MB,Registered Voters,,,,,,,0
Sonoma,7142 MB,Registered Voters,,,,,,,2
Sonoma,7143 MB,Registered Voters,,,,,,,2
Sonoma,7144,Registered Voters,,,,,,,373
Sonoma,7145,Registered Voters,,,,,,,274
Sonoma,7146,Registered Voters,,,,,,,716
Sonoma,7147,Registered Voters,,,,,,,1334
Sonoma,7148,Registered Voters,,,,,,,1857
Sonoma,7149,Registered Voters,,,,,,,1273
Sonoma,7150 MB,Registered Voters,,,,,,,258
Sonoma,7151,Registered Voters,,,,,,,2058
Sonoma,7152,Registered Voters,,,,,,,1517
Sonoma,7153,Registered Voters,,,,,,,834
Sonoma,7154,Registered Voters,,,,,,,2210
Sonoma,7155,Registered Voters,,,,,,,845
Sonoma,7156 MB,Registered Voters,,,,,,,54
Sonoma,7157,Registered Voters,,,,,,,1062
Sonoma,7158,Registered Voters,,,,,,,1223
Sonoma,7201,Registered Voters,,,,,,,1973
Sonoma,7202,Registered Voters,,,,,,,815
Sonoma,7203 MB,Registered Voters,,,,,,,70
Sonoma,7204 MB,Registered Voters,,,,,,,10
Sonoma,7205,Registered Voters,,,,,,,897
Sonoma,7206,Registered Voters,,,,,,,1924
Sonoma,7207,Registered Voters,,,,,,,1059
Sonoma,7208,Registered Voters,,,,,,,449
Sonoma,7209 MB,Registered Voters,,,,,,,75
Sonoma,7210,Registered Voters,,,,,,,1036
Sonoma,7211 MB,Registered Voters,,,,,,,18
Sonoma,7212 MB,Registered Voters,,,,,,,24
Sonoma,7213 MB,Registered Voters,,,,,,,42
Sonoma,7214 MB,Registered Voters,,,,,,,15
Sonoma,7215,Registered Voters,,,,,,,467
Sonoma,7216,Registered Voters,,,,,,,421
Sonoma,7217 MB,Registered Voters,,,,,,,257
Sonoma,7218 MB,Registered Voters,,,,,,,222
Sonoma,7219 MB,Registered Voters,,,,,,,2
Sonoma,7220 MB,Registered Voters,,,,,,,11
Sonoma,7221 MB,Registered Voters,,,,,,,2
Sonoma,7222,Registered Voters,,,,,,,847
Sonoma,7223,Registered Voters,,,,,,,1652
Sonoma,7224 MB,Registered Voters,,,,,,,27
Sonoma,7225 MB,Registered Voters,,,,,,,4
Sonoma,7226 MB,Registered Voters,,,,,,,39
Sonoma,7227 MB,Registered Voters,,,,,,,124
Sonoma,7228,Registered Voters,,,,,,,272
Sonoma,7229 MB,Registered Voters,,,,,,,6
Sonoma,7230 MB,Registered Voters,,,,,,,0
Sonoma,7231 MB,Registered Voters,,,,,,,169
Sonoma,7232,Registered Voters,,,,,,,258
Sonoma,7233 MB,Registered Voters,,,,,,,52
Sonoma,7234 MB,Registered Voters,,,,,,,66
Sonoma,7235 MB,Registered Voters,,,,,,,54
Sonoma,7236,Registered Voters,,,,,,,631
Sonoma,7237,Registered Voters,,,,,,,512
Sonoma,7238,Registered Voters,,,,,,,2539
Sonoma,7239,Registered Voters,,,,,,,2339
Sonoma,7240,Registered Voters,,,,,,,2222
Sonoma,7241,Registered Voters,,,,,,,2373
Sonoma,7242,Registered Voters,,,,,,,2300
Sonoma,7301 MB,Registered Voters,,,,,,,11
Sonoma,7302 MB,Registered Voters,,,,,,,116
Sonoma,7303 MB,Registered Voters,,,,,,,10
Sonoma,7304 MB,Registered Voters,,,,,,,21
