county,precinct,office,district,party,candidate,votes,early voting,election day,provisional,mail
Siskiyou,P4115 YREKA 3,President,,DEM,Julian Castro,1,1,0,0,1
Siskiyou,P4116 YREKA 4,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P4118 YREKA 5,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P4121 YREKA 6,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P5003 GREENVIEW CONS,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P5005 ETNA 2,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P5008 FT JONES 2,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P5011 HAPPY CAMP,President,,DEM,Julian Castro,1,1,0,0,1
Siskiyou,P5103 ETNA 1,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P5107 FT JONES 1,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,M1001 BOGUS,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,M1006 SHASTA CONS,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,M1009 MACDOEL,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,M1014 PONDOSA CONS,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,M1015 MCCLOUD 3,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,M1060 BUTTE CONS,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,M1117 TULELAKE 1,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,M3002 GAZELLE CONS,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,M3013 WARREN,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,M4001 DELPHIC CONS,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,M4032 GREENHORN CONS,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,M5000 HENLEY,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,M5001 CALLAHAN CONS,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,M5009 KLAMATH CONS,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,M5012 HORNBROOK,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,M5018 SEIAD,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,M5025 WALKER CONS,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,M5026 COTTONWOOD CONS,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,M5038 GREENHORN 5,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P1000 MCCLOUD CONS,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P1002 MONTAGUE 2,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P1003 WILLOW CREEK,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P1026 BIG SPRINGS,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P1105 DORRIS 1,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P1110 MONTAGUE 1,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P2009 DUNSMUIR 3,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P2014 MT SHASTA 3,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P2015 MT SHASTA 5,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P2019 KINSTREY,President,,DEM,"MICHAEL A. ELLINGER",1,1,0,0,1
Siskiyou,P2100 DUNSMUIR CONS,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P2110 MT SHASTA 1,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P2111 MT SHASTA 2,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P2115 MT SHASTA 4,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P3000 BUTTEVILLE,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P3004 GRENADA,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P3006 LAKE SHASTINA M,President,,DEM,"MICHAEL A. ELLINGER",1,1,0,0,1
Siskiyou,P3007 LAKE SHASTINA E,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P3009 MAYTEN,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P3014 SISSON,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P3111 WEED 1,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P3112 WEED 2,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P4030 FOREST MTN,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P4110 YREKA 1,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P4112 YREKA 2,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P4115 YREKA 3,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P4116 YREKA 4,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P4118 YREKA 5,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P4121 YREKA 6,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P5003 GREENVIEW CONS,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P5005 ETNA 2,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P5008 FT JONES 2,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P5011 HAPPY CAMP,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P5103 ETNA 1,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,P5107 FT JONES 1,President,,DEM,"MICHAEL A. ELLINGER",0,0,0,0,0
Siskiyou,M1001 BOGUS,President,,DEM,"ELIZABETH WARREN",7,7,0,0,7
Siskiyou,M1006 SHASTA CONS,President,,DEM,"ELIZABETH WARREN",8,8,0,0,8
Siskiyou,M1009 MACDOEL,President,,DEM,"ELIZABETH WARREN",5,5,0,0,5
Siskiyou,M1014 PONDOSA CONS,President,,DEM,"ELIZABETH WARREN",3,3,0,0,3
Siskiyou,M1015 MCCLOUD 3,President,,DEM,"ELIZABETH WARREN",6,6,0,0,6
Siskiyou,M1060 BUTTE CONS,President,,DEM,"ELIZABETH WARREN",4,4,0,0,4
Siskiyou,M1117 TULELAKE 1,President,,DEM,"ELIZABETH WARREN",3,3,0,0,3
Siskiyou,M3002 GAZELLE CONS,President,,DEM,"ELIZABETH WARREN",4,4,0,0,4
Siskiyou,M3013 WARREN,President,,DEM,"ELIZABETH WARREN",12,12,0,0,12
Siskiyou,M4001 DELPHIC CONS,President,,DEM,"ELIZABETH WARREN",2,2,0,0,2
Siskiyou,M4032 GREENHORN CONS,President,,DEM,"ELIZABETH WARREN",1,1,0,0,1
Siskiyou,M5000 HENLEY,President,,DEM,"ELIZABETH WARREN",0,0,0,0,0
Siskiyou,M5001 CALLAHAN CONS,President,,DEM,"ELIZABETH WARREN",13,13,0,0,13
Siskiyou,M5009 KLAMATH CONS,President,,DEM,"ELIZABETH WARREN",9,9,0,1,8
Siskiyou,M5012 HORNBROOK,President,,DEM,"ELIZABETH WARREN",2,2,0,0,2
Siskiyou,M5018 SEIAD,President,,DEM,"ELIZABETH WARREN",9,9,0,2,7
Siskiyou,M5025 WALKER CONS,President,,DEM,"ELIZABETH WARREN",12,12,0,0,12
Siskiyou,M5026 COTTONWOOD CONS,President,,DEM,"ELIZABETH WARREN",2,2,0,0,2
Siskiyou,M5038 GREENHORN 5,President,,DEM,"ELIZABETH WARREN",2,2,0,1,1
Siskiyou,P1000 MCCLOUD CONS,President,,DEM,"ELIZABETH WARREN",22,15,7,0,15
Siskiyou,P1002 MONTAGUE 2,President,,DEM,"ELIZABETH WARREN",5,2,3,0,2
Siskiyou,P1003 WILLOW CREEK,President,,DEM,"ELIZABETH WARREN",16,14,2,0,14
Siskiyou,P1026 BIG SPRINGS,President,,DEM,"ELIZABETH WARREN",9,6,3,0,6
Siskiyou,P1105 DORRIS 1,President,,DEM,"ELIZABETH WARREN",1,1,0,0,1
Siskiyou,P1110 MONTAGUE 1,President,,DEM,"ELIZABETH WARREN",9,6,3,1,5
Siskiyou,P2009 DUNSMUIR 3,President,,DEM,"ELIZABETH WARREN",10,8,2,0,8
Siskiyou,P2014 MT SHASTA 3,President,,DEM,"ELIZABETH WARREN",56,41,15,1,40
Siskiyou,P2015 MT SHASTA 5,President,,DEM,"ELIZABETH WARREN",48,42,6,0,42
Siskiyou,P2019 KINSTREY,President,,DEM,"ELIZABETH WARREN",50,42,8,1,41
Siskiyou,P2100 DUNSMUIR CONS,President,,DEM,"ELIZABETH WARREN",45,32,13,0,32
Siskiyou,P2110 MT SHASTA 1,President,,DEM,"ELIZABETH WARREN",32,25,7,1,24
Siskiyou,P2111 MT SHASTA 2,President,,DEM,"ELIZABETH WARREN",48,30,18,1,29
Siskiyou,P2115 MT SHASTA 4,President,,DEM,"ELIZABETH WARREN",43,28,15,0,28
Siskiyou,P3000 BUTTEVILLE,President,,DEM,"ELIZABETH WARREN",47,43,4,0,43
Siskiyou,P3004 GRENADA,President,,DEM,"ELIZABETH WARREN",11,8,3,1,7
Siskiyou,P3006 LAKE SHASTINA M,President,,DEM,"ELIZABETH WARREN",31,25,6,0,25
Siskiyou,P3007 LAKE SHASTINA E,President,,DEM,"ELIZABETH WARREN",26,23,3,0,23
Siskiyou,P3009 MAYTEN,President,,DEM,"ELIZABETH WARREN",9,5,4,0,5
Siskiyou,P3014 SISSON,President,,DEM,"ELIZABETH WARREN",24,17,7,0,17
Siskiyou,P3111 WEED 1,President,,DEM,"ELIZABETH WARREN",11,8,3,0,8
Siskiyou,P3112 WEED 2,President,,DEM,"ELIZABETH WARREN",16,12,4,1,11
Siskiyou,P4030 FOREST MTN,President,,DEM,"ELIZABETH WARREN",12,9,3,0,9
Siskiyou,P4110 YREKA 1,President,,DEM,"ELIZABETH WARREN",16,11,5,1,10
Siskiyou,P4112 YREKA 2,President,,DEM,"ELIZABETH WARREN",25,21,4,0,21
Siskiyou,P4115 YREKA 3,President,,DEM,"ELIZABETH WARREN",12,11,1,0,11
Siskiyou,P4116 YREKA 4,President,,DEM,"ELIZABETH WARREN",11,5,6,0,5
Siskiyou,P4118 YREKA 5,President,,DEM,"ELIZABETH WARREN",23,17,6,0,17
Siskiyou,P4121 YREKA 6,President,,DEM,"ELIZABETH WARREN",11,7,4,0,7
Siskiyou,P5003 GREENVIEW CONS,President,,DEM,"ELIZABETH WARREN",23,16,7,0,16
Siskiyou,P5005 ETNA 2,President,,DEM,"ELIZABETH WARREN",17,14,3,0,14
Siskiyou,P5008 FT JONES 2,President,,DEM,"ELIZABETH WARREN",4,3,1,0,3
Siskiyou,P5011 HAPPY CAMP,President,,DEM,"ELIZABETH WARREN",13,7,6,0,7
Siskiyou,P5103 ETNA 1,President,,DEM,"ELIZABETH WARREN",21,15,6,0,15
Siskiyou,P5107 FT JONES 1,President,,DEM,"ELIZABETH WARREN",5,4,1,0,4
Siskiyou,M1001 BOGUS,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,M1006 SHASTA CONS,President,,DEM,"MARIANNE WILLIAMSON",1,1,0,0,1
Siskiyou,M1009 MACDOEL,President,,DEM,"MARIANNE WILLIAMSON",1,1,0,0,1
Siskiyou,M1014 PONDOSA CONS,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,M1015 MCCLOUD 3,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,M1060 BUTTE CONS,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,M1117 TULELAKE 1,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,M3002 GAZELLE CONS,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,M3013 WARREN,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,M4001 DELPHIC CONS,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,M4032 GREENHORN CONS,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,M5000 HENLEY,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,M5001 CALLAHAN CONS,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,M5009 KLAMATH CONS,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,M5012 HORNBROOK,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,M5018 SEIAD,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,M5025 WALKER CONS,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,M5026 COTTONWOOD CONS,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,M5038 GREENHORN 5,President,,DEM,"MARIANNE WILLIAMSON",1,1,0,0,1
Siskiyou,P1000 MCCLOUD CONS,President,,DEM,"MARIANNE WILLIAMSON",1,0,1,0,0
Siskiyou,P1002 MONTAGUE 2,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P1003 WILLOW CREEK,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P1026 BIG SPRINGS,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P1105 DORRIS 1,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P1110 MONTAGUE 1,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P2009 DUNSMUIR 3,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P2014 MT SHASTA 3,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P2015 MT SHASTA 5,President,,DEM,"MARIANNE WILLIAMSON",2,2,0,0,2
Siskiyou,P2019 KINSTREY,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P2100 DUNSMUIR CONS,President,,DEM,"MARIANNE WILLIAMSON",2,2,0,0,2
Siskiyou,P2110 MT SHASTA 1,President,,DEM,"MARIANNE WILLIAMSON",2,2,0,0,2
Siskiyou,P2111 MT SHASTA 2,President,,DEM,"MARIANNE WILLIAMSON",1,0,1,0,0
Siskiyou,P2115 MT SHASTA 4,President,,DEM,"MARIANNE WILLIAMSON",1,1,0,0,1
Siskiyou,P3000 BUTTEVILLE,President,,DEM,"MARIANNE WILLIAMSON",2,2,0,0,2
Siskiyou,P3004 GRENADA,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P3006 LAKE SHASTINA M,President,,DEM,"MARIANNE WILLIAMSON",1,1,0,0,1
Siskiyou,P3007 LAKE SHASTINA E,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P3009 MAYTEN,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P3014 SISSON,President,,DEM,"MARIANNE WILLIAMSON",1,1,0,0,1
Siskiyou,P3111 WEED 1,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P3112 WEED 2,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P4030 FOREST MTN,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P4110 YREKA 1,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P4112 YREKA 2,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P4115 YREKA 3,President,,DEM,"MARIANNE WILLIAMSON",1,1,0,0,1
Siskiyou,P4116 YREKA 4,President,,DEM,"MARIANNE WILLIAMSON",1,1,0,0,1
Siskiyou,P4118 YREKA 5,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P4121 YREKA 6,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P5003 GREENVIEW CONS,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P5005 ETNA 2,President,,DEM,"MARIANNE WILLIAMSON",1,1,0,0,1
Siskiyou,P5008 FT JONES 2,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P5011 HAPPY CAMP,President,,DEM,"MARIANNE WILLIAMSON",1,1,0,1,0
Siskiyou,P5103 ETNA 1,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,P5107 FT JONES 1,President,,DEM,"MARIANNE WILLIAMSON",0,0,0,0,0
Siskiyou,M1001 BOGUS,President,,DEM,"ANDREW YANG",1,1,0,0,1
Siskiyou,M1006 SHASTA CONS,President,,DEM,"ANDREW YANG",1,1,0,0,1
Siskiyou,M1009 MACDOEL,President,,DEM,"ANDREW YANG",2,2,0,0,2
Siskiyou,M1014 PONDOSA CONS,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,M1015 MCCLOUD 3,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,M1060 BUTTE CONS,President,,DEM,"ANDREW YANG",1,1,0,0,1
Siskiyou,M1117 TULELAKE 1,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,M3002 GAZELLE CONS,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,M3013 WARREN,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,M4001 DELPHIC CONS,President,,DEM,"ANDREW YANG",2,2,0,0,2
Siskiyou,M4032 GREENHORN CONS,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,M5000 HENLEY,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,M5001 CALLAHAN CONS,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,M5009 KLAMATH CONS,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,M5012 HORNBROOK,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,M5018 SEIAD,President,,DEM,"ANDREW YANG",1,1,0,0,1
Siskiyou,M5025 WALKER CONS,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,M5026 COTTONWOOD CONS,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,M5038 GREENHORN 5,President,,DEM,"ANDREW YANG",1,1,0,0,1
Siskiyou,P1000 MCCLOUD CONS,President,,DEM,"ANDREW YANG",4,2,2,0,2
Siskiyou,P1002 MONTAGUE 2,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,P1003 WILLOW CREEK,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,P1026 BIG SPRINGS,President,,DEM,"ANDREW YANG",2,1,1,0,1
Siskiyou,P1105 DORRIS 1,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,P1110 MONTAGUE 1,President,,DEM,"ANDREW YANG",2,2,0,0,2
Siskiyou,P2009 DUNSMUIR 3,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,P2014 MT SHASTA 3,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,P2015 MT SHASTA 5,President,,DEM,"ANDREW YANG",1,0,1,0,0
Siskiyou,P2019 KINSTREY,President,,DEM,"ANDREW YANG",3,3,0,0,3
Siskiyou,P2100 DUNSMUIR CONS,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,P2110 MT SHASTA 1,President,,DEM,"ANDREW YANG",2,2,0,0,2
Siskiyou,P2111 MT SHASTA 2,President,,DEM,"ANDREW YANG",1,1,0,0,1
Siskiyou,P2115 MT SHASTA 4,President,,DEM,"ANDREW YANG",3,3,0,0,3
Siskiyou,P3000 BUTTEVILLE,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,P3004 GRENADA,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,P3006 LAKE SHASTINA M,President,,DEM,"ANDREW YANG",3,3,0,0,3
Siskiyou,P3007 LAKE SHASTINA E,President,,DEM,"ANDREW YANG",2,2,0,0,2
Siskiyou,P3009 MAYTEN,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,P3014 SISSON,President,,DEM,"ANDREW YANG",1,1,0,1,0
Siskiyou,P3111 WEED 1,President,,DEM,"ANDREW YANG",1,0,1,0,0
Siskiyou,P3112 WEED 2,President,,DEM,"ANDREW YANG",1,1,0,0,1
Siskiyou,P4030 FOREST MTN,President,,DEM,"ANDREW YANG",1,1,0,0,1
Siskiyou,P4110 YREKA 1,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,P4112 YREKA 2,President,,DEM,"ANDREW YANG",1,1,0,0,1
Siskiyou,P4115 YREKA 3,President,,DEM,"ANDREW YANG",3,3,0,1,2
Siskiyou,P4116 YREKA 4,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,P4118 YREKA 5,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,P4121 YREKA 6,President,,DEM,"ANDREW YANG",2,2,0,0,2
Siskiyou,P5003 GREENVIEW CONS,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,P5005 ETNA 2,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,P5008 FT JONES 2,President,,DEM,"ANDREW YANG",1,1,0,0,1
Siskiyou,P5011 HAPPY CAMP,President,,DEM,"ANDREW YANG",2,2,0,0,2
Siskiyou,P5103 ETNA 1,President,,DEM,"ANDREW YANG",0,0,0,0,0
Siskiyou,P5107 FT JONES 1,President,,DEM,"ANDREW YANG",1,1,0,0,1
Siskiyou,M1001 BOGUS,President,,DEM,"ROQUE ""ROCKY"" DE LA FUENTE III",0,0,0,0,0
Siskiyou,M1006 SHASTA CONS,President,,DEM,"ROQUE ""ROCKY"" DE LA FUENTE III",1,1,0,0,1
Siskiyou,M1009 MACDOEL,President,,DEM,"ROQUE ""ROCKY"" DE LA FUENTE III",0,0,0,0,0
Siskiyou,M1014 PONDOSA CONS,President,,DEM,"ROQUE ""ROCKY"" DE LA FUENTE III",0,0,0,0,0
Siskiyou,M1015 MCCLOUD 3,President,,DEM,"ROQUE ""ROCKY"" DE LA FUENTE III",0,0,0,0,0
Siskiyou,M1060 BUTTE CONS,President,,DEM,"ROQUE ""ROCKY"" DE LA FUENTE III",0,0,0,0,0
Siskiyou,M1117 TULELAKE 1,President,,DEM,"ROQUE ""ROCKY"" DE LA FUENTE III",0,0,0,0,0
Siskiyou,M3002 GAZELLE CONS,President,,DEM,"ROQUE ""ROCKY"" DE LA FUENTE III",0,0,0,0,0
Siskiyou,M3013 WARREN,President,,DEM,"ROQUE ""ROCKY"" DE LA FUENTE III",0,0,0,0,0
Siskiyou,M4001 DELPHIC CONS,President,,DEM,"ROQUE ""ROCKY"" DE LA FUENTE III",0,0,0,0,0
