county,precinct,candidate,office,district,party,election_day,mail,votes,
Mariposa,El Portal 1001 ,Jason M Hanania,U S Senate,,NON,0,0,0,
Mariposa,El Portal 1001 ,David Hildebrand,U S Senate,,DEM,0,1,1,
Mariposa,El Portal 1001 ,Lee Olson,U S Senate,,NON,0,2,2,
Mariposa,El Portal 1001 ,"Roque ""Rocky"" De La Fuente",U S Senate,,REP,0,0,0,
Mariposa,El Portal 1001 ,Kevin De Leon,U S Senate,,DEM,7,17,24,
Mariposa,El Portal 1001 ,Kevin Mottus,U S Senate,,REP,0,0,0,
Mariposa,El Portal 1001 ,David Moore,U S Senate,,NON,0,1,1,
Mariposa,El Portal 1001 ,Mario Nabliba ,U S Senate,,REP,1,1,2,
Mariposa,El Portal 1001 ,Regina Bateson,U S House,4,DEM,9,22,31,
Mariposa,El Portal 1001 ,Robert Lawton,U S House,4,DEM,1,4,5,
Mariposa,El Portal 1001 ,Mitchell White,U S House,4,REP,0,4,4,
Mariposa,El Portal 1001 ,Roza Calderon,U S House,4,DEM,3,6,9,
Mariposa,El Portal 1001 ,Tom McClintock,U S House,4,REP,4,8,12,
Mariposa,El Portal 1001 ,Jessica Morse ,U S House,4,DEM,29,77,106,
Mariposa,El Portal 1001 ,Tom Pratt,State Senate,8,DEM,18,55,73,
Mariposa,El Portal 1001 ,Mark Belden,State Senate,8,NON,0,4,4,
Mariposa,El Portal 1001 ,Andreas Borgeas,State Senate,8,REP,4,11,15,
Mariposa,El Portal 1001 ,Paulina Miranda ,State Senate,8,DEM,24,45,69,
Mariposa,El Portal 1001 ,Carla J Neal,State Assembly ,5,DEM,43,109,152,
Mariposa,El Portal 1001 ,Frank Bigelow,State Assembly ,5,REP,4,14,18,
Mariposa,Sweetwater 1002 ,,Registered Voters,,,,,188,
Mariposa,Sweetwater 1002 ,,Ballots Cast,,,0,126,126,
Mariposa,Sweetwater 1002 ,Josh Jones,Governor ,,GRN,0,0,0,
Mariposa,Sweetwater 1002 ,J Bribiesca,Governor ,,DEM,0,0,0,
Mariposa,Sweetwater 1002 ,Gloria Estela La Riva,Governor ,,PF,0,0,0,
Mariposa,Sweetwater 1002 ,Peter Y Liu,Governor ,,REP,0,0,0,
Mariposa,Sweetwater 1002 ,Antonio Villaraigosa,Governor ,,DEM,0,8,8,
Mariposa,Sweetwater 1002 ,Yvonne Girard,Governor ,,REP,0,0,0,
Mariposa,Sweetwater 1002 ,Robert Davidson Griffis,Governor ,,DEM,0,0,0,
Mariposa,Sweetwater 1002 ,Shubham Goel,Governor ,,NON,0,0,0,
Mariposa,Sweetwater 1002 ,Travis Allen,Governor ,,REP,0,20,20,
Mariposa,Sweetwater 1002 ,Akinyemi Agbede,Governor ,,DEM,0,0,0,
Mariposa,Sweetwater 1002 ,Johnny Wattenburg,Governor ,,NON,0,0,0,
Mariposa,Sweetwater 1002 ,Nickolas Wildstar,Governor ,,LIB,0,0,0,
Mariposa,Sweetwater 1002 ,Desmond Silveira,Governor ,,NON,0,0,0,
Mariposa,Sweetwater 1002 ,Michael Shellenberger,Governor ,,DEM,0,2,2,
Mariposa,Sweetwater 1002 ,Zoltan Istvan,Governor ,,LIB,0,1,1,
Mariposa,Sweetwater 1002 ,Christopher N Carlson,Governor ,,GRN,0,0,0,
Mariposa,Sweetwater 1002 ,Thomas Jefferson Cares,Governor ,,DEM,0,0,0,
Mariposa,Sweetwater 1002 ,John Chiang,Governor ,,DEM,0,7,7,
Mariposa,Sweetwater 1002 ,John H Cox,Governor ,,REP,0,46,46,
Mariposa,Sweetwater 1002 ,Amanda Renteria ,Governor ,,DEM,0,0,0,
Mariposa,Sweetwater 1002 ,Delaine Eastin,Governor ,,DEM,0,4,4,
Mariposa,Sweetwater 1002 ,Jeffrey Edward Taylor,Governor ,,NON,0,0,0,
Mariposa,Sweetwater 1002 ,Klement Tinaj,Governor ,,DEM,0,0,0,
Mariposa,Sweetwater 1002 ,"Hakan ""Hawk"" Mikado",Governor ,,NON,0,0,0,
Mariposa,Sweetwater 1002 ,Albert Caesar Mezzetti,Governor ,,DEM,0,0,0,
Mariposa,Sweetwater 1002 ,Gavin Newsom,Governor ,,DEM,0,36,36,
Mariposa,Sweetwater 1002 ,"Robert C. Newman, II",Governor ,,REP,0,0,0,
Mariposa,Sweetwater 1002 ,Jeff Bleich,Lieutenant Governor,,DEM,0,5,5,
Mariposa,Sweetwater 1002 ,Eleni Kounalakis,Lieutenant Governor,,DEM,0,19,19,
Mariposa,Sweetwater 1002 ,Cameron Gharabiklou,Lieutenant Governor,,DEM,0,1,1,
Mariposa,Sweetwater 1002 ,Tim Ferreira,Lieutenant Governor,,LIB,0,0,0,
Mariposa,Sweetwater 1002 ,David Fennell,Lieutenant Governor,,REP,0,30,30,
Mariposa,Sweetwater 1002 ,Danny Thomas,Lieutenant Governor,,NON,0,0,0,
Mariposa,Sweetwater 1002 ,Cole Harris,Lieutenant Governor,,REP,0,22,22,
Mariposa,Sweetwater 1002 ,Ed Hernandez,Lieutenant Governor,,DEM,0,23,23,
Mariposa,Sweetwater 1002 ,David R Hernandez,Lieutenant Governor,,REP,0,11,11,
Mariposa,Sweetwater 1002 ,Lydia Ortega,Lieutenant Governor,,REP,0,5,5,
Mariposa,Sweetwater 1002 ,Gayle McLaughlin,Lieutenant Governor,,NON,0,5,5,
Mariposa,Sweetwater 1002 ,Steve Poizner,Insurance Commissioner,,NON,0,63,63,
Mariposa,Sweetwater 1002 ,Ricardo Lara,Insurance Commissioner,,DEM,0,36,36,
Mariposa,Sweetwater 1002 ,Nathalie Hrizi,Insurance Commissioner,,PF,0,5,5,
Mariposa,Sweetwater 1002 ,Asif Mahmood,Insurance Commissioner,,DEM,0,8,8,
Mariposa,Sweetwater 1002 ,Gerald Plummer,U S Senate,,DEM,0,0,0,
Mariposa,Sweetwater 1002 ,Tom Palzer,U S Senate,,REP,0,4,4,
Mariposa,Sweetwater 1002 ,John Thompson Parker,U S Senate,,PF,0,1,1,
Mariposa,Sweetwater 1002 ,Douglas Howard Pierce,U S Senate,,DEM,0,1,1,
Mariposa,Sweetwater 1002 ,Herbert G Peters,U S Senate,,DEM,0,0,0,
Mariposa,Sweetwater 1002 ,James P Bradley,U S Senate,,REP,0,18,18,
Mariposa,Sweetwater 1002 ,Arun K Bhumitra ,U S Senate,,REP,0,6,6,
Mariposa,Sweetwater 1002 ,Jerry Joseph Laws,U S Senate,,REP,0,7,7,
Mariposa,Sweetwater 1002 ,Patrick Little,U S Senate,,REP,0,1,1,
Mariposa,Sweetwater 1002 ,Tim Gildersleeve,U S Senate,,NON,0,1,1,
Mariposa,Sweetwater 1002 ,Michael Fahmy Girgis,U S Senate,,NON,0,0,0,
Mariposa,Sweetwater 1002 ,Don J Grundmann,U S Senate,,NON,0,0,0,
Mariposa,Sweetwater 1002 ,Rash Bihari Ghosh,U S Senate,,NON,0,0,0,
Mariposa,Sweetwater 1002 ,Ling Ling Shi,U S Senate,,NON,0,0,0,
Mariposa,Sweetwater 1002 ,"John ""Jack"" Crew",U S Senate,,REP,0,0,0,
Mariposa,Sweetwater 1002 ,Erin Cruz,U S Senate,,REP,0,15,15,
Mariposa,Sweetwater 1002 ,Derrick Michael Reid,U S Senate,,LIB,0,1,1,
Mariposa,Sweetwater 1002 ,Dianne Feinstein,U S Senate,,DEM,0,36,36,
Mariposa,Sweetwater 1002 ,Colleen Shea Fernald,U S Senate,,NON,0,0,0,
Mariposa,Sweetwater 1002 ,Adrienne Nicole Edward,U S Senate,,DEM,0,0,0,
Mariposa,Sweetwater 1002 ,Paul A Taylor,U S Senate,,REP,0,7,7,
Mariposa,Sweetwater 1002 ,Donnie O Turner,U S Senate,,DEM,0,0,0,
Mariposa,Sweetwater 1002 ,Pat Harris,U S Senate,,DEM,0,2,2,
Mariposa,Sweetwater 1002 ,Alison Hartson,U S Senate,,DEM,0,2,2,
Mariposa,Sweetwater 1002 ,Jason M Hanania,U S Senate,,NON,0,0,0,
Mariposa,Sweetwater 1002 ,David Hildebrand,U S Senate,,DEM,0,0,0,
Mariposa,Sweetwater 1002 ,Lee Olson,U S Senate,,NON,0,0,0,
Mariposa,Sweetwater 1002 ,"Roque ""Rocky"" De La Fuente",U S Senate,,REP,0,2,2,
Mariposa,Sweetwater 1002 ,Kevin De Leon,U S Senate,,DEM,0,13,13,
Mariposa,Sweetwater 1002 ,Kevin Mottus,U S Senate,,REP,0,0,0,
Mariposa,Sweetwater 1002 ,David Moore,U S Senate,,NON,0,0,0,
Mariposa,Sweetwater 1002 ,Mario Nabliba ,U S Senate,,REP,0,1,1,
Mariposa,Sweetwater 1002 ,Regina Bateson,U S House,4,DEM,0,6,6,
Mariposa,Sweetwater 1002 ,Robert Lawton,U S House,4,DEM,0,0,0,
Mariposa,Sweetwater 1002 ,Mitchell White,U S House,4,REP,0,6,6,
Mariposa,Sweetwater 1002 ,Roza Calderon,U S House,4,DEM,0,2,2,
Mariposa,Sweetwater 1002 ,Tom McClintock,U S House,4,REP,0,63,63,
Mariposa,Sweetwater 1002 ,Jessica Morse ,U S House,4,DEM,0,43,43,
Mariposa,Sweetwater 1002 ,Tom Pratt,State Senate,8,DEM,0,21,21,
Mariposa,Sweetwater 1002 ,Mark Belden,State Senate,8,NON,0,9,9,
Mariposa,Sweetwater 1002 ,Andreas Borgeas,State Senate,8,REP,0,59,59,
Mariposa,Sweetwater 1002 ,Paulina Miranda ,State Senate,8,DEM,0,23,23,
Mariposa,Sweetwater 1002 ,Carla J Neal,State Assembly ,5,DEM,0,44,44,
Mariposa,Sweetwater 1002 ,Frank Bigelow,State Assembly ,5,REP,0,71,71,
Mariposa,Midpines 1003  ,,Registered Voters,,,,,565,
Mariposa,Midpines 1003  ,,Ballots Cast,,,74,254,328,
Mariposa,Midpines 1003  ,Josh Jones,Governor ,,GRN,0,0,0,
Mariposa,Midpines 1003  ,J Bribiesca,Governor ,,DEM,0,0,0,
Mariposa,Midpines 1003  ,Gloria Estela La Riva,Governor ,,PF,0,2,2,
Mariposa,Midpines 1003  ,Peter Y Liu,Governor ,,REP,0,0,0,
Mariposa,Midpines 1003  ,Antonio Villaraigosa,Governor ,,DEM,7,25,32,
Mariposa,Midpines 1003  ,Yvonne Girard,Governor ,,REP,1,2,3,
Mariposa,Midpines 1003  ,Robert Davidson Griffis,Governor ,,DEM,0,0,0,
Mariposa,Midpines 1003  ,Shubham Goel,Governor ,,NON,0,0,0,
Mariposa,Midpines 1003  ,Travis Allen,Governor ,,REP,12,57,69,
Mariposa,Midpines 1003  ,Akinyemi Agbede,Governor ,,DEM,2,0,2,
Mariposa,Midpines 1003  ,Johnny Wattenburg,Governor ,,NON,0,1,1,
Mariposa,Midpines 1003  ,Nickolas Wildstar,Governor ,,LIB,0,0,0,
Mariposa,Midpines 1003  ,Desmond Silveira,Governor ,,NON,0,0,0,
Mariposa,Midpines 1003  ,Michael Shellenberger,Governor ,,DEM,2,2,4,
Mariposa,Midpines 1003  ,Zoltan Istvan,Governor ,,LIB,0,1,1,
Mariposa,Midpines 1003  ,Christopher N Carlson,Governor ,,GRN,0,0,0,
Mariposa,Midpines 1003  ,Thomas Jefferson Cares,Governor ,,DEM,0,0,0,
Mariposa,Midpines 1003  ,John Chiang,Governor ,,DEM,5,19,24,
Mariposa,Midpines 1003  ,John H Cox,Governor ,,REP,32,53,85,
Mariposa,Midpines 1003  ,Amanda Renteria ,Governor ,,DEM,1,10,11,
Mariposa,Midpines 1003  ,Delaine Eastin,Governor ,,DEM,1,11,12,
Mariposa,Midpines 1003  ,Jeffrey Edward Taylor,Governor ,,NON,1,0,1,
Mariposa,Midpines 1003  ,Klement Tinaj,Governor ,,DEM,0,0,0,
Mariposa,Midpines 1003  ,"Hakan ""Hawk"" Mikado",Governor ,,NON,0,0,0,
Mariposa,Midpines 1003  ,Albert Caesar Mezzetti,Governor ,,DEM,0,0,0,
Mariposa,Midpines 1003  ,Gavin Newsom,Governor ,,DEM,10,75,85,
Mariposa,Midpines 1003  ,"Robert C. Newman, II",Governor ,,REP,0,1,1,
Mariposa,Midpines 1003  ,Jeff Bleich,Lieutenant Governor,,DEM,6,23,29,
Mariposa,Midpines 1003  ,Eleni Kounalakis,Lieutenant Governor,,DEM,9,51,60,
Mariposa,Midpines 1003  ,Cameron Gharabiklou,Lieutenant Governor,,DEM,0,3,3,
Mariposa,Midpines 1003  ,Tim Ferreira,Lieutenant Governor,,LIB,2,6,8,
Mariposa,Midpines 1003  ,David Fennell,Lieutenant Governor,,REP,6,35,41,
Mariposa,Midpines 1003  ,Danny Thomas,Lieutenant Governor,,NON,0,0,0,
Mariposa,Midpines 1003  ,Cole Harris,Lieutenant Governor,,REP,21,54,75,
Mariposa,Midpines 1003  ,Ed Hernandez,Lieutenant Governor,,DEM,7,45,52,
Mariposa,Midpines 1003  ,David R Hernandez,Lieutenant Governor,,REP,7,13,20,
Mariposa,Midpines 1003  ,Lydia Ortega,Lieutenant Governor,,REP,6,11,17,
Mariposa,Midpines 1003  ,Gayle McLaughlin,Lieutenant Governor,,NON,1,8,9,
Mariposa,Midpines 1003  ,Steve Poizner,Insurance Commissioner,,NON,45,130,175,
Mariposa,Midpines 1003  ,Ricardo Lara,Insurance Commissioner,,DEM,6,73,79,
Mariposa,Midpines 1003  ,Nathalie Hrizi,Insurance Commissioner,,PF,6,18,24,
Mariposa,Midpines 1003  ,Asif Mahmood,Insurance Commissioner,,DEM,8,26,34,
Mariposa,Midpines 1003  ,Gerald Plummer,U S Senate,,DEM,0,0,0,
Mariposa,Midpines 1003  ,Tom Palzer,U S Senate,,REP,3,0,3,
Mariposa,Midpines 1003  ,John Thompson Parker,U S Senate,,PF,0,1,1,
Mariposa,Midpines 1003  ,Douglas Howard Pierce,U S Senate,,DEM,0,0,0,
Mariposa,Midpines 1003  ,Herbert G Peters,U S Senate,,DEM,2,0,2,
Mariposa,Midpines 1003  ,James P Bradley,U S Senate,,REP,15,29,44,
Mariposa,Midpines 1003  ,Arun K Bhumitra ,U S Senate,,REP,9,14,23,
Mariposa,Midpines 1003  ,Jerry Joseph Laws,U S Senate,,REP,0,11,11,
Mariposa,Midpines 1003  ,Patrick Little,U S Senate,,REP,1,7,8,
Mariposa,Midpines 1003  ,Tim Gildersleeve,U S Senate,,NON,0,0,0,
Mariposa,Midpines 1003  ,Michael Fahmy Girgis,U S Senate,,NON,0,0,0,
Mariposa,Midpines 1003  ,Don J Grundmann,U S Senate,,NON,0,0,0,
Mariposa,Midpines 1003  ,Rash Bihari Ghosh,U S Senate,,NON,1,0,1,
Mariposa,Midpines 1003  ,Ling Ling Shi,U S Senate,,NON,1,0,1,
Mariposa,Midpines 1003  ,"John ""Jack"" Crew",U S Senate,,REP,2,5,7,
Mariposa,Midpines 1003  ,Erin Cruz,U S Senate,,REP,2,17,19,
Mariposa,Midpines 1003  ,Derrick Michael Reid,U S Senate,,LIB,0,4,4,
Mariposa,Midpines 1003  ,Dianne Feinstein,U S Senate,,DEM,13,105,118,
Mariposa,Midpines 1003  ,Colleen Shea Fernald,U S Senate,,NON,1,2,3,
Mariposa,Midpines 1003  ,Adrienne Nicole Edward,U S Senate,,DEM,0,3,3,
Mariposa,Midpines 1003  ,Paul A Taylor,U S Senate,,REP,7,10,17,
Mariposa,Midpines 1003  ,Donnie O Turner,U S Senate,,DEM,0,0,0,
Mariposa,Midpines 1003  ,Pat Harris,U S Senate,,DEM,0,3,3,
Mariposa,Midpines 1003  ,Alison Hartson,U S Senate,,DEM,1,7,8,
Mariposa,Midpines 1003  ,Jason M Hanania,U S Senate,,NON,0,0,0,
Mariposa,Midpines 1003  ,David Hildebrand,U S Senate,,DEM,1,0,1,
Mariposa,Midpines 1003  ,Lee Olson,U S Senate,,NON,0,0,0,
Mariposa,Midpines 1003  ,"Roque ""Rocky"" De La Fuente",U S Senate,,REP,2,5,7,
Mariposa,Midpines 1003  ,Kevin De Leon,U S Senate,,DEM,7,22,29,
Mariposa,Midpines 1003  ,Kevin Mottus,U S Senate,,REP,0,5,5,
Mariposa,Midpines 1003  ,David Moore,U S Senate,,NON,1,0,1,
Mariposa,Midpines 1003  ,Mario Nabliba ,U S Senate,,REP,0,1,1,
Mariposa,Midpines 1003  ,Regina Bateson,U S House,4,DEM,4,24,28,
Mariposa,Midpines 1003  ,Robert Lawton,U S House,4,DEM,1,1,2,
Mariposa,Midpines 1003  ,Mitchell White,U S House,4,REP,5,7,12,
Mariposa,Midpines 1003  ,Roza Calderon,U S House,4,DEM,4,11,15,
Mariposa,Midpines 1003  ,Tom McClintock,U S House,4,REP,35,111,146,
Mariposa,Midpines 1003  ,Jessica Morse ,U S House,4,DEM,22,98,120,
Mariposa,Midpines 1003  ,Tom Pratt,State Senate,8,DEM,12,70,82,
Mariposa,Midpines 1003  ,Mark Belden,State Senate,8,NON,2,13,15,
Mariposa,Midpines 1003  ,Andreas Borgeas,State Senate,8,REP,42,114,156,
Mariposa,Midpines 1003  ,Paulina Miranda ,State Senate,8,DEM,12,52,64,
Mariposa,Midpines 1003  ,Carla J Neal,State Assembly ,5,DEM,23,126,149,
Mariposa,Midpines 1003  ,Frank Bigelow,State Assembly ,5,REP,46,126,172,
Mariposa,Strawberry Creek 1004 ,,Registered Voters,,,,,59,
Mariposa,Strawberry Creek 1004 ,,Ballots Cast,,,0,33,33,
Mariposa,Strawberry Creek 1004 ,Josh Jones,Governor ,,GRN,0,0,0,
Mariposa,Strawberry Creek 1004 ,J Bribiesca,Governor ,,DEM,0,0,0,
Mariposa,Strawberry Creek 1004 ,Gloria Estela La Riva,Governor ,,PF,0,0,0,
Mariposa,Strawberry Creek 1004 ,Peter Y Liu,Governor ,,REP,0,0,0,
Mariposa,Strawberry Creek 1004 ,Antonio Villaraigosa,Governor ,,DEM,0,5,5,
Mariposa,Strawberry Creek 1004 ,Yvonne Girard,Governor ,,REP,0,0,0,
Mariposa,Strawberry Creek 1004 ,Robert Davidson Griffis,Governor ,,DEM,0,0,0,
Mariposa,Strawberry Creek 1004 ,Shubham Goel,Governor ,,NON,0,0,0,
Mariposa,Strawberry Creek 1004 ,Travis Allen,Governor ,,REP,0,1,1,
Mariposa,Strawberry Creek 1004 ,Akinyemi Agbede,Governor ,,DEM,0,0,0,
Mariposa,Strawberry Creek 1004 ,Johnny Wattenburg,Governor ,,NON,0,0,0,
Mariposa,Strawberry Creek 1004 ,Nickolas Wildstar,Governor ,,LIB,0,0,0,
Mariposa,Strawberry Creek 1004 ,Desmond Silveira,Governor ,,NON,0,0,0,
Mariposa,Strawberry Creek 1004 ,Michael Shellenberger,Governor ,,DEM,0,1,1,
Mariposa,Strawberry Creek 1004 ,Zoltan Istvan,Governor ,,LIB,0,0,0,
Mariposa,Strawberry Creek 1004 ,Christopher N Carlson,Governor ,,GRN,0,0,0,
Mariposa,Strawberry Creek 1004 ,Thomas Jefferson Cares,Governor ,,DEM,0,0,0,
Mariposa,Strawberry Creek 1004 ,John Chiang,Governor ,,DEM,0,1,1,
Mariposa,Strawberry Creek 1004 ,John H Cox,Governor ,,REP,0,10,10,
Mariposa,Strawberry Creek 1004 ,Amanda Renteria ,Governor ,,DEM,0,0,0,
Mariposa,Strawberry Creek 1004 ,Delaine Eastin,Governor ,,DEM,0,0,0,
Mariposa,Strawberry Creek 1004 ,Jeffrey Edward Taylor,Governor ,,NON,0,0,0,
Mariposa,Strawberry Creek 1004 ,Klement Tinaj,Governor ,,DEM,0,0,0,
Mariposa,Strawberry Creek 1004 ,"Hakan ""Hawk"" Mikado",Governor ,,NON,0,0,0,
Mariposa,Strawberry Creek 1004 ,Albert Caesar Mezzetti,Governor ,,DEM,0,1,1,
Mariposa,Strawberry Creek 1004 ,Gavin Newsom,Governor ,,DEM,0,13,13,
Mariposa,Strawberry Creek 1004 ,"Robert C. Newman, II",Governor ,,REP,0,1,1,
Mariposa,Strawberry Creek 1004 ,Jeff Bleich,Lieutenant Governor,,DEM,0,6,6,
Mariposa,Strawberry Creek 1004 ,Eleni Kounalakis,Lieutenant Governor,,DEM,0,6,6,
Mariposa,Strawberry Creek 1004 ,Cameron Gharabiklou,Lieutenant Governor,,DEM,0,0,0,
Mariposa,Strawberry Creek 1004 ,Tim Ferreira,Lieutenant Governor,,LIB,0,0,0,
Mariposa,Strawberry Creek 1004 ,David Fennell,Lieutenant Governor,,REP,0,2,2,
Mariposa,Strawberry Creek 1004 ,Danny Thomas,Lieutenant Governor,,NON,0,0,0,
Mariposa,Strawberry Creek 1004 ,Cole Harris,Lieutenant Governor,,REP,0,3,3,
Mariposa,Strawberry Creek 1004 ,Ed Hernandez,Lieutenant Governor,,DEM,0,8,8,
Mariposa,Strawberry Creek 1004 ,David R Hernandez,Lieutenant Governor,,REP,0,3,3,
Mariposa,Strawberry Creek 1004 ,Lydia Ortega,Lieutenant Governor,,REP,0,3,3,
Mariposa,Strawberry Creek 1004 ,Gayle McLaughlin,Lieutenant Governor,,NON,0,0,0,
Mariposa,Strawberry Creek 1004 ,Steve Poizner,Insurance Commissioner,,NON,0,15,15,
Mariposa,Strawberry Creek 1004 ,Ricardo Lara,Insurance Commissioner,,DEM,0,12,12,
Mariposa,Strawberry Creek 1004 ,Nathalie Hrizi,Insurance Commissioner,,PF,0,0,0,
Mariposa,Strawberry Creek 1004 ,Asif Mahmood,Insurance Commissioner,,DEM,0,5,5,
Mariposa,Strawberry Creek 1004 ,Gerald Plummer,U S Senate,,DEM,0,0,0,
Mariposa,Strawberry Creek 1004 ,Tom Palzer,U S Senate,,REP,0,0,0,
Mariposa,Strawberry Creek 1004 ,John Thompson Parker,U S Senate,,PF,0,0,0,
Mariposa,Strawberry Creek 1004 ,Douglas Howard Pierce,U S Senate,,DEM,0,0,0,
Mariposa,Strawberry Creek 1004 ,Herbert G Peters,U S Senate,,DEM,0,0,0,
