county,precinct,office,district,party,candidate,votes,mail,election_day
Sutter,Veterans 19,Governor,,Dem,Gavin Newsom,241,173,68
Sutter,Veterans 20,Governor,,Dem,Gavin Newsom,357,246,111
Sutter,St Andrew 21,Governor,,Dem,Gavin Newsom,529,321,113
Sutter,St Andrew 22,Governor,,Dem,Gavin Newsom,497,295,139
Sutter,AK School 23,Governor,,Dem,Gavin Newsom,510,370,117
Sutter,AK School 24,Governor,,Dem,Gavin Newsom,707,434,160
Sutter,St James 25,Governor,,Dem,Gavin Newsom,211,161,31
Sutter,Walnut 26,Governor,,Dem,Gavin Newsom,205,200,84
Sutter,Walnut 27,Governor,,Dem,Gavin Newsom,155,206,72
Sutter,NV Calvary 28,Governor,,Dem,Gavin Newsom,461,360,117
Sutter,NV Calvary 29,Governor,,Dem,Gavin Newsom,370,257,122
Sutter,Riverbend 30,Governor,,Dem,Gavin Newsom,355,258,92
Sutter,1st Reform 31,Governor,,Dem,Gavin Newsom,57,65,28
Sutter,P Grove 32,Governor,,Dem,Gavin Newsom,64,80,58
Sutter,E Nicolaus 33,Governor,,Dem,Gavin Newsom,142,145,76
Sutter,34,Governor,,Dem,Gavin Newsom,159,240,3
Sutter,35,Governor,,Dem,Gavin Newsom,95,154,1
Sutter,36,Governor,,Dem,Gavin Newsom,42,54,0
Sutter,37,Governor,,Dem,Gavin Newsom,210,279,0
Sutter,38,Governor,,Dem,Gavin Newsom,96,148,0
Sutter,39,Governor,,Dem,Gavin Newsom,29,55,1
Sutter,40,Governor,,Dem,Gavin Newsom,199,221,0
Sutter,41,Governor,,Dem,Gavin Newsom,243,280,0
Sutter,42,Governor,,Dem,Gavin Newsom,154,191,0
Sutter,43,Governor,,Dem,Gavin Newsom,170,204,0
Sutter,44,Governor,,Dem,Gavin Newsom,300,278,0
Sutter,45,Governor,,Dem,Gavin Newsom,80,115,0
Sutter,46,Governor,,Dem,Gavin Newsom,11,18,0
Sutter,47,Governor,,Dem,Gavin Newsom,10,19,0
Sutter,48,Governor,,Dem,Gavin Newsom,106,123,0
Sutter,49,Governor,,Dem,Gavin Newsom,96,157,0
Sutter,50,Governor,,Dem,Gavin Newsom,30,29,0
Sutter,LO Comm 01 ,Lt Governor,,Dem,Ed Hernandez,395,256,139
Sutter,LO Comm 02 ,Lt Governor,,Dem,Ed Hernandez,488,314,174
Sutter,Dell Wayne 03,Lt Governor,,Dem,Ed Hernandez,178,136,42
Sutter,United Pent 04,Lt Governor,,Dem,Ed Hernandez,446,321,125
Sutter,United Pent 05,Lt Governor,,Dem,Ed Hernandez,277,187,90
Sutter,7th Day 06,Lt Governor,,Dem,Ed Hernandez,58,46,12
Sutter,Sutter Estates 07,Lt Governor,,Dem,Ed Hernandez,102,77,25
Sutter,YS Fair 08,Lt Governor,,Dem,Ed Hernandez,162,92,70
Sutter,YS Fair 09,Lt Governor,,Dem,Ed Hernandez,142,89,53
Sutter,St Isidore 10,Lt Governor,,Dem,Ed Hernandez,118,82,36
Sutter,Sutter HS 11,Lt Governor,,Dem,Ed Hernandez,235,172,63
Sutter,Sutter HS 12,Lt Governor,,Dem,Ed Hernandez,224,139,85
Sutter,Franklin 13,Lt Governor,,Dem,Ed Hernandez,87,64,23
Sutter,Meridian 14,Lt Governor,,Dem,Ed Hernandez,56,42,14
Sutter,1st United 15,Lt Governor,,Dem,Ed Hernandez,312,242,70
Sutter,1st United 16,Lt Governor,,Dem,Ed Hernandez,241,179,62
Sutter,Veterans 17,Lt Governor,,Dem,Ed Hernandez,142,100,42
Sutter,Veterans 18,Lt Governor,,Dem,Ed Hernandez,189,148,41
Sutter,Veterans 19,Lt Governor,,Dem,Ed Hernandez,249,174,75
Sutter,Veterans 20,Lt Governor,,Dem,Ed Hernandez,312,225,87
Sutter,St Andrew 21,Lt Governor,,Dem,Ed Hernandez,323,395,85
Sutter,St Andrew 22,Lt Governor,,Dem,Ed Hernandez,353,375,127
Sutter,AK School 23,Lt Governor,,Dem,Ed Hernandez,359,385,129
Sutter,AK School 24,Lt Governor,,Dem,Ed Hernandez,451,553,163
Sutter,St James 25,Lt Governor,,Dem,Ed Hernandez,142,184,26
Sutter,Walnut 26,Lt Governor,,Dem,Ed Hernandez,243,157,59
Sutter,Walnut 27,Lt Governor,,Dem,Ed Hernandez,182,135,51
Sutter,NV Calvary 28,Lt Governor,,Dem,Ed Hernandez,363,371,118
Sutter,NV Calvary 29,Lt Governor,,Dem,Ed Hernandez,290,271,132
Sutter,Riverbend 30,Lt Governor,,Dem,Ed Hernandez,284,281,111
Sutter,1st Reform 31,Lt Governor,,Dem,Ed Hernandez,49,40,25
Sutter,P Grove 32,Lt Governor,,Dem,Ed Hernandez,107,53,26
Sutter,E Nicolaus 33,Lt Governor,,Dem,Ed Hernandez,229,106,64
Sutter,34,Lt Governor,,Dem,Ed Hernandez,172,169,2
Sutter,35,Lt Governor,,Dem,Ed Hernandez,125,112,0
Sutter,36,Lt Governor,,Dem,Ed Hernandez,44,43,0
Sutter,37,Lt Governor,,Dem,Ed Hernandez,194,234,0
Sutter,38,Lt Governor,,Dem,Ed Hernandez,90,113,0
Sutter,39,Lt Governor,,Dem,Ed Hernandez,41,34,0
Sutter,40,Lt Governor,,Dem,Ed Hernandez,152,209,0
Sutter,41,Lt Governor,,Dem,Ed Hernandez,171,270,0
Sutter,42,Lt Governor,,Dem,Ed Hernandez,133,182,0
Sutter,43,Lt Governor,,Dem,Ed Hernandez,115,191,0
Sutter,44,Lt Governor,,Dem,Ed Hernandez,278,326,0
Sutter,45,Lt Governor,,Dem,Ed Hernandez,105,102,0
Sutter,46,Lt Governor,,Dem,Ed Hernandez,27,11,0
Sutter,47,Lt Governor,,Dem,Ed Hernandez,16,10,0
Sutter,48,Lt Governor,,Dem,Ed Hernandez,92,108,0
Sutter,49,Lt Governor,,Dem,Ed Hernandez,99,107,0
Sutter,50,Lt Governor,,Dem,Ed Hernandez,33,35,0
Sutter,LO Comm 01 ,Lt Governor,,Dem,Eleni Kounalakis,358,254,104
Sutter,LO Comm 02 ,Lt Governor,,Dem,Eleni Kounalakis,452,329,123
Sutter,Dell Wayne 03,Lt Governor,,Dem,Eleni Kounalakis,294,217,77
Sutter,United Pent 04,Lt Governor,,Dem,Eleni Kounalakis,628,467,161
Sutter,United Pent 05,Lt Governor,,Dem,Eleni Kounalakis,408,275,133
Sutter,7th Day 06,Lt Governor,,Dem,Eleni Kounalakis,109,86,23
Sutter,Sutter Estates 07,Lt Governor,,Dem,Eleni Kounalakis,135,87,48
Sutter,YS Fair 08,Lt Governor,,Dem,Eleni Kounalakis,130,95,35
Sutter,YS Fair 09,Lt Governor,,Dem,Eleni Kounalakis,233,158,75
Sutter,St Isidore 10,Lt Governor,,Dem,Eleni Kounalakis,197,137,60
Sutter,Sutter HS 11,Lt Governor,,Dem,Eleni Kounalakis,334,226,108
Sutter,Sutter HS 12,Lt Governor,,Dem,Eleni Kounalakis,292,192,100
Sutter,Franklin 13,Lt Governor,,Dem,Eleni Kounalakis,126,90,36
Sutter,Meridian 14,Lt Governor,,Dem,Eleni Kounalakis,104,83,21
Sutter,1st United 15,Lt Governor,,Dem,Eleni Kounalakis,392,296,96
Sutter,1st United 16,Lt Governor,,Dem,Eleni Kounalakis,385,274,111
Sutter,Veterans 17,Lt Governor,,Dem,Eleni Kounalakis,214,152,62
Sutter,Veterans 18,Lt Governor,,Dem,Eleni Kounalakis,295,225,70
Sutter,Veterans 19,Lt Governor,,Dem,Eleni Kounalakis,333,259,74
Sutter,Veterans 20,Lt Governor,,Dem,Eleni Kounalakis,365,270,95
Sutter,St Andrew 21,Lt Governor,,Dem,Eleni Kounalakis,431,239,110
Sutter,St Andrew 22,Lt Governor,,Dem,Eleni Kounalakis,434,324,146
Sutter,AK School 23,Lt Governor,,Dem,Eleni Kounalakis,487,363,179
Sutter,AK School 24,Lt Governor,,Dem,Eleni Kounalakis,594,370,160
Sutter,St James 25,Lt Governor,,Dem,Eleni Kounalakis,192,172,50
Sutter,Walnut 26,Lt Governor,,Dem,Eleni Kounalakis,284,357,117
Sutter,Walnut 27,Lt Governor,,Dem,Eleni Kounalakis,278,354,118
Sutter,NV Calvary 28,Lt Governor,,Dem,Eleni Kounalakis,477,423,157
Sutter,NV Calvary 29,Lt Governor,,Dem,Eleni Kounalakis,379,265,153
Sutter,Riverbend 30,Lt Governor,,Dem,Eleni Kounalakis,350,271,113
Sutter,1st Reform 31,Lt Governor,,Dem,Eleni Kounalakis,93,96,46
Sutter,P Grove 32,Lt Governor,,Dem,Eleni Kounalakis,138,181,119
Sutter,E Nicolaus 33,Lt Governor,,Dem,Eleni Kounalakis,221,311,165
Sutter,34,Lt Governor,,Dem,Eleni Kounalakis,243,427,2
Sutter,35,Lt Governor,,Dem,Eleni Kounalakis,155,297,3
Sutter,36,Lt Governor,,Dem,Eleni Kounalakis,54,87,0
Sutter,37,Lt Governor,,Dem,Eleni Kounalakis,279,426,0
Sutter,38,Lt Governor,,Dem,Eleni Kounalakis,148,236,0
Sutter,39,Lt Governor,,Dem,Eleni Kounalakis,56,119,1
Sutter,40,Lt Governor,,Dem,Eleni Kounalakis,221,251,0
Sutter,41,Lt Governor,,Dem,Eleni Kounalakis,280,306,0
Sutter,42,Lt Governor,,Dem,Eleni Kounalakis,191,269,0
Sutter,43,Lt Governor,,Dem,Eleni Kounalakis,204,197,0
Sutter,44,Lt Governor,,Dem,Eleni Kounalakis,278,361,0
Sutter,45,Lt Governor,,Dem,Eleni Kounalakis,115,199,0
Sutter,46,Lt Governor,,Dem,Eleni Kounalakis,18,59,0
Sutter,47,Lt Governor,,Dem,Eleni Kounalakis,19,44,0
Sutter,48,Lt Governor,,Dem,Eleni Kounalakis,123,174,0
Sutter,49,Lt Governor,,Dem,Eleni Kounalakis,157,287,0
Sutter,50,Lt Governor,,Dem,Eleni Kounalakis,29,38,0
Sutter,LO Comm 01 ,Secretary of State,,Dem,Alex Padilla,500,337,163
Sutter,LO Comm 02 ,Secretary of State,,Dem,Alex Padilla,566,386,180
Sutter,Dell Wayne 03,Secretary of State,,Dem,Alex Padilla,239,184,55
Sutter,United Pent 04,Secretary of State,,Dem,Alex Padilla,557,405,152
Sutter,United Pent 05,Secretary of State,,Dem,Alex Padilla,345,237,108
Sutter,7th Day 06,Secretary of State,,Dem,Alex Padilla,80,58,22
Sutter,Sutter Estates 07,Secretary of State,,Dem,Alex Padilla,153,105,48
Sutter,YS Fair 08,Secretary of State,,Dem,Alex Padilla,199,123,76
Sutter,YS Fair 09,Secretary of State,,Dem,Alex Padilla,219,147,72
Sutter,St Isidore 10,Secretary of State,,Dem,Alex Padilla,182,129,53
Sutter,Sutter HS 11,Secretary of State,,Dem,Alex Padilla,172,122,50
Sutter,Sutter HS 12,Secretary of State,,Dem,Alex Padilla,150,88,62
Sutter,Franklin 13,Secretary of State,,Dem,Alex Padilla,71,46,25
Sutter,Meridian 14,Secretary of State,,Dem,Alex Padilla,41,35,6
Sutter,1st United 15,Secretary of State,,Dem,Alex Padilla,427,338,89
Sutter,1st United 16,Secretary of State,,Dem,Alex Padilla,305,209,96
Sutter,Veterans 17,Secretary of State,,Dem,Alex Padilla,160,114,46
Sutter,Veterans 18,Secretary of State,,Dem,Alex Padilla,220,169,51
Sutter,Veterans 19,Secretary of State,,Dem,Alex Padilla,274,202,72
Sutter,Veterans 20,Secretary of State,,Dem,Alex Padilla,377,262,115
Sutter,St Andrew 21,Secretary of State,,Dem,Alex Padilla,517,217,122
Sutter,St Andrew 22,Secretary of State,,Dem,Alex Padilla,502,327,135
Sutter,AK School 23,Secretary of State,,Dem,Alex Padilla,514,335,165
Sutter,AK School 24,Secretary of State,,Dem,Alex Padilla,716,347,147
Sutter,St James 25,Secretary of State,,Dem,Alex Padilla,210,167,48
Sutter,Walnut 26,Secretary of State,,Dem,Alex Padilla,216,338,111
Sutter,Walnut 27,Secretary of State,,Dem,Alex Padilla,186,347,112
Sutter,NV Calvary 28,Secretary of State,,Dem,Alex Padilla,489,409,147
Sutter,NV Calvary 29,Secretary of State,,Dem,Alex Padilla,403,272,155
Sutter,Riverbend 30,Secretary of State,,Dem,Alex Padilla,392,260,111
Sutter,1st Reform 31,Secretary of State,,Dem,Alex Padilla,65,93,46
Sutter,P Grove 32,Secretary of State,,Dem,Alex Padilla,79,182,108
Sutter,E Nicolaus 33,Secretary of State,,Dem,Alex Padilla,170,294,166
Sutter,34,Secretary of State,,Dem,Alex Padilla,171,412,2
Sutter,35,Secretary of State,,Dem,Alex Padilla,112,290,3
Sutter,36,Secretary of State,,Dem,Alex Padilla,43,83,0
Sutter,37,Secretary of State,,Dem,Alex Padilla,234,410,0
Sutter,38,Secretary of State,,Dem,Alex Padilla,113,226,0
Sutter,39,Secretary of State,,Dem,Alex Padilla,34,115,1
Sutter,40,Secretary of State,,Dem,Alex Padilla,209,232,0
Sutter,41,Secretary of State,,Dem,Alex Padilla,270,284,0
Sutter,42,Secretary of State,,Dem,Alex Padilla,182,255,0
Sutter,43,Secretary of State,,Dem,Alex Padilla,191,193,0
Sutter,44,Secretary of State,,Dem,Alex Padilla,326,338,0
Sutter,45,Secretary of State,,Dem,Alex Padilla,102,192,0
Sutter,46,Secretary of State,,Dem,Alex Padilla,11,58,0
Sutter,47,Secretary of State,,Dem,Alex Padilla,10,42,0
Sutter,48,Secretary of State,,Dem,Alex Padilla,108,172,0
Sutter,49,Secretary of State,,Dem,Alex Padilla,107,282,0
Sutter,50,Secretary of State,,Dem,Alex Padilla,35,35,0
Sutter,LO Comm 01 ,Secretary of State,,Rep,Mark Meuser,368,245,123
Sutter,LO Comm 02 ,Secretary of State,,Rep,Mark Meuser,492,333,159
Sutter,Dell Wayne 03,Secretary of State,,Rep,Mark Meuser,346,248,98
Sutter,United Pent 04,Secretary of State,,Rep,Mark Meuser,865,651,214
Sutter,United Pent 05,Secretary of State,,Rep,Mark Meuser,511,339,172
Sutter,7th Day 06,Secretary of State,,Rep,Mark Meuser,127,106,21
Sutter,Sutter Estates 07,Secretary of State,,Rep,Mark Meuser,125,92,33
Sutter,YS Fair 08,Secretary of State,,Rep,Mark Meuser,135,93,42
Sutter,YS Fair 09,Secretary of State,,Rep,Mark Meuser,252,168,84
Sutter,St Isidore 10,Secretary of State,,Rep,Mark Meuser,273,188,85
Sutter,Sutter HS 11,Secretary of State,,Rep,Mark Meuser,662,485,177
Sutter,Sutter HS 12,Secretary of State,,Rep,Mark Meuser,588,410,178
Sutter,Franklin 13,Secretary of State,,Rep,Mark Meuser,241,186,55
Sutter,Meridian 14,Secretary of State,,Rep,Mark Meuser,194,146,48
Sutter,1st United 15,Secretary of State,,Rep,Mark Meuser,481,337,144
Sutter,1st United 16,Secretary of State,,Rep,Mark Meuser,622,455,167
Sutter,Veterans 17,Secretary of State,,Rep,Mark Meuser,310,217,93
Sutter,Veterans 18,Secretary of State,,Rep,Mark Meuser,447,332,115
Sutter,Veterans 19,Secretary of State,,Rep,Mark Meuser,523,394,129
Sutter,Veterans 20,Secretary of State,,Rep,Mark Meuser,509,390,119
Sutter,St Andrew 21,Secretary of State,,Rep,Mark Meuser,361,410,122
Sutter,St Andrew 22,Secretary of State,,Rep,Mark Meuser,470,377,137
Sutter,AK School 23,Secretary of State,,Rep,Mark Meuser,542,409,140
Sutter,AK School 24,Secretary of State,,Rep,Mark Meuser,530,566,172
Sutter,St James 25,Secretary of State,,Rep,Mark Meuser,222,185,29
Sutter,Walnut 26,Secretary of State,,Rep,Mark Meuser,474,182,66
Sutter,Walnut 27,Secretary of State,,Rep,Mark Meuser,472,135,55
Sutter,NV Calvary 28,Secretary of State,,Rep,Mark Meuser,580,394,123
Sutter,NV Calvary 29,Secretary of State,,Rep,Mark Meuser,418,270,132
Sutter,Riverbend 30,Secretary of State,,Rep,Mark Meuser,384,296,111
Sutter,1st Reform 31,Secretary of State,,Rep,Mark Meuser,142,40,24
Sutter,P Grove 32,Secretary of State,,Rep,Mark Meuser,300,52,35
Sutter,E Nicolaus 33,Secretary of State,,Rep,Mark Meuser,476,118,61
Sutter,34,Secretary of State,,Rep,Mark Meuser,429,186,2
Sutter,35,Secretary of State,,Rep,Mark Meuser,300,116,0
Sutter,36,Secretary of State,,Rep,Mark Meuser,87,47,0
Sutter,37,Secretary of State,,Rep,Mark Meuser,426,252,0
Sutter,38,Secretary of State,,Rep,Mark Meuser,236,125,0
Sutter,39,Secretary of State,,Rep,Mark Meuser,120,38,0
Sutter,40,Secretary of State,,Rep,Mark Meuser,251,229,0
Sutter,41,Secretary of State,,Rep,Mark Meuser,306,295,0
Sutter,42,Secretary of State,,Rep,Mark Meuser,269,200,0
Sutter,43,Secretary of State,,Rep,Mark Meuser,197,193,0
Sutter,44,Secretary of State,,Rep,Mark Meuser,361,345,0
Sutter,45,Secretary of State,,Rep,Mark Meuser,199,110,0
Sutter,46,Secretary of State,,Rep,Mark Meuser,59,11,0
Sutter,47,Secretary of State,,Rep,Mark Meuser,44,12,0
Sutter,48,Secretary of State,,Rep,Mark Meuser,174,108,0
Sutter,49,Secretary of State,,Rep,Mark Meuser,287,115,0
Sutter,50,Secretary of State,,Rep,Mark Meuser,38,39,0
Sutter,LO Comm 01 ,Controller,,Rep,Konstantinos Roditis,352,232,120
Sutter,LO Comm 02 ,Controller,,Rep,Konstantinos Roditis,474,319,155
Sutter,Dell Wayne 03,Controller,,Rep,Konstantinos Roditis,326,234,92
Sutter,United Pent 04,Controller,,Rep,Konstantinos Roditis,811,611,200
Sutter,United Pent 05,Controller,,Rep,Konstantinos Roditis,472,317,155
Sutter,7th Day 06,Controller,,Rep,Konstantinos Roditis,120,100,20
Sutter,Sutter Estates 07,Controller,,Rep,Konstantinos Roditis,120,89,31
Sutter,YS Fair 08,Controller,,Rep,Konstantinos Roditis,141,96,45
Sutter,YS Fair 09,Controller,,Rep,Konstantinos Roditis,245,163,82
Sutter,St Isidore 10,Controller,,Rep,Konstantinos Roditis,269,182,87
Sutter,Sutter HS 11,Controller,,Rep,Konstantinos Roditis,642,472,170
Sutter,Sutter HS 12,Controller,,Rep,Konstantinos Roditis,568,394,174
Sutter,Franklin 13,Controller,,Rep,Konstantinos Roditis,225,172,53
Sutter,Meridian 14,Controller,,Rep,Konstantinos Roditis,185,137,48
Sutter,1st United 15,Controller,,Rep,Konstantinos Roditis,461,320,141
Sutter,1st United 16,Controller,,Rep,Konstantinos Roditis,583,421,162
Sutter,Veterans 17,Controller,,Rep,Konstantinos Roditis,291,207,84
Sutter,Veterans 18,Controller,,Rep,Konstantinos Roditis,424,315,109
Sutter,Veterans 19,Controller,,Rep,Konstantinos Roditis,493,370,123
Sutter,Veterans 20,Controller,,Rep,Konstantinos Roditis,498,388,110
Sutter,St Andrew 21,Controller,,Rep,Konstantinos Roditis,330,,113
Sutter,St Andrew 22,Controller,,Rep,Konstantinos Roditis,462,,
Sutter,AK School 23,Controller,,Rep,Konstantinos Roditis,500,,
Sutter,AK School 24,Controller,,Rep,Konstantinos Roditis,494,,
Sutter,St James 25,Controller,,Rep,Konstantinos Roditis,215,,
Sutter,Walnut 26,Controller,,Rep,Konstantinos Roditis,449,,
Sutter,Walnut 27,Controller,,Rep,Konstantinos Roditis,459,,
Sutter,NV Calvary 28,Controller,,Rep,Konstantinos Roditis,556,,
Sutter,NV Calvary 29,Controller,,Rep,Konstantinos Roditis,427,,
Sutter,Riverbend 30,Controller,,Rep,Konstantinos Roditis,371,,
Sutter,1st Reform 31,Controller,,Rep,Konstantinos Roditis,139,,
Sutter,P Grove 32,Controller,,Rep,Konstantinos Roditis,290,,
Sutter,E Nicolaus 33,Controller,,Rep,Konstantinos Roditis,460,,
Sutter,34,Controller,,Rep,Konstantinos Roditis,414,,
Sutter,35,Controller,,Rep,Konstantinos Roditis,293,,
Sutter,36,Controller,,Rep,Konstantinos Roditis,83,,
Sutter,37,Controller,,Rep,Konstantinos Roditis,410,,
Sutter,38,Controller,,Rep,Konstantinos Roditis,226,,
Sutter,39,Controller,,Rep,Konstantinos Roditis,116,,
Sutter,40,Controller,,Rep,Konstantinos Roditis,232,,
Sutter,41,Controller,,Rep,Konstantinos Roditis,284,,
Sutter,42,Controller,,Rep,Konstantinos Roditis,255,,
Sutter,43,Controller,,Rep,Konstantinos Roditis,193,,
Sutter,44,Controller,,Rep,Konstantinos Roditis,338,,
Sutter,45,Controller,,Rep,Konstantinos Roditis,192,,
Sutter,46,Controller,,Rep,Konstantinos Roditis,58,,
Sutter,47,Controller,,Rep,Konstantinos Roditis,42,,
Sutter,48,Controller,,Rep,Konstantinos Roditis,172,,
Sutter,49,Controller,,Rep,Konstantinos Roditis,282,,
Sutter,50,Controller,,Rep,Konstantinos Roditis,35,,
Sutter,LO Comm 01 ,Controller,,Dem,Betty Yee,513,350,163
Sutter,LO Comm 02 ,Controller,,Dem,Betty Yee,587,404,183
Sutter,Dell Wayne 03,Controller,,Dem,Betty Yee,256,194,62
Sutter,United Pent 04,Controller,,Dem,Betty Yee,603,438,165
Sutter,United Pent 05,Controller,,Dem,Betty Yee,381,261,120
Sutter,7th Day 06,Controller,,Dem,Betty Yee,88,66,22
Sutter,Sutter Estates 07,Controller,,Dem,Betty Yee,153,107,46
Sutter,YS Fair 08,Controller,,Dem,Betty Yee,192,120,72
Sutter,YS Fair 09,Controller,,Dem,Betty Yee,221,149,72
Sutter,St Isidore 10,Controller,,Dem,Betty Yee,187,134,53
Sutter,Sutter HS 11,Controller,,Dem,Betty Yee,197,139,58
Sutter,Sutter HS 12,Controller,,Dem,Betty Yee,169,104,65
Sutter,Franklin 13,Controller,,Dem,Betty Yee,86,60,26
Sutter,Meridian 14,Controller,,Dem,Betty Yee,49,43,6
Sutter,1st United 15,Controller,,Dem,Betty Yee,447,357,90
Sutter,1st United 16,Controller,,Dem,Betty Yee,338,239,99
Sutter,Veterans 17,Controller,,Dem,Betty Yee,178,124,54
Sutter,Veterans 18,Controller,,Dem,Betty Yee,239,182,57
Sutter,Veterans 19,Controller,,Dem,Betty Yee,299,222,77
Sutter,Veterans 20,Controller,,Dem,Betty Yee,367,251,116
Sutter,St Andrew 21,Controller,,Dem,Betty Yee,537,,127
Sutter,St Andrew 22,Controller,,Dem,Betty Yee,514,,
Sutter,AK School 23,Controller,,Dem,Betty Yee,549,,
Sutter,AK School 24,Controller,,Dem,Betty Yee,738,,
Sutter,St James 25,Controller,,Dem,Betty Yee,214,,
Sutter,Walnut 26,Controller,,Dem,Betty Yee,248,,
Sutter,Walnut 27,Controller,,Dem,Betty Yee,190,,
Sutter,NV Calvary 28,Controller,,Dem,Betty Yee,517,,
Sutter,NV Calvary 29,Controller,,Dem,Betty Yee,402,,
Sutter,Riverbend 30,Controller,,Dem,Betty Yee,407,,
Sutter,1st Reform 31,Controller,,Dem,Betty Yee,64,,
Sutter,P Grove 32,Controller,,Dem,Betty Yee,87,,
Sutter,E Nicolaus 33,Controller,,Dem,Betty Yee,179,,
Sutter,34,Controller,,Dem,Betty Yee,188,,
Sutter,35,Controller,,Dem,Betty Yee,116,,
Sutter,36,Controller,,Dem,Betty Yee,47,,
Sutter,37,Controller,,Dem,Betty Yee,252,,
Sutter,38,Controller,,Dem,Betty Yee,125,,
Sutter,39,Controller,,Dem,Betty Yee,38,,
Sutter,40,Controller,,Dem,Betty Yee,229,,
