candidate,office,district,party,county,precinct,mail,election_day,votes
Tim Ferreira,Lieutenant Governor,,LIB,Kings,101,1,7,8
David Fennell,Lieutenant Governor,,REP,Kings,101,27,79,106
Danny Thomas,Lieutenant Governor,,NON,Kings,101,1,5,6
Cole Harris,Lieutenant Governor,,REP,Kings,101,45,102,147
Ed Hernandez,Lieutenant Governor,,DEM,Kings,101,30,79,109
David R Hernandez,Lieutenant Governor,,REP,Kings,101,9,38,47
Lydia Ortega,Lieutenant Governor,,REP,Kings,101,25,67,92
Gayle McLaughlin,Lieutenant Governor,,NON,Kings,101,4,12,16
Alex Padilla,Secretary of State,,DEM,Kings,101,49,119,168
Gail K Lightfoot,Secretary of State,,LIB,Kings,101,9,20,29
C T Weber,Secretary of State,,PF,Kings,101,1,4,5
Erik Rydberg,Secretary of State,,GRN,Kings,101,1,0,1
Raul Rodriguez Jr,Secretary of State,,REP,Kings,101,7,36,43
Michael Feinstein,Secretary of State,,GRN,Kings,101,1,10,11
Ruben Major,Secretary of State,,DEM,Kings,101,3,15,18
Mark P Meuser,Secretary of State,,REP,Kings,101,98,260,358
Konstantinos Roditis,Controller,,REP,Kings,101,93,265,358
Mary Lou Finley,Controller,,PF,Kings,101,6,18,24
Betty T Yee,Controller,,DEM,Kings,101,73,176,249
Vivek Viswanathan,Treasurer,,DEM,Kings,101,6,39,45
Jack M Guerrero,Treasurer,,REP,Kings,101,65,180,245
Kevin Akin,Treasurer,,PF,Kings,101,5,12,17
Greg Conlon,Treasurer,,REP,Kings,101,50,134,184
Fiona Ma,Treasurer,,DEM,Kings,101,42,98,140
Dave Jones,Attorney General,,DEM,Kings,101,23,68,91
Steven C Bailey,Attorney General,,REP,Kings,101,66,172,238
Xavier Becerra,Attorney General,,DEM,Kings,101,32,98,130
Eric Early,Attorney General,,REP,Kings,101,53,130,183
Steve Poizner,Insurance Commissioner,,NON,Kings,101,86,252,338
Ricardo Lara,Insurance Commissioner,,DEM,Kings,101,42,111,153
Nathalie Hrizi,Insurance Commissioner,,PF,Kings,101,8,21,29
Asif Mahmood,Insurance Commissioner,,DEM,Kings,101,15,47,62
Gerald Plummer,U.S. Senate,,DEM,Kings,101,4,12,16
Tom Palzer,U.S. Senate,,REP,Kings,101,7,33,40
John Thompson Parker,U.S. Senate,,PF,Kings,101,0,2,2
Douglas Howard Pierce,U.S. Senate,,DEM,Kings,101,5,5,10
Herbert G Peters,U.S. Senate,,DEM,Kings,101,1,5,6
James P Bradley,U.S. Senate,,REP,Kings,101,32,78,110
Arun K Bhumitra,U.S. Senate,,REP,Kings,101,19,37,56
Jerry Joseph Laws,U.S. Senate,,REP,Kings,101,3,13,16
Patrick Little,U.S. Senate,,REP,Kings,101,0,8,8
Tim Gildersleeve,U.S. Senate,,NON,Kings,101,0,4,4
Michael Fahmy Girgis,U.S. Senate,,NON,Kings,101,0,0,0
Don J Grundmann,U.S. Senate,,NON,Kings,101,0,2,2
Rash Bihari Ghosh,U.S. Senate,,NON,Kings,101,0,0,0
Ling Ling Shi,U.S. Senate,,NON,Kings,101,0,0,0
"John ""Jack"" Crew",U.S. Senate,,REP,Kings,101,7,15,22
Erin Cruz,U.S. Senate,,REP,Kings,101,12,34,46
Derrick Michael Reid,U.S. Senate,,LIB,Kings,101,2,4,6
Dianne Feinstein,U.S. Senate,,DEM,Kings,101,29,87,116
Colleen Shea Fernald,U.S. Senate,,NON,Kings,101,0,0,0
Adrienne Nicole Edward,U.S. Senate,,DEM,Kings,101,1,2,3
Paul A Taylor,U.S. Senate,,REP,Kings,101,11,24,35
Donnie O Turner,U.S. Senate,,DEM,Kings,101,3,0,3
Pat Harris,U.S. Senate,,DEM,Kings,101,2,8,10
Alison Hartson,U.S. Senate,,DEM,Kings,101,2,10,12
Jason M Hanania,U.S. Senate,,NON,Kings,101,1,2,3
David Hildebrand,U.S. Senate,,DEM,Kings,101,0,3,3
Lee Olson,U.S. Senate,,NON,Kings,101,0,1,1
"Roque ""Rocky"" De La Fuente",U.S. Senate,,REP,Kings,101,5,9,14
Kevin De Leon,U.S. Senate,,DEM,Kings,101,11,23,34
Kevin Mottus,U.S. Senate,,REP,Kings,101,3,13,16
David Moore,U.S. Senate,,NON,Kings,101,1,0,1
Mario Nabliba,U.S. Senate,,REP,Kings,101,6,8,14
Andy Vidak,State Senate,14,REP,Kings,101,126,330,456
Ruben Macareno,State Senate,14,DEM,Kings,101,13,26,39
Abigail Solis,State Senate,14,DEM,Kings,101,18,44,62
Melissa Hurtado,State Senate,14,DEM,Kings,101,21,71,92
Justin Mendes,State Assembly,32,REP,Kings,101,116,309,425
Rudy Salas,State Assembly,32,DEM,Kings,101,60,159,219
,Registered Voters,,,Kings,102,,,1980
,Ballots Cast,,,Kings,102,103,243,346
Josh Jones,Governor,,GRN,Kings,102,0,2,2
J Bribiesca,Governor,,DEM,Kings,102,0,0,0
Gloria Estela La Riva,Governor,,PF,Kings,102,0,0,0
Peter Y Liu,Governor,,REP,Kings,102,0,0,0
Antonio Villaraigosa,Governor,,DEM,Kings,102,13,29,42
Yvonne Girard,Governor,,REP,Kings,102,3,1,4
Robert Davidson Griffis,Governor,,DEM,Kings,102,0,1,1
Shubham Goel,Governor,,NON,Kings,102,0,0,0
Travis Allen,Governor,,REP,Kings,102,23,63,86
Akinyemi Agbede,Governor,,DEM,Kings,102,0,0,0
Johnny Wattenburg,Governor,,NON,Kings,102,0,0,0
Nickolas Wildstar,Governor,,LIB,Kings,102,1,0,1
Desmond Silveira,Governor,,NON,Kings,102,0,0,0
Michael Shellenberger,Governor,,DEM,Kings,102,0,1,1
Zoltan Istvan,Governor,,LIB,Kings,102,0,0,0
Christopher N Carlson,Governor,,GRN,Kings,102,0,0,0
Thomas Jefferson Cares,Governor,,DEM,Kings,102,0,1,1
John Chiang,Governor,,DEM,Kings,102,8,21,29
John H Cox,Governor,,REP,Kings,102,39,81,120
Amanda Renteria,Governor,,DEM,Kings,102,1,3,4
Delaine Eastin,Governor,,DEM,Kings,102,2,4,6
Jeffrey Edward Taylor,Governor,,NON,Kings,102,0,0,0
Klement Tinaj,Governor,,DEM,Kings,102,0,0,0
"Hakan ""Hawk"" Mikado",Governor,,NON,Kings,102,0,0,0
Albert Caesar Mezzetti,Governor,,DEM,Kings,102,0,1,1
Gavin Newsom,Governor,,DEM,Kings,102,10,29,39
"Robert C. Newman, II",Governor,,REP,Kings,102,0,0,0
Jeff Bleich,Lieutenant Governor,,DEM,Kings,102,4,14,18
Eleni Kounalakis,Lieutenant Governor,,DEM,Kings,102,9,24,33
Cameron Gharabiklou,Lieutenant Governor,,DEM,Kings,102,0,1,1
Tim Ferreira,Lieutenant Governor,,LIB,Kings,102,2,7,9
David Fennell,Lieutenant Governor,,REP,Kings,102,10,32,42
Danny Thomas,Lieutenant Governor,,NON,Kings,102,0,3,3
Cole Harris,Lieutenant Governor,,REP,Kings,102,23,54,77
Ed Hernandez,Lieutenant Governor,,DEM,Kings,102,13,42,55
David R Hernandez,Lieutenant Governor,,REP,Kings,102,6,15,21
Lydia Ortega,Lieutenant Governor,,REP,Kings,102,23,36,59
Gayle McLaughlin,Lieutenant Governor,,NON,Kings,102,3,5,8
Alex Padilla,Secretary of State,,DEM,Kings,102,22,72,94
Gail K Lightfoot,Secretary of State,,LIB,Kings,102,4,4,8
C T Weber,Secretary of State,,PF,Kings,102,1,1,2
Erik Rydberg,Secretary of State,,GRN,Kings,102,0,0,0
Raul Rodriguez Jr,Secretary of State,,REP,Kings,102,7,16,23
Michael Feinstein,Secretary of State,,GRN,Kings,102,0,5,5
Ruben Major,Secretary of State,,DEM,Kings,102,8,7,15
Mark P Meuser,Secretary of State,,REP,Kings,102,56,127,183
Konstantinos Roditis,Controller,,REP,Kings,102,51,125,176
Mary Lou Finley,Controller,,PF,Kings,102,3,11,14
Betty T Yee,Controller,,DEM,Kings,102,42,89,131
Vivek Viswanathan,Treasurer,,DEM,Kings,102,4,15,19
Jack M Guerrero,Treasurer,,REP,Kings,102,30,80,110
Kevin Akin,Treasurer,,PF,Kings,102,2,6,8
Greg Conlon,Treasurer,,REP,Kings,102,33,67,100
Fiona Ma,Treasurer,,DEM,Kings,102,24,56,80
Dave Jones,Attorney General,,DEM,Kings,102,17,37,54
Steven C Bailey,Attorney General,,REP,Kings,102,38,84,122
Xavier Becerra,Attorney General,,DEM,Kings,102,14,54,68
Eric Early,Attorney General,,REP,Kings,102,30,54,84
Steve Poizner,Insurance Commissioner,,NON,Kings,102,53,131,184
Ricardo Lara,Insurance Commissioner,,DEM,Kings,102,23,55,78
Nathalie Hrizi,Insurance Commissioner,,PF,Kings,102,4,7,11
Asif Mahmood,Insurance Commissioner,,DEM,Kings,102,9,22,31
Gerald Plummer,U.S. Senate,,DEM,Kings,102,0,4,4
Tom Palzer,U.S. Senate,,REP,Kings,102,13,17,30
John Thompson Parker,U.S. Senate,,PF,Kings,102,0,0,0
Douglas Howard Pierce,U.S. Senate,,DEM,Kings,102,2,4,6
Herbert G Peters,U.S. Senate,,DEM,Kings,102,0,0,0
James P Bradley,U.S. Senate,,REP,Kings,102,8,26,34
Arun K Bhumitra,U.S. Senate,,REP,Kings,102,12,21,33
Jerry Joseph Laws,U.S. Senate,,REP,Kings,102,0,3,3
Patrick Little,U.S. Senate,,REP,Kings,102,0,3,3
Tim Gildersleeve,U.S. Senate,,NON,Kings,102,0,1,1
Michael Fahmy Girgis,U.S. Senate,,NON,Kings,102,0,0,0
Don J Grundmann,U.S. Senate,,NON,Kings,102,0,1,1
Rash Bihari Ghosh,U.S. Senate,,NON,Kings,102,0,0,0
Ling Ling Shi,U.S. Senate,,NON,Kings,102,0,0,0
"John ""Jack"" Crew",U.S. Senate,,REP,Kings,102,6,8,14
Erin Cruz,U.S. Senate,,REP,Kings,102,7,13,20
Derrick Michael Reid,U.S. Senate,,LIB,Kings,102,1,2,3
Dianne Feinstein,U.S. Senate,,DEM,Kings,102,27,56,83
Colleen Shea Fernald,U.S. Senate,,NON,Kings,102,1,0,1
Adrienne Nicole Edward,U.S. Senate,,DEM,Kings,102,0,1,1
Paul A Taylor,U.S. Senate,,REP,Kings,102,8,15,23
Donnie O Turner,U.S. Senate,,DEM,Kings,102,0,3,3
Pat Harris,U.S. Senate,,DEM,Kings,102,0,2,2
Alison Hartson,U.S. Senate,,DEM,Kings,102,1,8,9
Jason M Hanania,U.S. Senate,,NON,Kings,102,0,0,0
David Hildebrand,U.S. Senate,,DEM,Kings,102,1,0,1
Lee Olson,U.S. Senate,,NON,Kings,102,0,0,0
"Roque ""Rocky"" De La Fuente",U.S. Senate,,REP,Kings,102,2,5,7
Kevin De Leon,U.S. Senate,,DEM,Kings,102,1,8,9
Kevin Mottus,U.S. Senate,,REP,Kings,102,1,11,12
David Moore,U.S. Senate,,NON,Kings,102,1,1,2
Mario Nabliba,U.S. Senate,,REP,Kings,102,5,9,14
Andy Vidak,State Senate,14,REP,Kings,102,74,170,244
Ruben Macareno,State Senate,14,DEM,Kings,102,1,10,11
Abigail Solis,State Senate,14,DEM,Kings,102,11,33,44
Melissa Hurtado,State Senate,14,DEM,Kings,102,12,25,37
Justin Mendes,State Assembly,32,REP,Kings,102,66,156,222
Rudy Salas,State Assembly,32,DEM,Kings,102,32,80,112
,Registered Voters,,,Kings,103,,,4614
,Ballots Cast,,,Kings,103,167,424,591
Josh Jones,Governor,,GRN,Kings,103,0,0,0
J Bribiesca,Governor,,DEM,Kings,103,1,3,4
Gloria Estela La Riva,Governor,,PF,Kings,103,0,2,2
Peter Y Liu,Governor,,REP,Kings,103,0,1,1
Antonio Villaraigosa,Governor,,DEM,Kings,103,27,80,107
Yvonne Girard,Governor,,REP,Kings,103,2,9,11
Robert Davidson Griffis,Governor,,DEM,Kings,103,0,1,1
Shubham Goel,Governor,,NON,Kings,103,0,0,0
Travis Allen,Governor,,REP,Kings,103,27,107,134
Akinyemi Agbede,Governor,,DEM,Kings,103,0,1,1
Johnny Wattenburg,Governor,,NON,Kings,103,0,0,0
Nickolas Wildstar,Governor,,LIB,Kings,103,0,0,0
Desmond Silveira,Governor,,NON,Kings,103,0,1,1
Michael Shellenberger,Governor,,DEM,Kings,103,0,3,3
Zoltan Istvan,Governor,,LIB,Kings,103,0,1,1
Christopher N Carlson,Governor,,GRN,Kings,103,0,1,1
Thomas Jefferson Cares,Governor,,DEM,Kings,103,0,1,1
John Chiang,Governor,,DEM,Kings,103,15,26,41
John H Cox,Governor,,REP,Kings,103,61,101,162
Amanda Renteria,Governor,,DEM,Kings,103,4,10,14
Delaine Eastin,Governor,,DEM,Kings,103,7,8,15
Jeffrey Edward Taylor,Governor,,NON,Kings,103,0,0,0
Klement Tinaj,Governor,,DEM,Kings,103,0,1,1
"Hakan ""Hawk"" Mikado",Governor,,NON,Kings,103,0,0,0
Albert Caesar Mezzetti,Governor,,DEM,Kings,103,0,0,0
Gavin Newsom,Governor,,DEM,Kings,103,19,46,65
"Robert C. Newman, II",Governor,,REP,Kings,103,0,1,1
Jeff Bleich,Lieutenant Governor,,DEM,Kings,103,14,33,47
Eleni Kounalakis,Lieutenant Governor,,DEM,Kings,103,17,44,61
Cameron Gharabiklou,Lieutenant Governor,,DEM,Kings,103,1,2,3
Tim Ferreira,Lieutenant Governor,,LIB,Kings,103,0,11,11
David Fennell,Lieutenant Governor,,REP,Kings,103,19,59,78
Danny Thomas,Lieutenant Governor,,NON,Kings,103,0,1,1
Cole Harris,Lieutenant Governor,,REP,Kings,103,39,68,107
Ed Hernandez,Lieutenant Governor,,DEM,Kings,103,33,78,111
David R Hernandez,Lieutenant Governor,,REP,Kings,103,10,37,47
Lydia Ortega,Lieutenant Governor,,REP,Kings,103,26,45,71
Gayle McLaughlin,Lieutenant Governor,,NON,Kings,103,4,14,18
Alex Padilla,Secretary of State,,DEM,Kings,103,59,158,217
Gail K Lightfoot,Secretary of State,,LIB,Kings,103,4,10,14
C T Weber,Secretary of State,,PF,Kings,103,1,4,5
Erik Rydberg,Secretary of State,,GRN,Kings,103,0,6,6
Raul Rodriguez Jr,Secretary of State,,REP,Kings,103,13,30,43
Michael Feinstein,Secretary of State,,GRN,Kings,103,1,6,7
Ruben Major,Secretary of State,,DEM,Kings,103,5,17,22
Mark P Meuser,Secretary of State,,REP,Kings,103,80,172,252
Konstantinos Roditis,Controller,,REP,Kings,103,82,181,263
Mary Lou Finley,Controller,,PF,Kings,103,4,23,27
Betty T Yee,Controller,,DEM,Kings,103,76,201,277
Vivek Viswanathan,Treasurer,,DEM,Kings,103,7,37,44
Jack M Guerrero,Treasurer,,REP,Kings,103,42,108,150
Kevin Akin,Treasurer,,PF,Kings,103,2,13,15
Greg Conlon,Treasurer,,REP,Kings,103,50,116,166
Fiona Ma,Treasurer,,DEM,Kings,103,57,129,186
Dave Jones,Attorney General,,DEM,Kings,103,23,67,90
Steven C Bailey,Attorney General,,REP,Kings,103,57,145,202
Xavier Becerra,Attorney General,,DEM,Kings,103,43,121,164
Eric Early,Attorney General,,REP,Kings,103,41,78,119
Steve Poizner,Insurance Commissioner,,NON,Kings,103,74,181,255
Ricardo Lara,Insurance Commissioner,,DEM,Kings,103,43,142,185
Nathalie Hrizi,Insurance Commissioner,,PF,Kings,103,9,25,34
Asif Mahmood,Insurance Commissioner,,DEM,Kings,103,19,46,65
Gerald Plummer,U.S. Senate,,DEM,Kings,103,6,8,14
Tom Palzer,U.S. Senate,,REP,Kings,103,13,17,30
John Thompson Parker,U.S. Senate,,PF,Kings,103,0,3,3
Douglas Howard Pierce,U.S. Senate,,DEM,Kings,103,3,5,8
Herbert G Peters,U.S. Senate,,DEM,Kings,103,2,5,7
James P Bradley,U.S. Senate,,REP,Kings,103,20,54,74
Arun K Bhumitra,U.S. Senate,,REP,Kings,103,14,21,35
Jerry Joseph Laws,U.S. Senate,,REP,Kings,103,3,6,9
Patrick Little,U.S. Senate,,REP,Kings,103,0,9,9
Tim Gildersleeve,U.S. Senate,,NON,Kings,103,0,1,1
Michael Fahmy Girgis,U.S. Senate,,NON,Kings,103,1,1,2
Don J Grundmann,U.S. Senate,,NON,Kings,103,0,2,2
Rash Bihari Ghosh,U.S. Senate,,NON,Kings,103,1,1,2
Ling Ling Shi,U.S. Senate,,NON,Kings,103,1,2,3
"John ""Jack"" Crew",U.S. Senate,,REP,Kings,103,9,17,26
Erin Cruz,U.S. Senate,,REP,Kings,103,4,18,22
Derrick Michael Reid,U.S. Senate,,LIB,Kings,103,1,9,10
Dianne Feinstein,U.S. Senate,,DEM,Kings,103,44,112,156
Colleen Shea Fernald,U.S. Senate,,NON,Kings,103,0,0,0
Adrienne Nicole Edward,U.S. Senate,,DEM,Kings,103,0,4,4
Paul A Taylor,U.S. Senate,,REP,Kings,103,9,21,30
Donnie O Turner,U.S. Senate,,DEM,Kings,103,1,2,3
Pat Harris,U.S. Senate,,DEM,Kings,103,1,1,2
Alison Hartson,U.S. Senate,,DEM,Kings,103,2,10,12
Jason M Hanania,U.S. Senate,,NON,Kings,103,0,0,0
David Hildebrand,U.S. Senate,,DEM,Kings,103,1,0,1
Lee Olson,U.S. Senate,,NON,Kings,103,0,1,1
"Roque ""Rocky"" De La Fuente",U.S. Senate,,REP,Kings,103,2,0,2
Kevin De Leon,U.S. Senate,,DEM,Kings,103,3,27,30
Kevin Mottus,U.S. Senate,,REP,Kings,103,4,12,16
David Moore,U.S. Senate,,NON,Kings,103,0,0,0
Mario Nabliba,U.S. Senate,,REP,Kings,103,7,10,17
Andy Vidak,State Senate,14,REP,Kings,103,96,244,340
Ruben Macareno,State Senate,14,DEM,Kings,103,6,23,29
Abigail Solis,State Senate,14,DEM,Kings,103,23,58,81
Melissa Hurtado,State Senate,14,DEM,Kings,103,37,90,127
Justin Mendes,State Assembly,32,REP,Kings,103,91,220,311
Rudy Salas,State Assembly,32,DEM,Kings,103,73,188,261
,Registered Voters,,,Kings,104,,,3112
,Ballots Cast,,,Kings,104,144,425,569
Josh Jones,Governor,,GRN,Kings,104,0,0,0
J Bribiesca,Governor,,DEM,Kings,104,0,2,2
Gloria Estela La Riva,Governor,,PF,Kings,104,0,0,0
Peter Y Liu,Governor,,REP,Kings,104,0,0,0
Antonio Villaraigosa,Governor,,DEM,Kings,104,26,60,86
Yvonne Girard,Governor,,REP,Kings,104,1,2,3
Robert Davidson Griffis,Governor,,DEM,Kings,104,2,0,2
Shubham Goel,Governor,,NON,Kings,104,0,1,1
Travis Allen,Governor,,REP,Kings,104,34,124,158
Akinyemi Agbede,Governor,,DEM,Kings,104,1,0,1
Johnny Wattenburg,Governor,,NON,Kings,104,0,1,1
Nickolas Wildstar,Governor,,LIB,Kings,104,0,1,1
Desmond Silveira,Governor,,NON,Kings,104,1,1,2
Michael Shellenberger,Governor,,DEM,Kings,104,1,3,4
Zoltan Istvan,Governor,,LIB,Kings,104,0,0,0
Christopher N Carlson,Governor,,GRN,Kings,104,0,0,0
Thomas Jefferson Cares,Governor,,DEM,Kings,104,0,0,0
John Chiang,Governor,,DEM,Kings,104,17,21,38
John H Cox,Governor,,REP,Kings,104,50,158,208
Amanda Renteria,Governor,,DEM,Kings,104,1,6,7
Delaine Eastin,Governor,,DEM,Kings,104,1,1,2
Jeffrey Edward Taylor,Governor,,NON,Kings,104,0,0,0
Klement Tinaj,Governor,,DEM,Kings,104,0,0,0
"Hakan ""Hawk"" Mikado",Governor,,NON,Kings,104,0,0,0
Albert Caesar Mezzetti,Governor,,DEM,Kings,104,0,0,0
Gavin Newsom,Governor,,DEM,Kings,104,5,31,36
"Robert C. Newman, II",Governor,,REP,Kings,104,0,0,0
Jeff Bleich,Lieutenant Governor,,DEM,Kings,104,7,16,23
Eleni Kounalakis,Lieutenant Governor,,DEM,Kings,104,15,24,39
Cameron Gharabiklou,Lieutenant Governor,,DEM,Kings,104,0,2,2
Tim Ferreira,Lieutenant Governor,,LIB,Kings,104,1,6,7
David Fennell,Lieutenant Governor,,REP,Kings,104,20,60,80
Danny Thomas,Lieutenant Governor,,NON,Kings,104,0,2,2
Cole Harris,Lieutenant Governor,,REP,Kings,104,31,127,158
Ed Hernandez,Lieutenant Governor,,DEM,Kings,104,20,59,79
David R Hernandez,Lieutenant Governor,,REP,Kings,104,12,33,45
Lydia Ortega,Lieutenant Governor,,REP,Kings,104,23,57,80
Gayle McLaughlin,Lieutenant Governor,,NON,Kings,104,4,4,8
Alex Padilla,Secretary of State,,DEM,Kings,104,41,91,132
Gail K Lightfoot,Secretary of State,,LIB,Kings,104,1,7,8
C T Weber,Secretary of State,,PF,Kings,104,0,3,3
Erik Rydberg,Secretary of State,,GRN,Kings,104,0,1,1
Raul Rodriguez Jr,Secretary of State,,REP,Kings,104,12,29,41
Michael Feinstein,Secretary of State,,GRN,Kings,104,1,3,4
Ruben Major,Secretary of State,,DEM,Kings,104,5,1,6
Mark P Meuser,Secretary of State,,REP,Kings,104,76,274,350
Konstantinos Roditis,Controller,,REP,Kings,104,81,268,349
Mary Lou Finley,Controller,,PF,Kings,104,3,6,9
Betty T Yee,Controller,,DEM,Kings,104,52,126,178
Vivek Viswanathan,Treasurer,,DEM,Kings,104,3,18,21
Jack M Guerrero,Treasurer,,REP,Kings,104,42,155,197
Kevin Akin,Treasurer,,PF,Kings,104,1,5,6
Greg Conlon,Treasurer,,REP,Kings,104,46,150,196
Fiona Ma,Treasurer,,DEM,Kings,104,41,73,114
Dave Jones,Attorney General,,DEM,Kings,104,18,37,55
Steven C Bailey,Attorney General,,REP,Kings,104,53,179,232
Xavier Becerra,Attorney General,,DEM,Kings,104,28,68,96
Eric Early,Attorney General,,REP,Kings,104,38,111,149
Steve Poizner,Insurance Commissioner,,NON,Kings,104,70,255,325
Ricardo Lara,Insurance Commissioner,,DEM,Kings,104,36,77,113
Nathalie Hrizi,Insurance Commissioner,,PF,Kings,104,11,17,28
Asif Mahmood,Insurance Commissioner,,DEM,Kings,104,6,25,31
Gerald Plummer,U.S. Senate,,DEM,Kings,104,3,6,9
Tom Palzer,U.S. Senate,,REP,Kings,104,12,21,33
John Thompson Parker,U.S. Senate,,PF,Kings,104,0,2,2
Douglas Howard Pierce,U.S. Senate,,DEM,Kings,104,1,4,5
Herbert G Peters,U.S. Senate,,DEM,Kings,104,0,1,1
James P Bradley,U.S. Senate,,REP,Kings,104,13,84,97
Arun K Bhumitra,U.S. Senate,,REP,Kings,104,18,45,63
Jerry Joseph Laws,U.S. Senate,,REP,Kings,104,2,8,10
Patrick Little,U.S. Senate,,REP,Kings,104,3,3,6
Tim Gildersleeve,U.S. Senate,,NON,Kings,104,0,0,0
Michael Fahmy Girgis,U.S. Senate,,NON,Kings,104,0,0,0
Don J Grundmann,U.S. Senate,,NON,Kings,104,0,2,2
Rash Bihari Ghosh,U.S. Senate,,NON,Kings,104,0,1,1
Ling Ling Shi,U.S. Senate,,NON,Kings,104,0,1,1
"John ""Jack"" Crew",U.S. Senate,,REP,Kings,104,7,11,18
Erin Cruz,U.S. Senate,,REP,Kings,104,7,36,43
Derrick Michael Reid,U.S. Senate,,LIB,Kings,104,0,2,2
Dianne Feinstein,U.S. Senate,,DEM,Kings,104,36,71,107
Colleen Shea Fernald,U.S. Senate,,NON,Kings,104,0,0,0
Adrienne Nicole Edward,U.S. Senate,,DEM,Kings,104,0,2,2
Paul A Taylor,U.S. Senate,,REP,Kings,104,9,27,36
Donnie O Turner,U.S. Senate,,DEM,Kings,104,0,0,0
Pat Harris,U.S. Senate,,DEM,Kings,104,2,0,2
Alison Hartson,U.S. Senate,,DEM,Kings,104,0,6,6
Jason M Hanania,U.S. Senate,,NON,Kings,104,1,0,1
David Hildebrand,U.S. Senate,,DEM,Kings,104,0,3,3
Lee Olson,U.S. Senate,,NON,Kings,104,0,0,0
"Roque ""Rocky"" De La Fuente",U.S. Senate,,REP,Kings,104,2,7,9
Kevin De Leon,U.S. Senate,,DEM,Kings,104,6,19,25
Kevin Mottus,U.S. Senate,,REP,Kings,104,1,13,14
David Moore,U.S. Senate,,NON,Kings,104,0,0,0
Mario Nabliba,U.S. Senate,,REP,Kings,104,5,15,20
Andy Vidak,State Senate,14,REP,Kings,104,102,325,427
Ruben Macareno,State Senate,14,DEM,Kings,104,8,12,20
Abigail Solis,State Senate,14,DEM,Kings,104,12,29,41
Melissa Hurtado,State Senate,14,DEM,Kings,104,18,46,64
Justin Mendes,State Assembly,32,REP,Kings,104,92,298,390
Rudy Salas,State Assembly,32,DEM,Kings,104,48,120,168
,Registered Voters,,,Kings,105,,,1040
,Ballots Cast,,,Kings,105,26,73,99
Josh Jones,Governor,,GRN,Kings,105,0,0,0
J Bribiesca,Governor,,DEM,Kings,105,0,0,0
Gloria Estela La Riva,Governor,,PF,Kings,105,0,0,0
Peter Y Liu,Governor,,REP,Kings,105,0,0,0
Antonio Villaraigosa,Governor,,DEM,Kings,105,10,11,21
Yvonne Girard,Governor,,REP,Kings,105,0,2,2
Robert Davidson Griffis,Governor,,DEM,Kings,105,0,0,0
Shubham Goel,Governor,,NON,Kings,105,0,0,0
Travis Allen,Governor,,REP,Kings,105,7,23,30
Akinyemi Agbede,Governor,,DEM,Kings,105,0,0,0
Johnny Wattenburg,Governor,,NON,Kings,105,0,0,0
Nickolas Wildstar,Governor,,LIB,Kings,105,0,0,0
Desmond Silveira,Governor,,NON,Kings,105,0,0,0
Michael Shellenberger,Governor,,DEM,Kings,105,0,0,0
Zoltan Istvan,Governor,,LIB,Kings,105,0,0,0
Christopher N Carlson,Governor,,GRN,Kings,105,0,0,0
Thomas Jefferson Cares,Governor,,DEM,Kings,105,0,0,0
John Chiang,Governor,,DEM,Kings,105,4,1,5
John H Cox,Governor,,REP,Kings,105,4,28,32
Amanda Renteria,Governor,,DEM,Kings,105,0,0,0
