precinct,office,district,party,candidate,votes,election_day,mail,county
1119,Secretary of State,,Dem,Alex Padilla,22,0,22,Sonoma
1120,Secretary of State,,Dem,Alex Padilla,7,0,7,Sonoma
1121,Secretary of State,,Dem,Alex Padilla,1064,260,804,Sonoma
1122,Secretary of State,,Dem,Alex Padilla,460,59,401,Sonoma
1124,Secretary of State,,Dem,Alex Padilla,948,98,850,Sonoma
1125,Secretary of State,,Dem,Alex Padilla,97,0,97,Sonoma
1126,Secretary of State,,Dem,Alex Padilla,7,0,7,Sonoma
1127,Secretary of State,,Dem,Alex Padilla,230,27,203,Sonoma
1128,Secretary of State,,Dem,Alex Padilla,693,122,571,Sonoma
1129,Secretary of State,,Dem,Alex Padilla,5,0,5,Sonoma
1130,Secretary of State,,Dem,Alex Padilla,97,0,97,Sonoma
1133,Secretary of State,,Dem,Alex Padilla,66,0,66,Sonoma
1134,Secretary of State,,Dem,Alex Padilla,57,0,57,Sonoma
1136,Secretary of State,,Dem,Alex Padilla,590,96,494,Sonoma
1144,Secretary of State,,Dem,Alex Padilla,2,0,2,Sonoma
1146,Secretary of State,,Dem,Alex Padilla,71,0,71,Sonoma
1147,Secretary of State,,Dem,Alex Padilla,13,0,13,Sonoma
1802,Secretary of State,,Dem,Alex Padilla,992,190,802,Sonoma
1811,Secretary of State,,Dem,Alex Padilla,75,0,75,Sonoma
1812,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
1814,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
2016,Secretary of State,,Dem,Alex Padilla,135,0,135,Sonoma
2020,Secretary of State,,Dem,Alex Padilla,118,0,118,Sonoma
2022,Secretary of State,,Dem,Alex Padilla,56,0,56,Sonoma
2026,Secretary of State,,Dem,Alex Padilla,6,0,6,Sonoma
2027,Secretary of State,,Dem,Alex Padilla,6,0,6,Sonoma
2028,Secretary of State,,Dem,Alex Padilla,4,0,4,Sonoma
2029,Secretary of State,,Dem,Alex Padilla,4,0,4,Sonoma
2032,Secretary of State,,Dem,Alex Padilla,11,0,11,Sonoma
2034,Secretary of State,,Dem,Alex Padilla,4,0,4,Sonoma
2036,Secretary of State,,Dem,Alex Padilla,8,0,8,Sonoma
2037,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
2038,Secretary of State,,Dem,Alex Padilla,11,0,11,Sonoma
2039,Secretary of State,,Dem,Alex Padilla,5,0,5,Sonoma
2041,Secretary of State,,Dem,Alex Padilla,8,0,8,Sonoma
2042,Secretary of State,,Dem,Alex Padilla,14,0,14,Sonoma
2301,Secretary of State,,Dem,Alex Padilla,1096,273,823,Sonoma
2502,Secretary of State,,Dem,Alex Padilla,1327,304,1023,Sonoma
2503,Secretary of State,,Dem,Alex Padilla,651,180,471,Sonoma
2504,Secretary of State,,Dem,Alex Padilla,1411,421,990,Sonoma
2508,Secretary of State,,Dem,Alex Padilla,893,185,708,Sonoma
2509,Secretary of State,,Dem,Alex Padilla,958,185,773,Sonoma
2514,Secretary of State,,Dem,Alex Padilla,1339,259,1080,Sonoma
2515,Secretary of State,,Dem,Alex Padilla,492,130,362,Sonoma
2519,Secretary of State,,Dem,Alex Padilla,1239,251,988,Sonoma
2523,Secretary of State,,Dem,Alex Padilla,1057,222,835,Sonoma
2530,Secretary of State,,Dem,Alex Padilla,965,206,759,Sonoma
2531,Secretary of State,,Dem,Alex Padilla,766,142,624,Sonoma
2536,Secretary of State,,Dem,Alex Padilla,456,91,365,Sonoma
2540,Secretary of State,,Dem,Alex Padilla,1419,331,1088,Sonoma
2601,Secretary of State,,Dem,Alex Padilla,1099,246,853,Sonoma
2602,Secretary of State,,Dem,Alex Padilla,626,152,474,Sonoma
2604,Secretary of State,,Dem,Alex Padilla,7,0,7,Sonoma
2606,Secretary of State,,Dem,Alex Padilla,986,233,753,Sonoma
3001,Secretary of State,,Dem,Alex Padilla,5,0,5,Sonoma
3002,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
3005,Secretary of State,,Dem,Alex Padilla,160,31,129,Sonoma
3006,Secretary of State,,Dem,Alex Padilla,12,0,12,Sonoma
3011,Secretary of State,,Dem,Alex Padilla,438,100,338,Sonoma
3017,Secretary of State,,Dem,Alex Padilla,35,0,35,Sonoma
3021,Secretary of State,,Dem,Alex Padilla,36,0,36,Sonoma
3024,Secretary of State,,Dem,Alex Padilla,17,0,17,Sonoma
3102,Secretary of State,,Dem,Alex Padilla,62,0,62,Sonoma
3104,Secretary of State,,Dem,Alex Padilla,18,0,18,Sonoma
3105,Secretary of State,,Dem,Alex Padilla,287,50,237,Sonoma
3110,Secretary of State,,Dem,Alex Padilla,582,96,486,Sonoma
3111,Secretary of State,,Dem,Alex Padilla,16,0,16,Sonoma
3114,Secretary of State,,Dem,Alex Padilla,1,0,1,Sonoma
3117,Secretary of State,,Dem,Alex Padilla,422,79,343,Sonoma
3118,Secretary of State,,Dem,Alex Padilla,10,0,10,Sonoma
3121,Secretary of State,,Dem,Alex Padilla,66,0,66,Sonoma
3123,Secretary of State,,Dem,Alex Padilla,308,73,235,Sonoma
3124,Secretary of State,,Dem,Alex Padilla,739,210,529,Sonoma
3125,Secretary of State,,Dem,Alex Padilla,141,0,141,Sonoma
3126,Secretary of State,,Dem,Alex Padilla,826,185,641,Sonoma
3128,Secretary of State,,Dem,Alex Padilla,1363,335,1028,Sonoma
3130,Secretary of State,,Dem,Alex Padilla,17,0,17,Sonoma
3133,Secretary of State,,Dem,Alex Padilla,99,0,99,Sonoma
3137,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
3138,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
3142,Secretary of State,,Dem,Alex Padilla,991,241,750,Sonoma
3601,Secretary of State,,Dem,Alex Padilla,963,229,734,Sonoma
3602,Secretary of State,,Dem,Alex Padilla,1109,267,842,Sonoma
3603,Secretary of State,,Dem,Alex Padilla,1054,289,765,Sonoma
3605,Secretary of State,,Dem,Alex Padilla,523,141,382,Sonoma
3609,Secretary of State,,Dem,Alex Padilla,1052,217,835,Sonoma
3611,Secretary of State,,Dem,Alex Padilla,832,179,653,Sonoma
3614,Secretary of State,,Dem,Alex Padilla,976,194,782,Sonoma
3616,Secretary of State,,Dem,Alex Padilla,887,195,692,Sonoma
3618,Secretary of State,,Dem,Alex Padilla,940,204,736,Sonoma
3621,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
3622,Secretary of State,,Dem,Alex Padilla,166,0,166,Sonoma
4005,Secretary of State,,Dem,Alex Padilla,58,0,58,Sonoma
4009,Secretary of State,,Dem,Alex Padilla,106,0,106,Sonoma
4012,Secretary of State,,Dem,Alex Padilla,11,0,11,Sonoma
4013,Secretary of State,,Dem,Alex Padilla,53,0,53,Sonoma
4015,Secretary of State,,Dem,Alex Padilla,122,22,100,Sonoma
4017,Secretary of State,,Dem,Alex Padilla,29,0,29,Sonoma
4018,Secretary of State,,Dem,Alex Padilla,5,0,5,Sonoma
4019,Secretary of State,,Dem,Alex Padilla,2,0,2,Sonoma
4021,Secretary of State,,Dem,Alex Padilla,81,0,81,Sonoma
4027,Secretary of State,,Dem,Alex Padilla,78,0,78,Sonoma
4030,Secretary of State,,Dem,Alex Padilla,2,0,2,Sonoma
4037,Secretary of State,,Dem,Alex Padilla,38,0,38,Sonoma
4039,Secretary of State,,Dem,Alex Padilla,15,0,15,Sonoma
4051,Secretary of State,,Dem,Alex Padilla,111,0,111,Sonoma
4052,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
4054,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
4064,Secretary of State,,Dem,Alex Padilla,25,0,25,Sonoma
4065,Secretary of State,,Dem,Alex Padilla,3,0,3,Sonoma
4066,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
4067,Secretary of State,,Dem,Alex Padilla,20,0,20,Sonoma
4070,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
4072,Secretary of State,,Dem,Alex Padilla,2,0,2,Sonoma
4073,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
4074,Secretary of State,,Dem,Alex Padilla,100,0,100,Sonoma
4101,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
4102,Secretary of State,,Dem,Alex Padilla,26,0,26,Sonoma
4103,Secretary of State,,Dem,Alex Padilla,703,152,551,Sonoma
4104,Secretary of State,,Dem,Alex Padilla,100,0,100,Sonoma
4106,Secretary of State,,Dem,Alex Padilla,46,0,46,Sonoma
4110,Secretary of State,,Dem,Alex Padilla,983,183,800,Sonoma
4113,Secretary of State,,Dem,Alex Padilla,41,0,41,Sonoma
4127,Secretary of State,,Dem,Alex Padilla,705,145,560,Sonoma
4128,Secretary of State,,Dem,Alex Padilla,37,0,37,Sonoma
4129,Secretary of State,,Dem,Alex Padilla,30,0,30,Sonoma
4201,Secretary of State,,Dem,Alex Padilla,950,235,715,Sonoma
4203,Secretary of State,,Dem,Alex Padilla,545,153,392,Sonoma
4204,Secretary of State,,Dem,Alex Padilla,922,185,737,Sonoma
4401,Secretary of State,,Dem,Alex Padilla,887,210,677,Sonoma
4402,Secretary of State,,Dem,Alex Padilla,1185,276,909,Sonoma
4406,Secretary of State,,Dem,Alex Padilla,808,187,621,Sonoma
4407,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
4902,Secretary of State,,Dem,Alex Padilla,892,200,692,Sonoma
4903,Secretary of State,,Dem,Alex Padilla,734,136,598,Sonoma
4904,Secretary of State,,Dem,Alex Padilla,780,135,645,Sonoma
4905,Secretary of State,,Dem,Alex Padilla,84,0,84,Sonoma
4906,Secretary of State,,Dem,Alex Padilla,982,161,821,Sonoma
4907,Secretary of State,,Dem,Alex Padilla,1025,209,816,Sonoma
4908,Secretary of State,,Dem,Alex Padilla,1143,234,909,Sonoma
5002,Secretary of State,,Dem,Alex Padilla,119,0,119,Sonoma
5005,Secretary of State,,Dem,Alex Padilla,129,0,129,Sonoma
5007,Secretary of State,,Dem,Alex Padilla,26,0,26,Sonoma
5009,Secretary of State,,Dem,Alex Padilla,17,0,17,Sonoma
5012,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
5013,Secretary of State,,Dem,Alex Padilla,9,0,9,Sonoma
5015,Secretary of State,,Dem,Alex Padilla,56,0,56,Sonoma
5017,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
5019,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
5024,Secretary of State,,Dem,Alex Padilla,5,0,5,Sonoma
5025,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
5029,Secretary of State,,Dem,Alex Padilla,42,0,42,Sonoma
5031,Secretary of State,,Dem,Alex Padilla,380,85,295,Sonoma
5033,Secretary of State,,Dem,Alex Padilla,26,0,26,Sonoma
5037,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
5038,Secretary of State,,Dem,Alex Padilla,3,0,3,Sonoma
5039,Secretary of State,,Dem,Alex Padilla,3,0,3,Sonoma
5040,Secretary of State,,Dem,Alex Padilla,9,0,9,Sonoma
5043,Secretary of State,,Dem,Alex Padilla,43,0,43,Sonoma
5046,Secretary of State,,Dem,Alex Padilla,119,0,119,Sonoma
5048,Secretary of State,,Dem,Alex Padilla,75,0,75,Sonoma
5050,Secretary of State,,Dem,Alex Padilla,1,0,1,Sonoma
5052,Secretary of State,,Dem,Alex Padilla,104,0,104,Sonoma
5054,Secretary of State,,Dem,Alex Padilla,3,0,3,Sonoma
5056,Secretary of State,,Dem,Alex Padilla,126,0,126,Sonoma
5057,Secretary of State,,Dem,Alex Padilla,54,0,54,Sonoma
5058,Secretary of State,,Dem,Alex Padilla,51,0,51,Sonoma
5059,Secretary of State,,Dem,Alex Padilla,11,0,11,Sonoma
5060,Secretary of State,,Dem,Alex Padilla,44,0,44,Sonoma
5062,Secretary of State,,Dem,Alex Padilla,75,0,75,Sonoma
5063,Secretary of State,,Dem,Alex Padilla,139,0,139,Sonoma
5064,Secretary of State,,Dem,Alex Padilla,123,0,123,Sonoma
5065,Secretary of State,,Dem,Alex Padilla,26,0,26,Sonoma
5067,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
5068,Secretary of State,,Dem,Alex Padilla,6,0,6,Sonoma
5069,Secretary of State,,Dem,Alex Padilla,61,0,61,Sonoma
5070,Secretary of State,,Dem,Alex Padilla,18,0,18,Sonoma
5071,Secretary of State,,Dem,Alex Padilla,7,0,7,Sonoma
5074,Secretary of State,,Dem,Alex Padilla,4,0,4,Sonoma
5075,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
5076,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
5077,Secretary of State,,Dem,Alex Padilla,217,40,177,Sonoma
5101,Secretary of State,,Dem,Alex Padilla,501,110,391,Sonoma
5104,Secretary of State,,Dem,Alex Padilla,1035,238,797,Sonoma
5107,Secretary of State,,Dem,Alex Padilla,9,0,9,Sonoma
5108,Secretary of State,,Dem,Alex Padilla,50,0,50,Sonoma
5110,Secretary of State,,Dem,Alex Padilla,43,0,43,Sonoma
5114,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
5115,Secretary of State,,Dem,Alex Padilla,449,115,334,Sonoma
5116,Secretary of State,,Dem,Alex Padilla,160,0,160,Sonoma
5117,Secretary of State,,Dem,Alex Padilla,53,0,53,Sonoma
5118,Secretary of State,,Dem,Alex Padilla,49,0,49,Sonoma
5121,Secretary of State,,Dem,Alex Padilla,2,0,2,Sonoma
5122,Secretary of State,,Dem,Alex Padilla,49,0,49,Sonoma
5124,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
5125,Secretary of State,,Dem,Alex Padilla,77,0,77,Sonoma
5126,Secretary of State,,Dem,Alex Padilla,47,0,47,Sonoma
7101,Secretary of State,,Dem,Alex Padilla,125,0,125,Sonoma
7102,Secretary of State,,Dem,Alex Padilla,167,25,142,Sonoma
7103,Secretary of State,,Dem,Alex Padilla,25,0,25,Sonoma
7104,Secretary of State,,Dem,Alex Padilla,360,76,284,Sonoma
7105,Secretary of State,,Dem,Alex Padilla,37,0,37,Sonoma
7106,Secretary of State,,Dem,Alex Padilla,2,0,2,Sonoma
7107,Secretary of State,,Dem,Alex Padilla,3,0,3,Sonoma
7108,Secretary of State,,Dem,Alex Padilla,99,0,99,Sonoma
7109,Secretary of State,,Dem,Alex Padilla,119,0,119,Sonoma
7110,Secretary of State,,Dem,Alex Padilla,3,0,3,Sonoma
7111,Secretary of State,,Dem,Alex Padilla,78,0,78,Sonoma
7112,Secretary of State,,Dem,Alex Padilla,411,84,327,Sonoma
7113,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7114,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7115,Secretary of State,,Dem,Alex Padilla,19,0,19,Sonoma
7116,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7117,Secretary of State,,Dem,Alex Padilla,47,0,47,Sonoma
7118,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7119,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7120,Secretary of State,,Dem,Alex Padilla,699,192,507,Sonoma
7121,Secretary of State,,Dem,Alex Padilla,5,0,5,Sonoma
7122,Secretary of State,,Dem,Alex Padilla,35,0,35,Sonoma
7123,Secretary of State,,Dem,Alex Padilla,188,46,142,Sonoma
7124,Secretary of State,,Dem,Alex Padilla,35,0,35,Sonoma
7125,Secretary of State,,Dem,Alex Padilla,30,0,30,Sonoma
7126,Secretary of State,,Dem,Alex Padilla,15,0,15,Sonoma
7127,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7128,Secretary of State,,Dem,Alex Padilla,42,0,42,Sonoma
7129,Secretary of State,,Dem,Alex Padilla,42,0,42,Sonoma
7130,Secretary of State,,Dem,Alex Padilla,98,0,98,Sonoma
7131,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7132,Secretary of State,,Dem,Alex Padilla,31,0,31,Sonoma
7133,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7134,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7135,Secretary of State,,Dem,Alex Padilla,232,40,192,Sonoma
7136,Secretary of State,,Dem,Alex Padilla,221,36,185,Sonoma
7137,Secretary of State,,Dem,Alex Padilla,1473,381,1092,Sonoma
7138,Secretary of State,,Dem,Alex Padilla,938,237,701,Sonoma
7139,Secretary of State,,Dem,Alex Padilla,7,0,7,Sonoma
7140,Secretary of State,,Dem,Alex Padilla,57,0,57,Sonoma
7141,Secretary of State,,Dem,Alex Padilla,1069,242,827,Sonoma
7142,Secretary of State,,Dem,Alex Padilla,1149,319,830,Sonoma
7143,Secretary of State,,Dem,Alex Padilla,926,133,793,Sonoma
7144,Secretary of State,,Dem,Alex Padilla,142,0,142,Sonoma
7145,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7146,Secretary of State,,Dem,Alex Padilla,9,0,9,Sonoma
7147,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7148,Secretary of State,,Dem,Alex Padilla,556,125,431,Sonoma
7149,Secretary of State,,Dem,Alex Padilla,224,75,149,Sonoma
7150,Secretary of State,,Dem,Alex Padilla,7,0,7,Sonoma
7151,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7152,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7153,Secretary of State,,Dem,Alex Padilla,236,48,188,Sonoma
7154,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7155,Secretary of State,,Dem,Alex Padilla,5,0,5,Sonoma
7156,Secretary of State,,Dem,Alex Padilla,293,49,244,Sonoma
7157,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7158,Secretary of State,,Dem,Alex Padilla,23,0,23,Sonoma
7159,Secretary of State,,Dem,Alex Padilla,46,0,46,Sonoma
7160,Secretary of State,,Dem,Alex Padilla,138,12,126,Sonoma
7161,Secretary of State,,Dem,Alex Padilla,81,0,81,Sonoma
7162,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7163,Secretary of State,,Dem,Alex Padilla,3,0,3,Sonoma
7164,Secretary of State,,Dem,Alex Padilla,3,0,3,Sonoma
7165,Secretary of State,,Dem,Alex Padilla,5,0,5,Sonoma
7166,Secretary of State,,Dem,Alex Padilla,1,0,1,Sonoma
7167,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7168,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7169,Secretary of State,,Dem,Alex Padilla,57,0,57,Sonoma
7170,Secretary of State,,Dem,Alex Padilla,1,0,1,Sonoma
7171,Secretary of State,,Dem,Alex Padilla,1409,294,1115,Sonoma
7172,Secretary of State,,Dem,Alex Padilla,114,0,114,Sonoma
7173,Secretary of State,,Dem,Alex Padilla,397,103,294,Sonoma
7174,Secretary of State,,Dem,Alex Padilla,672,88,584,Sonoma
7175,Secretary of State,,Dem,Alex Padilla,978,233,745,Sonoma
7176,Secretary of State,,Dem,Alex Padilla,735,162,573,Sonoma
7177,Secretary of State,,Dem,Alex Padilla,148,0,148,Sonoma
7178,Secretary of State,,Dem,Alex Padilla,1009,196,813,Sonoma
7179,Secretary of State,,Dem,Alex Padilla,1163,247,916,Sonoma
7180,Secretary of State,,Dem,Alex Padilla,139,0,139,Sonoma
7181,Secretary of State,,Dem,Alex Padilla,14,0,14,Sonoma
7182,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7183,Secretary of State,,Dem,Alex Padilla,1423,125,1298,Sonoma
7184,Secretary of State,,Dem,Alex Padilla,885,191,694,Sonoma
7185,Secretary of State,,Dem,Alex Padilla,952,174,778,Sonoma
7186,Secretary of State,,Dem,Alex Padilla,1316,240,1076,Sonoma
7187,Secretary of State,,Dem,Alex Padilla,1108,194,914,Sonoma
7188,Secretary of State,,Dem,Alex Padilla,660,105,555,Sonoma
7189,Secretary of State,,Dem,Alex Padilla,58,0,58,Sonoma
7190,Secretary of State,,Dem,Alex Padilla,8,0,8,Sonoma
7191,Secretary of State,,Dem,Alex Padilla,24,0,24,Sonoma
7192,Secretary of State,,Dem,Alex Padilla,1,0,1,Sonoma
7201,Secretary of State,,Dem,Alex Padilla,81,0,81,Sonoma
7202,Secretary of State,,Dem,Alex Padilla,4,0,4,Sonoma
7203,Secretary of State,,Dem,Alex Padilla,1155,262,893,Sonoma
7204,Secretary of State,,Dem,Alex Padilla,39,0,39,Sonoma
7205,Secretary of State,,Dem,Alex Padilla,27,0,27,Sonoma
7206,Secretary of State,,Dem,Alex Padilla,80,0,80,Sonoma
7207,Secretary of State,,Dem,Alex Padilla,1114,262,852,Sonoma
7208,Secretary of State,,Dem,Alex Padilla,1523,389,1134,Sonoma
7209,Secretary of State,,Dem,Alex Padilla,27,0,27,Sonoma
7210,Secretary of State,,Dem,Alex Padilla,143,33,110,Sonoma
7211,Secretary of State,,Dem,Alex Padilla,56,0,56,Sonoma
7212,Secretary of State,,Dem,Alex Padilla,16,0,16,Sonoma
7213,Secretary of State,,Dem,Alex Padilla,674,126,548,Sonoma
7214,Secretary of State,,Dem,Alex Padilla,110,0,110,Sonoma
7215,Secretary of State,,Dem,Alex Padilla,724,159,565,Sonoma
7216,Secretary of State,,Dem,Alex Padilla,487,111,376,Sonoma
7217,Secretary of State,,Dem,Alex Padilla,2,0,2,Sonoma
7218,Secretary of State,,Dem,Alex Padilla,118,0,118,Sonoma
7219,Secretary of State,,Dem,Alex Padilla,25,0,25,Sonoma
7220,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7221,Secretary of State,,Dem,Alex Padilla,9,0,9,Sonoma
7222,Secretary of State,,Dem,Alex Padilla,7,0,7,Sonoma
7223,Secretary of State,,Dem,Alex Padilla,2,0,2,Sonoma
7224,Secretary of State,,Dem,Alex Padilla,3,0,3,Sonoma
7225,Secretary of State,,Dem,Alex Padilla,460,120,340,Sonoma
7226,Secretary of State,,Dem,Alex Padilla,435,96,339,Sonoma
7227,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7228,Secretary of State,,Dem,Alex Padilla,475,80,395,Sonoma
7229,Secretary of State,,Dem,Alex Padilla,944,202,742,Sonoma
7230,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7231,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7232,Secretary of State,,Dem,Alex Padilla,9,0,9,Sonoma
7233,Secretary of State,,Dem,Alex Padilla,81,0,81,Sonoma
7234,Secretary of State,,Dem,Alex Padilla,1,0,1,Sonoma
7235,Secretary of State,,Dem,Alex Padilla,118,0,118,Sonoma
7236,Secretary of State,,Dem,Alex Padilla,326,64,262,Sonoma
7237,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7238,Secretary of State,,Dem,Alex Padilla,2,0,2,Sonoma
7239,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7240,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7241,Secretary of State,,Dem,Alex Padilla,27,0,27,Sonoma
7242,Secretary of State,,Dem,Alex Padilla,154,0,154,Sonoma
7243,Secretary of State,,Dem,Alex Padilla,22,0,22,Sonoma
7244,Secretary of State,,Dem,Alex Padilla,4,0,4,Sonoma
7245,Secretary of State,,Dem,Alex Padilla,55,0,55,Sonoma
7246,Secretary of State,,Dem,Alex Padilla,15,0,15,Sonoma
7247,Secretary of State,,Dem,Alex Padilla,26,0,26,Sonoma
7248,Secretary of State,,Dem,Alex Padilla,626,160,466,Sonoma
7249,Secretary of State,,Dem,Alex Padilla,756,166,590,Sonoma
7250,Secretary of State,,Dem,Alex Padilla,1441,326,1115,Sonoma
7251,Secretary of State,,Dem,Alex Padilla,1427,344,1083,Sonoma
7252,Secretary of State,,Dem,Alex Padilla,1158,247,911,Sonoma
7253,Secretary of State,,Dem,Alex Padilla,359,72,287,Sonoma
7254,Secretary of State,,Dem,Alex Padilla,833,215,618,Sonoma
7301,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
7302,Secretary of State,,Dem,Alex Padilla,73,0,73,Sonoma
7303,Secretary of State,,Dem,Alex Padilla,82,0,82,Sonoma
