county,precinct,office,district,party,candidate,election_day,mail,votes
San Francisco,PCT 1143,President,,DEM,Joe Biden,60,638,698
San Francisco,PCT 1144,President,,DEM,Joe Biden,55,591,646
San Francisco,PCT 1145,President,,DEM,Joe Biden,48,623,671
San Francisco,PCT 1146,President,,DEM,Joe Biden,43,694,737
San Francisco,PCT 1147,President,,DEM,Joe Biden,44,609,653
San Francisco,PCT 1148,President,,DEM,Joe Biden,53,657,710
San Francisco,PCT 1149,President,,DEM,Joe Biden,49,618,667
San Francisco,PCT 1151 MB,President,,DEM,Joe Biden,0,0,0
San Francisco,PCT 1152,President,,DEM,Joe Biden,40,553,593
San Francisco,PCT 1153,President,,DEM,Joe Biden,37,583,620
San Francisco,PCT 1154 MB,President,,DEM,Joe Biden,0,0,0
San Francisco,PCT 7001,President,,DEM,Joe Biden,28,604,632
San Francisco,PCT 7002,President,,DEM,Joe Biden,34,479,513
San Francisco,PCT 7003,President,,DEM,Joe Biden,36,734,770
San Francisco,PCT 7004,President,,DEM,Joe Biden,50,789,839
San Francisco,PCT 7005,President,,DEM,Joe Biden,38,696,734
San Francisco,PCT 7006,President,,DEM,Joe Biden,80,588,668
San Francisco,PCT 7007,President,,DEM,Joe Biden,86,761,847
San Francisco,PCT 7008,President,,DEM,Joe Biden,34,736,770
San Francisco,PCT 7009,President,,DEM,Joe Biden,30,640,670
San Francisco,PCT 7011,President,,DEM,Joe Biden,85,546,631
San Francisco,PCT 7012,President,,DEM,Joe Biden,71,1017,1088
San Francisco,PCT 7013,President,,DEM,Joe Biden,65,967,1032
San Francisco,PCT 7014,President,,DEM,Joe Biden,36,597,633
San Francisco,PCT 7015 MB,President,,DEM,Joe Biden,3,57,60
San Francisco,PCT 7016,President,,DEM,Joe Biden,58,506,564
San Francisco,PCT 7017,President,,DEM,Joe Biden,42,454,496
San Francisco,PCT 7018,President,,DEM,Joe Biden,61,602,663
San Francisco,PCT 7019,President,,DEM,Joe Biden,53,623,676
San Francisco,PCT 7021,President,,DEM,Joe Biden,68,568,636
San Francisco,PCT 7022,President,,DEM,Joe Biden,60,572,632
San Francisco,PCT 7023,President,,DEM,Joe Biden,58,601,659
San Francisco,PCT 7024,President,,DEM,Joe Biden,50,138,188
San Francisco,PCT 7025,President,,DEM,Joe Biden,51,229,280
San Francisco,PCT 7026,President,,DEM,Joe Biden,35,608,643
San Francisco,PCT 7027,President,,DEM,Joe Biden,69,524,593
San Francisco,PCT 7028,President,,DEM,Joe Biden,78,545,623
San Francisco,PCT 7029,President,,DEM,Joe Biden,86,478,564
San Francisco,PCT 7030,President,,DEM,Joe Biden,28,427,455
San Francisco,PCT 7031,President,,DEM,Joe Biden,38,425,463
San Francisco,PCT 7032,President,,DEM,Joe Biden,64,454,518
San Francisco,PCT 7033,President,,DEM,Joe Biden,78,422,500
San Francisco,PCT 7034,President,,DEM,Joe Biden,81,454,535
San Francisco,PCT 7035,President,,DEM,Joe Biden,45,516,561
San Francisco,PCT 7036,President,,DEM,Joe Biden,32,517,549
San Francisco,PCT 7037,President,,DEM,Joe Biden,66,216,282
San Francisco,PCT 7038,President,,DEM,Joe Biden,56,520,576
San Francisco,PCT 7039,President,,DEM,Joe Biden,47,523,570
San Francisco,PCT 7041 MB,President,,DEM,Joe Biden,2,46,48
San Francisco,PCT 7042,President,,DEM,Joe Biden,21,392,413
San Francisco,PCT 7043,President,,DEM,Joe Biden,60,585,645
San Francisco,PCT 7044,President,,DEM,Joe Biden,71,376,447
San Francisco,PCT 7045,President,,DEM,Joe Biden,45,415,460
San Francisco,PCT 7046,President,,DEM,Joe Biden,14,298,312
San Francisco,PCT 7047,President,,DEM,Joe Biden,24,592,616
San Francisco,PCT 7048,President,,DEM,Joe Biden,52,455,507
San Francisco,PCT 7049,President,,DEM,Joe Biden,50,452,502
San Francisco,PCT 7051,President,,DEM,Joe Biden,74,491,565
San Francisco,PCT 7052,President,,DEM,Joe Biden,62,521,583
San Francisco,PCT 7053,President,,DEM,Joe Biden,20,425,445
San Francisco,PCT 7054,President,,DEM,Joe Biden,70,697,767
San Francisco,PCT 7055,President,,DEM,Joe Biden,39,627,666
San Francisco,PCT 7056,President,,DEM,Joe Biden,60,593,653
San Francisco,PCT 7101 MB,President,,DEM,Joe Biden,1,149,150
San Francisco,PCT 7201,President,,DEM,Joe Biden,48,694,742
San Francisco,PCT 7202,President,,DEM,Joe Biden,57,609,666
San Francisco,PCT 7203,President,,DEM,Joe Biden,47,606,653
San Francisco,PCT 7204,President,,DEM,Joe Biden,58,684,742
San Francisco,PCT 7205,President,,DEM,Joe Biden,51,644,695
San Francisco,PCT 7206,President,,DEM,Joe Biden,31,287,318
San Francisco,PCT 7207,President,,DEM,Joe Biden,37,646,683
San Francisco,PCT 7208,President,,DEM,Joe Biden,19,404,423
San Francisco,PCT 7209,President,,DEM,Joe Biden,9,486,495
San Francisco,PCT 7301,President,,DEM,Joe Biden,64,587,651
San Francisco,PCT 7302,President,,DEM,Joe Biden,21,564,585
San Francisco,PCT 7303,President,,DEM,Joe Biden,61,677,738
San Francisco,PCT 7304,President,,DEM,Joe Biden,51,668,719
San Francisco,PCT 7305,President,,DEM,Joe Biden,52,634,686
San Francisco,PCT 7306,President,,DEM,Joe Biden,55,730,785
San Francisco,PCT 7307,President,,DEM,Joe Biden,38,545,583
San Francisco,PCT 7308,President,,DEM,Joe Biden,64,458,522
San Francisco,PCT 7309,President,,DEM,Joe Biden,51,627,678
San Francisco,PCT 7311,President,,DEM,Joe Biden,57,662,719
San Francisco,PCT 7312,President,,DEM,Joe Biden,57,584,641
San Francisco,PCT 7313,President,,DEM,Joe Biden,45,691,736
San Francisco,PCT 7314,President,,DEM,Joe Biden,29,378,407
San Francisco,PCT 7315,President,,DEM,Joe Biden,63,475,538
San Francisco,PCT 7316,President,,DEM,Joe Biden,52,530,582
San Francisco,PCT 7317,President,,DEM,Joe Biden,37,570,607
San Francisco,PCT 7318,President,,DEM,Joe Biden,47,475,522
San Francisco,PCT 7319,President,,DEM,Joe Biden,54,740,794
San Francisco,PCT 7321,President,,DEM,Joe Biden,24,366,390
San Francisco,PCT 7322,President,,DEM,Joe Biden,35,464,499
San Francisco,PCT 7323,President,,DEM,Joe Biden,58,653,711
San Francisco,PCT 7324,President,,DEM,Joe Biden,46,474,520
San Francisco,PCT 7325,President,,DEM,Joe Biden,51,623,674
San Francisco,PCT 7326,President,,DEM,Joe Biden,40,557,597
San Francisco,PCT 7327,President,,DEM,Joe Biden,30,329,359
San Francisco,PCT 7328,President,,DEM,Joe Biden,38,468,506
San Francisco,PCT 7329,President,,DEM,Joe Biden,28,385,413
San Francisco,PCT 7331,President,,DEM,Joe Biden,65,618,683
San Francisco,PCT 7332,President,,DEM,Joe Biden,59,488,547
San Francisco,PCT 7333,President,,DEM,Joe Biden,55,680,735
San Francisco,PCT 7334,President,,DEM,Joe Biden,33,546,579
San Francisco,PCT 7335,President,,DEM,Joe Biden,40,636,676
San Francisco,PCT 7336,President,,DEM,Joe Biden,36,661,697
San Francisco,PCT 7337,President,,DEM,Joe Biden,35,552,587
San Francisco,PCT 7338,President,,DEM,Joe Biden,32,493,525
San Francisco,PCT 7339,President,,DEM,Joe Biden,46,504,550
San Francisco,PCT 7341,President,,DEM,Joe Biden,36,598,634
San Francisco,PCT 7342,President,,DEM,Joe Biden,70,625,695
San Francisco,PCT 7343,President,,DEM,Joe Biden,45,503,548
San Francisco,PCT 7344,President,,DEM,Joe Biden,48,685,733
San Francisco,PCT 7345,President,,DEM,Joe Biden,54,750,804
San Francisco,PCT 7346,President,,DEM,Joe Biden,55,567,622
San Francisco,PCT 7347,President,,DEM,Joe Biden,41,682,723
San Francisco,PCT 7348,President,,DEM,Joe Biden,43,528,571
San Francisco,PCT 7349,President,,DEM,Joe Biden,37,548,585
San Francisco,PCT 7501,President,,DEM,Joe Biden,23,429,452
San Francisco,PCT 7502,President,,DEM,Joe Biden,30,593,623
San Francisco,PCT 7503,President,,DEM,Joe Biden,41,557,598
San Francisco,PCT 7504,President,,DEM,Joe Biden,28,295,323
San Francisco,PCT 7505,President,,DEM,Joe Biden,23,551,574
San Francisco,PCT 7506,President,,DEM,Joe Biden,58,712,770
San Francisco,PCT 7507,President,,DEM,Joe Biden,59,564,623
San Francisco,PCT 7508,President,,DEM,Joe Biden,34,521,555
San Francisco,PCT 7509/7511,President,,DEM,Joe Biden,45,599,644
San Francisco,PCT 7512,President,,DEM,Joe Biden,23,340,363
San Francisco,PCT 7513,President,,DEM,Joe Biden,42,492,534
San Francisco,PCT 7514,President,,DEM,Joe Biden,54,532,586
San Francisco,PCT 7515,President,,DEM,Joe Biden,53,613,666
San Francisco,PCT 7516,President,,DEM,Joe Biden,32,619,651
San Francisco,PCT 7517,President,,DEM,Joe Biden,45,683,728
San Francisco,PCT 7518,President,,DEM,Joe Biden,50,725,775
San Francisco,PCT 7519,President,,DEM,Joe Biden,61,517,578
San Francisco,PCT 7521,President,,DEM,Joe Biden,72,605,677
San Francisco,PCT 7522,President,,DEM,Joe Biden,38,621,659
San Francisco,PCT 7523,President,,DEM,Joe Biden,48,578,626
San Francisco,PCT 7524,President,,DEM,Joe Biden,43,435,478
San Francisco,PCT 7525,President,,DEM,Joe Biden,37,531,568
San Francisco,PCT 7526,President,,DEM,Joe Biden,37,762,799
San Francisco,PCT 7527/7528,President,,DEM,Joe Biden,28,451,479
San Francisco,PCT 7529,President,,DEM,Joe Biden,44,697,741
San Francisco,PCT 7531,President,,DEM,Joe Biden,48,637,685
San Francisco,PCT 7532,President,,DEM,Joe Biden,47,597,644
San Francisco,PCT 7533,President,,DEM,Joe Biden,63,716,779
San Francisco,PCT 7534,President,,DEM,Joe Biden,51,711,762
San Francisco,PCT 7535,President,,DEM,Joe Biden,53,581,634
San Francisco,PCT 7536,President,,DEM,Joe Biden,62,647,709
San Francisco,PCT 7537,President,,DEM,Joe Biden,41,576,617
San Francisco,PCT 7538,President,,DEM,Joe Biden,58,597,655
San Francisco,PCT 7539,President,,DEM,Joe Biden,61,718,779
San Francisco,PCT 7541,President,,DEM,Joe Biden,50,601,651
San Francisco,PCT 7542,President,,DEM,Joe Biden,52,600,652
San Francisco,PCT 7543,President,,DEM,Joe Biden,51,649,700
San Francisco,PCT 7544,President,,DEM,Joe Biden,38,710,748
San Francisco,PCT 7545,President,,DEM,Joe Biden,44,672,716
San Francisco,PCT 7546,President,,DEM,Joe Biden,57,776,833
San Francisco,PCT 7547,President,,DEM,Joe Biden,53,756,809
San Francisco,PCT 7548,President,,DEM,Joe Biden,67,788,855
San Francisco,PCT 7549,President,,DEM,Joe Biden,49,620,669
San Francisco,PCT 7551,President,,DEM,Joe Biden,51,558,609
San Francisco,PCT 7552,President,,DEM,Joe Biden,47,559,606
San Francisco,PCT 7553 MB,President,,DEM,Joe Biden,3,134,137
San Francisco,PCT 7554,President,,DEM,Joe Biden,53,649,702
San Francisco,PCT 7555,President,,DEM,Joe Biden,62,717,779
San Francisco,PCT 7556/7557,President,,DEM,Joe Biden,53,819,872
San Francisco,PCT 7601,President,,DEM,Joe Biden,41,355,396
San Francisco,PCT 7602,President,,DEM,Joe Biden,45,483,528
San Francisco,PCT 7603,President,,DEM,Joe Biden,43,495,538
San Francisco,PCT 7604,President,,DEM,Joe Biden,52,536,588
San Francisco,PCT 7605,President,,DEM,Joe Biden,47,317,364
San Francisco,PCT 7606,President,,DEM,Joe Biden,40,470,510
San Francisco,PCT 7607,President,,DEM,Joe Biden,49,506,555
San Francisco,PCT 7608,President,,DEM,Joe Biden,19,147,166
San Francisco,PCT 7609,President,,DEM,Joe Biden,38,369,407
San Francisco,PCT 7611,President,,DEM,Joe Biden,37,412,449
San Francisco,PCT 7612,President,,DEM,Joe Biden,10,319,329
San Francisco,PCT 7613,President,,DEM,Joe Biden,56,440,496
San Francisco,PCT 7614,President,,DEM,Joe Biden,28,472,500
San Francisco,PCT 7615,President,,DEM,Joe Biden,40,311,351
San Francisco,PCT 7616,President,,DEM,Joe Biden,35,564,599
San Francisco,PCT 7617,President,,DEM,Joe Biden,38,336,374
San Francisco,PCT 7618,President,,DEM,Joe Biden,23,604,627
San Francisco,PCT 7619,President,,DEM,Joe Biden,43,827,870
San Francisco,PCT 7621,President,,DEM,Joe Biden,31,772,803
San Francisco,PCT 7622,President,,DEM,Joe Biden,57,426,483
San Francisco,PCT 7623,President,,DEM,Joe Biden,59,531,590
San Francisco,PCT 7624,President,,DEM,Joe Biden,37,411,448
San Francisco,PCT 7625,President,,DEM,Joe Biden,24,505,529
San Francisco,PCT 7626,President,,DEM,Joe Biden,38,805,843
San Francisco,PCT 7627,President,,DEM,Joe Biden,16,341,357
San Francisco,PCT 7628,President,,DEM,Joe Biden,37,602,639
San Francisco,PCT 7629,President,,DEM,Joe Biden,37,566,603
San Francisco,PCT 7631,President,,DEM,Joe Biden,68,818,886
San Francisco,PCT 7632,President,,DEM,Joe Biden,57,828,885
San Francisco,PCT 7633,President,,DEM,Joe Biden,25,465,490
San Francisco,PCT 7634,President,,DEM,Joe Biden,41,499,540
San Francisco,PCT 7635,President,,DEM,Joe Biden,21,488,509
San Francisco,PCT 7636,President,,DEM,Joe Biden,56,660,716
San Francisco,PCT 7637,President,,DEM,Joe Biden,62,626,688
San Francisco,PCT 7638,President,,DEM,Joe Biden,47,642,689
San Francisco,PCT 7639,President,,DEM,Joe Biden,44,773,817
San Francisco,PCT 7641,President,,DEM,Joe Biden,31,719,750
San Francisco,PCT 7642,President,,DEM,Joe Biden,46,442,488
San Francisco,PCT 7643,President,,DEM,Joe Biden,35,690,725
San Francisco,PCT 7644,President,,DEM,Joe Biden,73,859,932
San Francisco,PCT 7645,President,,DEM,Joe Biden,19,482,501
San Francisco,PCT 7646,President,,DEM,Joe Biden,41,964,1005
San Francisco,PCT 7647,President,,DEM,Joe Biden,78,525,603
San Francisco,PCT 7648 MB,President,,DEM,Joe Biden,0,4,4
San Francisco,PCT 7649,President,,DEM,Joe Biden,36,530,566
San Francisco,PCT 7651,President,,DEM,Joe Biden,68,873,941
San Francisco,PCT 7652,President,,DEM,Joe Biden,52,413,465
San Francisco,PCT 7653,President,,DEM,Joe Biden,42,664,706
San Francisco,PCT 7654,President,,DEM,Joe Biden,30,335,365
San Francisco,PCT 7655,President,,DEM,Joe Biden,60,552,612
San Francisco,PCT 7656,President,,DEM,Joe Biden,26,516,542
San Francisco,PCT 7657,President,,DEM,Joe Biden,40,511,551
San Francisco,PCT 7701,President,,DEM,Joe Biden,52,856,908
San Francisco,PCT 7702,President,,DEM,Joe Biden,37,586,623
San Francisco,PCT 7703 MB,President,,DEM,Joe Biden,4,139,143
San Francisco,PCT 7704,President,,DEM,Joe Biden,60,739,799
San Francisco,PCT 7705,President,,DEM,Joe Biden,47,440,487
San Francisco,PCT 7706,President,,DEM,Joe Biden,53,653,706
San Francisco,PCT 7707,President,,DEM,Joe Biden,57,701,758
San Francisco,PCT 7708,President,,DEM,Joe Biden,51,710,761
San Francisco,PCT 7709,President,,DEM,Joe Biden,29,323,352
San Francisco,PCT 7711,President,,DEM,Joe Biden,31,626,657
San Francisco,PCT 7712,President,,DEM,Joe Biden,34,414,448
San Francisco,PCT 7801,President,,DEM,Joe Biden,66,798,864
San Francisco,PCT 7802,President,,DEM,Joe Biden,44,659,703
San Francisco,PCT 7803,President,,DEM,Joe Biden,38,698,736
San Francisco,PCT 7804,President,,DEM,Joe Biden,31,770,801
San Francisco,PCT 7805,President,,DEM,Joe Biden,41,691,732
San Francisco,PCT 7806,President,,DEM,Joe Biden,55,596,651
San Francisco,PCT 7807,President,,DEM,Joe Biden,52,640,692
San Francisco,PCT 7808,President,,DEM,Joe Biden,40,470,510
San Francisco,PCT 7809,President,,DEM,Joe Biden,34,612,646
San Francisco,PCT 7811,President,,DEM,Joe Biden,40,559,599
San Francisco,PCT 7812,President,,DEM,Joe Biden,30,667,697
San Francisco,PCT 7813,President,,DEM,Joe Biden,56,836,892
San Francisco,PCT 7814,President,,DEM,Joe Biden,86,551,637
San Francisco,PCT 7815,President,,DEM,Joe Biden,60,767,827
San Francisco,PCT 7816,President,,DEM,Joe Biden,60,701,761
San Francisco,PCT 7817,President,,DEM,Joe Biden,61,634,695
San Francisco,PCT 7818,President,,DEM,Joe Biden,49,653,702
San Francisco,PCT 7819,President,,DEM,Joe Biden,23,581,604
San Francisco,PCT 7821,President,,DEM,Joe Biden,63,825,888
San Francisco,PCT 7822,President,,DEM,Joe Biden,64,643,707
San Francisco,PCT 7823,President,,DEM,Joe Biden,46,739,785
San Francisco,PCT 7824,President,,DEM,Joe Biden,40,601,641
San Francisco,PCT 7825,President,,DEM,Joe Biden,36,451,487
San Francisco,PCT 7826,President,,DEM,Joe Biden,47,537,584
San Francisco,PCT 7827,President,,DEM,Joe Biden,47,565,612
San Francisco,PCT 7828,President,,DEM,Joe Biden,60,835,895
San Francisco,PCT 7829,President,,DEM,Joe Biden,42,723,765
San Francisco,PCT 7831,President,,DEM,Joe Biden,43,754,797
San Francisco,PCT 7832,President,,DEM,Joe Biden,39,639,678
San Francisco,PCT 7833,President,,DEM,Joe Biden,43,593,636
San Francisco,PCT 7834,President,,DEM,Joe Biden,62,676,738
San Francisco,PCT 7835,President,,DEM,Joe Biden,45,695,740
San Francisco,PCT 7836,President,,DEM,Joe Biden,49,808,857
San Francisco,PCT 7837,President,,DEM,Joe Biden,79,743,822
San Francisco,PCT 7838,President,,DEM,Joe Biden,51,750,801
San Francisco,PCT 7839,President,,DEM,Joe Biden,44,696,740
San Francisco,PCT 7841,President,,DEM,Joe Biden,65,740,805
San Francisco,PCT 7842,President,,DEM,Joe Biden,46,672,718
San Francisco,PCT 7843,President,,DEM,Joe Biden,32,572,604
San Francisco,PCT 7844,President,,DEM,Joe Biden,45,460,505
San Francisco,PCT 7845,President,,DEM,Joe Biden,57,687,744
San Francisco,PCT 7846,President,,DEM,Joe Biden,38,745,783
San Francisco,PCT 7847,President,,DEM,Joe Biden,42,688,730
San Francisco,PCT 7848,President,,DEM,Joe Biden,39,729,768
San Francisco,PCT 7849,President,,DEM,Joe Biden,40,724,764
San Francisco,PCT 7851,President,,DEM,Joe Biden,20,407,427
San Francisco,PCT 7852,President,,DEM,Joe Biden,33,492,525
San Francisco,PCT 7853,President,,DEM,Joe Biden,56,678,734
San Francisco,PCT 7854,President,,DEM,Joe Biden,53,681,734
San Francisco,PCT 7855,President,,DEM,Joe Biden,48,794,842
San Francisco,PCT 7856,President,,DEM,Joe Biden,51,679,730
San Francisco,PCT 7857,President,,DEM,Joe Biden,42,731,773
San Francisco,PCT 7858,President,,DEM,Joe Biden,36,616,652
San Francisco,PCT 7859,President,,DEM,Joe Biden,56,737,793
San Francisco,PCT 7861,President,,DEM,Joe Biden,53,688,741
San Francisco,PCT 7862,President,,DEM,Joe Biden,62,699,761
San Francisco,PCT 7863,President,,DEM,Joe Biden,58,713,771
San Francisco,PCT 7864,President,,DEM,Joe Biden,37,639,676
San Francisco,PCT 7865,President,,DEM,Joe Biden,35,655,690
San Francisco,PCT 7866,President,,DEM,Joe Biden,44,667,711
San Francisco,PCT 7867,President,,DEM,Joe Biden,52,769,821
San Francisco,PCT 7868,President,,DEM,Joe Biden,66,687,753
San Francisco,PCT 7869,President,,DEM,Joe Biden,52,725,777
San Francisco,PCT 7871,President,,DEM,Joe Biden,45,718,763
San Francisco,PCT 7872,President,,DEM,Joe Biden,37,735,772
San Francisco,PCT 7873,President,,DEM,Joe Biden,59,730,789
San Francisco,PCT 7874,President,,DEM,Joe Biden,29,383,412
San Francisco,PCT 7875,President,,DEM,Joe Biden,54,432,486
San Francisco,PCT 7876,President,,DEM,Joe Biden,36,470,506
San Francisco,PCT 7901,President,,DEM,Joe Biden,28,326,354
San Francisco,PCT 7902,President,,DEM,Joe Biden,52,564,616
San Francisco,PCT 7903,President,,DEM,Joe Biden,44,496,540
San Francisco,PCT 7904,President,,DEM,Joe Biden,43,551,594
San Francisco,PCT 7905,President,,DEM,Joe Biden,37,686,723
San Francisco,PCT 7906,President,,DEM,Joe Biden,57,527,584
San Francisco,PCT 7907,President,,DEM,Joe Biden,69,640,709
San Francisco,PCT 7908,President,,DEM,Joe Biden,63,616,679
San Francisco,PCT 7909,President,,DEM,Joe Biden,48,568,616
San Francisco,PCT 7911,President,,DEM,Joe Biden,53,616,669
San Francisco,PCT 7912,President,,DEM,Joe Biden,56,705,761
San Francisco,PCT 7913,President,,DEM,Joe Biden,58,627,685
San Francisco,PCT 7914,President,,DEM,Joe Biden,55,643,698
San Francisco,PCT 7915,President,,DEM,Joe Biden,77,564,641
San Francisco,PCT 7916,President,,DEM,Joe Biden,37,591,628
San Francisco,PCT 7917,President,,DEM,Joe Biden,69,665,734
San Francisco,PCT 7918,President,,DEM,Joe Biden,65,560,625
San Francisco,PCT 7919,President,,DEM,Joe Biden,59,599,658
San Francisco,PCT 7921,President,,DEM,Joe Biden,76,546,622
San Francisco,PCT 7922,President,,DEM,Joe Biden,54,597,651
San Francisco,PCT 7923,President,,DEM,Joe Biden,65,605,670
San Francisco,PCT 7924,President,,DEM,Joe Biden,48,575,623
San Francisco,PCT 7925,President,,DEM,Joe Biden,29,403,432
San Francisco,PCT 7926,President,,DEM,Joe Biden,69,586,655
San Francisco,PCT 7927,President,,DEM,Joe Biden,43,590,633
San Francisco,PCT 7928,President,,DEM,Joe Biden,65,736,801
San Francisco,PCT 7929,President,,DEM,Joe Biden,38,716,754
San Francisco,PCT 7931,President,,DEM,Joe Biden,37,639,676
San Francisco,PCT 7932,President,,DEM,Joe Biden,38,428,466
San Francisco,PCT 7933 MB,President,,DEM,Joe Biden,1,4,5
San Francisco,PCT 7934,President,,DEM,Joe Biden,50,702,752
San Francisco,PCT 7935,President,,DEM,Joe Biden,59,749,808
San Francisco,PCT 7936,President,,DEM,Joe Biden,55,711,766
San Francisco,PCT 7937,President,,DEM,Joe Biden,57,703,760
San Francisco,PCT 7938,President,,DEM,Joe Biden,54,526,580
San Francisco,PCT 7939,President,,DEM,Joe Biden,45,575,620
San Francisco,PCT 7941,President,,DEM,Joe Biden,55,600,655
San Francisco,PCT 7942,President,,DEM,Joe Biden,61,629,690
San Francisco,PCT 7943,President,,DEM,Joe Biden,56,628,684
San Francisco,PCT 7944,President,,DEM,Joe Biden,75,596,671
San Francisco,PCT 7945,President,,DEM,Joe Biden,43,628,671
San Francisco,PCT 7946,President,,DEM,Joe Biden,51,635,686
San Francisco,PCT 7947,President,,DEM,Joe Biden,46,615,661
San Francisco,PCT 7948,President,,DEM,Joe Biden,61,615,676
San Francisco,PCT 7949,President,,DEM,Joe Biden,22,385,407
San Francisco,PCT 7951,President,,DEM,Joe Biden,43,570,613
San Francisco,PCT 7952,President,,DEM,Joe Biden,53,529,582
San Francisco,PCT 7953,President,,DEM,Joe Biden,48,536,584
San Francisco,PCT 7954 MB,President,,DEM,Joe Biden,0,0,0
San Francisco,PCT 7955,President,,DEM,Joe Biden,28,625,653
San Francisco,PCT 7956,President,,DEM,Joe Biden,47,458,505
San Francisco,PCT 7957,President,,DEM,Joe Biden,36,458,494
San Francisco,PCT 7958 MB,President,,DEM,Joe Biden,8,188,196
San Francisco,PCT 7959,President,,DEM,Joe Biden,33,448,481
San Francisco,PCT 9001 MB,President,,DEM,Joe Biden,2,190,192
San Francisco,PCT 9101,President,,DEM,Joe Biden,55,642,697
San Francisco,PCT 9102,President,,DEM,Joe Biden,51,691,742
San Francisco,PCT 9103,President,,DEM,Joe Biden,53,656,709
San Francisco,PCT 9104,President,,DEM,Joe Biden,37,684,721
San Francisco,PCT 9105,President,,DEM,Joe Biden,54,701,755
San Francisco,PCT 9106,President,,DEM,Joe Biden,57,718,775
San Francisco,PCT 9107,President,,DEM,Joe Biden,51,587,638
San Francisco,PCT 9108,President,,DEM,Joe Biden,49,557,606
San Francisco,PCT 9109,President,,DEM,Joe Biden,57,662,719
San Francisco,PCT 9111,President,,DEM,Joe Biden,31,606,637
San Francisco,PCT 9112,President,,DEM,Joe Biden,69,681,750
San Francisco,PCT 9113,President,,DEM,Joe Biden,56,771,827
San Francisco,PCT 9114,President,,DEM,Joe Biden,56,606,662
San Francisco,PCT 9115,President,,DEM,Joe Biden,49,635,684
San Francisco,PCT 9116,President,,DEM,Joe Biden,56,681,737
San Francisco,PCT 9117,President,,DEM,Joe Biden,68,556,624
San Francisco,PCT 9118,President,,DEM,Joe Biden,46,682,728
San Francisco,PCT 9119,President,,DEM,Joe Biden,34,676,710
San Francisco,PCT 9121,President,,DEM,Joe Biden,77,645,722
San Francisco,PCT 9122,President,,DEM,Joe Biden,44,655,699
San Francisco,PCT 9123,President,,DEM,Joe Biden,60,536,596
San Francisco,PCT 9124,President,,DEM,Joe Biden,56,586,642
San Francisco,PCT 9125,President,,DEM,Joe Biden,50,620,670
San Francisco,PCT 9126,President,,DEM,Joe Biden,59,676,735
San Francisco,PCT 9127,President,,DEM,Joe Biden,54,723,777
San Francisco,PCT 9128,President,,DEM,Joe Biden,51,542,593
San Francisco,PCT 9129,President,,DEM,Joe Biden,44,548,592
San Francisco,PCT 9131,President,,DEM,Joe Biden,40,530,570
San Francisco,PCT 9132,President,,DEM,Joe Biden,61,597,658
San Francisco,PCT 9133,President,,DEM,Joe Biden,73,713,786
San Francisco,PCT 9134,President,,DEM,Joe Biden,51,668,719
San Francisco,PCT 9135,President,,DEM,Joe Biden,36,528,564
San Francisco,PCT 9136,President,,DEM,Joe Biden,74,670,744
