county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,mail
Imperial,365018,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",8,5,0,3,0
Imperial,365018,President,,DEM,JOSEPH R. BIDEN,592,374,32,186,0
Imperial,365018,President,,GRN,HOWIE HAWKINS,3,3,0,0,0
Imperial,365018,President,,LIB,JO JORGENSEN,10,4,1,5,0
Imperial,365018,President,,PF,GLORIA LA RIVA,2,0,0,2,0
Imperial,365018,President,,REP,DONALD J. TRUMP,466,186,35,245,0
Imperial,365020,President,,,Times Cast,1526,898,93,535,0
Imperial,365020,President,,,Total Votes,1519,895,93,531,0
Imperial,365020,President,,,Write-in,1,1,0,0,0
Imperial,365020,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",15,9,0,6,0
Imperial,365020,President,,DEM,JOSEPH R. BIDEN,847,558,47,242,0
Imperial,365020,President,,GRN,HOWIE HAWKINS,3,2,0,1,0
Imperial,365020,President,,LIB,JO JORGENSEN,13,8,2,3,0
Imperial,365020,President,,PF,GLORIA LA RIVA,9,5,1,3,0
Imperial,365020,President,,REP,DONALD J. TRUMP,631,312,43,276,0
Imperial,365021,President,,,Times Cast,2738,1481,183,1072,2
Imperial,365021,President,,,Total Votes,2711,1468,182,1059,2
Imperial,365021,President,,,Write-in,1,1,0,0,0
Imperial,365021,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",6,2,1,3,0
Imperial,365021,President,,DEM,JOSEPH R. BIDEN,1332,859,89,383,1
Imperial,365021,President,,GRN,HOWIE HAWKINS,7,1,1,5,0
Imperial,365021,President,,LIB,JO JORGENSEN,32,14,3,15,0
Imperial,365021,President,,PF,GLORIA LA RIVA,11,6,0,5,0
Imperial,365021,President,,REP,DONALD J. TRUMP,1322,585,88,648,1
Imperial,365027,President,,,Times Cast,1611,936,85,590,0
Imperial,365027,President,,,Total Votes,1590,924,85,581,0
Imperial,365027,President,,,Write-in,1,0,1,0,0
Imperial,365027,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",3,2,0,1,0
Imperial,365027,President,,DEM,JOSEPH R. BIDEN,867,566,48,253,0
Imperial,365027,President,,GRN,HOWIE HAWKINS,5,0,0,5,0
Imperial,365027,President,,LIB,JO JORGENSEN,18,15,0,3,0
Imperial,365027,President,,PF,GLORIA LA RIVA,5,2,0,3,0
Imperial,365027,President,,REP,DONALD J. TRUMP,691,339,36,316,0
Imperial,385014,President,,,Times Cast,774,439,46,289,0
Imperial,385014,President,,,Total Votes,766,435,46,285,0
Imperial,385014,President,,,Write-in,0,0,0,0,0
Imperial,385014,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",1,0,0,1,0
Imperial,385014,President,,DEM,JOSEPH R. BIDEN,326,230,19,77,0
Imperial,385014,President,,GRN,HOWIE HAWKINS,1,1,0,0,0
Imperial,385014,President,,LIB,JO JORGENSEN,6,4,0,2,0
Imperial,385014,President,,PF,GLORIA LA RIVA,2,2,0,0,0
Imperial,385014,President,,REP,DONALD J. TRUMP,430,198,27,205,0
Imperial,389208,President,,,Times Cast,466,226,16,224,0
Imperial,389208,President,,,Total Votes,464,225,16,223,0
Imperial,389208,President,,,Write-in,1,0,0,1,0
Imperial,389208,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",4,1,0,3,0
Imperial,389208,President,,DEM,JOSEPH R. BIDEN,289,159,9,121,0
Imperial,389208,President,,GRN,HOWIE HAWKINS,3,0,0,3,0
Imperial,389208,President,,LIB,JO JORGENSEN,10,1,4,5,0
Imperial,389208,President,,PF,GLORIA LA RIVA,4,1,0,3,0
Imperial,389208,President,,REP,DONALD J. TRUMP,153,63,3,87,0
Imperial,411102,President,,,Times Cast,545,266,13,266,0
Imperial,411102,President,,,Total Votes,533,260,13,260,0
Imperial,411102,President,,,Write-in,0,0,0,0,0
Imperial,411102,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",2,2,0,0,0
Imperial,411102,President,,DEM,JOSEPH R. BIDEN,238,128,7,103,0
Imperial,411102,President,,GRN,HOWIE HAWKINS,1,1,0,0,0
Imperial,411102,President,,LIB,JO JORGENSEN,6,3,0,3,0
Imperial,411102,President,,PF,GLORIA LA RIVA,1,1,0,0,0
Imperial,411102,President,,REP,DONALD J. TRUMP,285,125,6,154,0
Imperial,411105,President,,,Times Cast,1090,639,32,419,0
Imperial,411105,President,,,Total Votes,1078,630,32,416,0
Imperial,411105,President,,,Write-in,2,2,0,0,0
Imperial,411105,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",4,2,0,2,0
Imperial,411105,President,,DEM,JOSEPH R. BIDEN,667,428,26,213,0
Imperial,411105,President,,GRN,HOWIE HAWKINS,2,1,0,1,0
Imperial,411105,President,,LIB,JO JORGENSEN,10,7,0,3,0
Imperial,411105,President,,PF,GLORIA LA RIVA,7,2,0,5,0
Imperial,411105,President,,REP,DONALD J. TRUMP,386,188,6,192,0
Imperial,411106,President,,,Times Cast,1668,929,49,690,0
Imperial,411106,President,,,Total Votes,1647,915,48,684,0
Imperial,411106,President,,,Write-in,1,0,1,0,0
Imperial,411106,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",9,3,0,6,0
Imperial,411106,President,,DEM,JOSEPH R. BIDEN,1053,654,28,371,0
Imperial,411106,President,,GRN,HOWIE HAWKINS,7,2,2,3,0
Imperial,411106,President,,LIB,JO JORGENSEN,15,7,2,6,0
Imperial,411106,President,,PF,GLORIA LA RIVA,9,3,0,6,0
Imperial,411106,President,,REP,DONALD J. TRUMP,553,246,15,292,0
Imperial,411107,President,,,Times Cast,832,501,21,309,1
Imperial,411107,President,,,Total Votes,825,496,21,307,1
Imperial,411107,President,,,Write-in,1,0,0,1,0
Imperial,411107,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",2,2,0,0,0
Imperial,411107,President,,DEM,JOSEPH R. BIDEN,229,173,5,51,0
Imperial,411107,President,,GRN,HOWIE HAWKINS,2,1,0,1,0
Imperial,411107,President,,LIB,JO JORGENSEN,9,5,2,2,0
Imperial,411107,President,,PF,GLORIA LA RIVA,1,0,0,1,0
Imperial,411107,President,,REP,DONALD J. TRUMP,581,315,14,251,1
Imperial,411108,President,,,Times Cast,1120,626,24,470,0
Imperial,411108,President,,,Total Votes,1109,620,24,465,0
Imperial,411108,President,,,Write-in,0,0,0,0,0
Imperial,411108,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",7,5,0,2,0
Imperial,411108,President,,DEM,JOSEPH R. BIDEN,526,361,8,157,0
Imperial,411108,President,,GRN,HOWIE HAWKINS,3,2,0,1,0
Imperial,411108,President,,LIB,JO JORGENSEN,9,3,2,4,0
Imperial,411108,President,,PF,GLORIA LA RIVA,2,1,0,1,0
Imperial,411108,President,,REP,DONALD J. TRUMP,562,248,14,300,0
Imperial,411109,President,,,Times Cast,534,291,17,226,0
Imperial,411109,President,,,Total Votes,531,291,17,223,0
Imperial,411109,President,,,Write-in,0,0,0,0,0
Imperial,411109,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",1,1,0,0,0
Imperial,411109,President,,DEM,JOSEPH R. BIDEN,267,178,4,85,0
Imperial,411109,President,,GRN,HOWIE HAWKINS,1,1,0,0,0
Imperial,411109,President,,LIB,JO JORGENSEN,3,2,0,1,0
Imperial,411109,President,,PF,GLORIA LA RIVA,2,2,0,0,0
Imperial,411109,President,,REP,DONALD J. TRUMP,257,107,13,137,0
Imperial,411136,President,,,Times Cast,542,332,15,195,0
Imperial,411136,President,,,Total Votes,536,329,15,192,0
Imperial,411136,President,,,Write-in,1,1,0,0,0
Imperial,411136,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",4,2,0,2,0
Imperial,411136,President,,DEM,JOSEPH R. BIDEN,355,239,6,110,0
Imperial,411136,President,,GRN,HOWIE HAWKINS,4,1,0,3,0
Imperial,411136,President,,LIB,JO JORGENSEN,1,1,0,0,0
Imperial,411136,President,,PF,GLORIA LA RIVA,5,1,0,4,0
Imperial,411136,President,,REP,DONALD J. TRUMP,166,84,9,73,0
Imperial,432034,President,,,Times Cast,913,462,66,385,0
Imperial,432034,President,,,Total Votes,899,452,66,381,0
Imperial,432034,President,,,Write-in,0,0,0,0,0
Imperial,432034,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",4,3,0,1,0
Imperial,432034,President,,DEM,JOSEPH R. BIDEN,549,313,39,197,0
Imperial,432034,President,,GRN,HOWIE HAWKINS,3,1,0,2,0
Imperial,432034,President,,LIB,JO JORGENSEN,7,1,0,6,0
Imperial,432034,President,,PF,GLORIA LA RIVA,8,4,0,4,0
Imperial,432034,President,,REP,DONALD J. TRUMP,328,130,27,171,0
Imperial,474117,President,,,Times Cast,514,302,4,208,0
Imperial,474117,President,,,Total Votes,508,299,4,205,0
Imperial,474117,President,,,Write-in,0,0,0,0,0
Imperial,474117,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",5,2,0,3,0
Imperial,474117,President,,DEM,JOSEPH R. BIDEN,334,217,4,113,0
Imperial,474117,President,,GRN,HOWIE HAWKINS,0,0,0,0,0
Imperial,474117,President,,LIB,JO JORGENSEN,5,1,0,4,0
Imperial,474117,President,,PF,GLORIA LA RIVA,2,2,0,0,0
Imperial,474117,President,,REP,DONALD J. TRUMP,162,77,0,85,0
Imperial,482028,President,,,Times Cast,232,112,4,116,0
Imperial,482028,President,,,Total Votes,230,111,4,115,0
Imperial,482028,President,,,Write-in,0,0,0,0,0
Imperial,482028,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",0,0,0,0,0
Imperial,482028,President,,DEM,JOSEPH R. BIDEN,134,67,3,64,0
Imperial,482028,President,,GRN,HOWIE HAWKINS,0,0,0,0,0
Imperial,482028,President,,LIB,JO JORGENSEN,0,0,0,0,0
Imperial,482028,President,,PF,GLORIA LA RIVA,1,0,0,1,0
Imperial,482028,President,,REP,DONALD J. TRUMP,95,44,1,50,0
Imperial,483021,President,,,Times Cast,728,411,3,314,0
Imperial,483021,President,,,Total Votes,718,407,3,308,0
Imperial,483021,President,,,Write-in,1,1,0,0,0
