county,precinct,office,district,party,candidate,votes,mail,provisional
Lassen,Lassen 112,President,,WRI,Write-In: UNCERTIFIED WRITE IN,1,1,0
Lassen,Lassen 112,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 112,President,,,Overvotes,0,0,0
Lassen,Lassen 112,President,,,Undervotes,0,0,0
Lassen,Lassen 112,U.S. House,1,REP,DOUG LAMALFA,128,127,1
Lassen,Lassen 112,U.S. House,1,DEM,AUDREY DENNEY,114,114,0
Lassen,Lassen 112,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 112,U.S. House,1,,Undervotes,3,3,0
Lassen,Lassen 112,State Senate,01,REP,BRIAN DAHLE,133,132,1
Lassen,Lassen 112,State Senate,01,DEM,PAMELA DAWN SWARTZ,101,101,0
Lassen,Lassen 112,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 112,State Senate,01,,Undervotes,11,11,0
Lassen,Lassen 112,State Assembly,01,REP,MEGAN DAHLE,127,126,1
Lassen,Lassen 112,State Assembly,01,DEM,ELIZABETH L BETANCOURT,109,109,0
Lassen,Lassen 112,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 112,State Assembly,01,,Undervotes,9,9,0
Lassen,Lassen 113,Registered Voters,,,,116,,
Lassen,Lassen 113,Ballots Cast,,,,88,88,0
Lassen,Lassen 113,President,,DEM,JOSEPH R. BIDEN,37,37,0
Lassen,Lassen 113,President,,REP,DONALD J. TRUMP,51,51,0
Lassen,Lassen 113,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 113,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 113,President,,GRN,HOWIE HAWKINS,0,0,0
Lassen,Lassen 113,President,,LIB,JO JORGENSEN,0,0,0
Lassen,Lassen 113,President,,WRI,Write-In: UNCERTIFIED WRITE IN,0,0,0
Lassen,Lassen 113,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 113,President,,,Overvotes,0,0,0
Lassen,Lassen 113,President,,,Undervotes,0,0,0
Lassen,Lassen 113,U.S. House,1,REP,DOUG LAMALFA,52,52,0
Lassen,Lassen 113,U.S. House,1,DEM,AUDREY DENNEY,34,34,0
Lassen,Lassen 113,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 113,U.S. House,1,,Undervotes,2,2,0
Lassen,Lassen 113,State Senate,01,REP,BRIAN DAHLE,51,51,0
Lassen,Lassen 113,State Senate,01,DEM,PAMELA DAWN SWARTZ,34,34,0
Lassen,Lassen 113,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 113,State Senate,01,,Undervotes,3,3,0
Lassen,Lassen 113,State Assembly,01,REP,MEGAN DAHLE,53,53,0
Lassen,Lassen 113,State Assembly,01,DEM,ELIZABETH L BETANCOURT,31,31,0
Lassen,Lassen 113,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 113,State Assembly,01,,Undervotes,4,4,0
Lassen,Lassen 116,Registered Voters,,,,279,,
Lassen,Lassen 116,Ballots Cast,,,,234,232,2
Lassen,Lassen 116,President,,DEM,JOSEPH R. BIDEN,50,50,0
Lassen,Lassen 116,President,,REP,DONALD J. TRUMP,181,179,2
Lassen,Lassen 116,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 116,President,,AIP,ROCKY DE LA FUENTE GUERRA,1,1,0
Lassen,Lassen 116,President,,GRN,HOWIE HAWKINS,1,1,0
Lassen,Lassen 116,President,,LIB,JO JORGENSEN,1,1,0
Lassen,Lassen 116,President,,WRI,Write-In: UNCERTIFIED WRITE IN,0,0,0
Lassen,Lassen 116,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 116,President,,,Overvotes,0,0,0
Lassen,Lassen 116,President,,,Undervotes,0,0,0
Lassen,Lassen 116,U.S. House,1,REP,DOUG LAMALFA,182,180,2
Lassen,Lassen 116,U.S. House,1,DEM,AUDREY DENNEY,48,48,0
Lassen,Lassen 116,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 116,U.S. House,1,,Undervotes,4,4,0
Lassen,Lassen 116,State Senate,01,REP,BRIAN DAHLE,180,179,1
Lassen,Lassen 116,State Senate,01,DEM,PAMELA DAWN SWARTZ,46,46,0
Lassen,Lassen 116,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 116,State Senate,01,,Undervotes,8,7,1
Lassen,Lassen 116,State Assembly,01,REP,MEGAN DAHLE,176,175,1
Lassen,Lassen 116,State Assembly,01,DEM,ELIZABETH L BETANCOURT,54,53,1
Lassen,Lassen 116,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 116,State Assembly,01,,Undervotes,4,4,0
Lassen,Lassen 117,Registered Voters,,,,952,,
Lassen,Lassen 117,Ballots Cast,,,,812,808,4
Lassen,Lassen 117,President,,DEM,JOSEPH R. BIDEN,150,149,1
Lassen,Lassen 117,President,,REP,DONALD J. TRUMP,638,635,3
Lassen,Lassen 117,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 117,President,,AIP,ROCKY DE LA FUENTE GUERRA,3,3,0
Lassen,Lassen 117,President,,GRN,HOWIE HAWKINS,1,1,0
Lassen,Lassen 117,President,,LIB,JO JORGENSEN,5,5,0
Lassen,Lassen 117,President,,WRI,Write-In: UNCERTIFIED WRITE IN,5,5,0
Lassen,Lassen 117,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 117,President,,,Overvotes,0,0,0
Lassen,Lassen 117,President,,,Undervotes,10,10,0
Lassen,Lassen 117,U.S. House,1,REP,DOUG LAMALFA,639,636,3
Lassen,Lassen 117,U.S. House,1,DEM,AUDREY DENNEY,166,166,0
Lassen,Lassen 117,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 117,U.S. House,1,,Undervotes,7,6,1
Lassen,Lassen 117,State Senate,01,REP,BRIAN DAHLE,684,681,3
Lassen,Lassen 117,State Senate,01,DEM,PAMELA DAWN SWARTZ,111,111,0
Lassen,Lassen 117,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 117,State Senate,01,,Undervotes,17,16,1
Lassen,Lassen 117,State Assembly,01,REP,MEGAN DAHLE,671,669,2
Lassen,Lassen 117,State Assembly,01,DEM,ELIZABETH L BETANCOURT,126,125,1
Lassen,Lassen 117,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 117,State Assembly,01,,Undervotes,15,14,1
Lassen,Lassen 118,Registered Voters,,,,440,,
Lassen,Lassen 118,Ballots Cast,,,,372,366,6
Lassen,Lassen 118,President,,DEM,JOSEPH R. BIDEN,71,70,1
Lassen,Lassen 118,President,,REP,DONALD J. TRUMP,293,288,5
Lassen,Lassen 118,President,,PFP,GLORIA LA RIVA,2,2,0
Lassen,Lassen 118,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 118,President,,GRN,HOWIE HAWKINS,0,0,0
Lassen,Lassen 118,President,,LIB,JO JORGENSEN,3,3,0
Lassen,Lassen 118,President,,WRI,Write-In: UNCERTIFIED WRITE IN,2,2,0
Lassen,Lassen 118,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 118,President,,,Overvotes,0,0,0
Lassen,Lassen 118,President,,,Undervotes,1,1,0
Lassen,Lassen 118,U.S. House,1,REP,DOUG LAMALFA,284,279,5
Lassen,Lassen 118,U.S. House,1,DEM,AUDREY DENNEY,82,81,1
Lassen,Lassen 118,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 118,U.S. House,1,,Undervotes,6,6,0
Lassen,Lassen 118,State Senate,01,REP,BRIAN DAHLE,303,298,5
Lassen,Lassen 118,State Senate,01,DEM,PAMELA DAWN SWARTZ,60,59,1
Lassen,Lassen 118,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 118,State Senate,01,,Undervotes,9,9,0
Lassen,Lassen 118,State Assembly,01,REP,MEGAN DAHLE,296,291,5
Lassen,Lassen 118,State Assembly,01,DEM,ELIZABETH L BETANCOURT,67,66,1
Lassen,Lassen 118,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 118,State Assembly,01,,Undervotes,9,9,0
Lassen,Lassen 119,Registered Voters,,,,406,,
Lassen,Lassen 119,Ballots Cast,,,,308,304,4
Lassen,Lassen 119,President,,DEM,JOSEPH R. BIDEN,88,88,0
Lassen,Lassen 119,President,,REP,DONALD J. TRUMP,209,205,4
Lassen,Lassen 119,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 119,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 119,President,,GRN,HOWIE HAWKINS,0,0,0
Lassen,Lassen 119,President,,LIB,JO JORGENSEN,4,4,0
Lassen,Lassen 119,President,,WRI,Write-In: UNCERTIFIED WRITE IN,2,2,0
Lassen,Lassen 119,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 119,President,,,Overvotes,3,3,0
Lassen,Lassen 119,President,,,Undervotes,2,2,0
Lassen,Lassen 119,U.S. House,1,REP,DOUG LAMALFA,212,209,3
Lassen,Lassen 119,U.S. House,1,DEM,AUDREY DENNEY,88,88,0
Lassen,Lassen 119,U.S. House,1,,Total Votes Cast,300,297,3
Lassen,Lassen 119,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 119,U.S. House,1,,Undervotes,8,7,1
Lassen,Lassen 119,State Senate,01,REP,BRIAN DAHLE,213,210,3
Lassen,Lassen 119,State Senate,01,DEM,PAMELA DAWN SWARTZ,76,76,0
Lassen,Lassen 119,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 119,State Senate,01,,Undervotes,19,18,1
Lassen,Lassen 119,State Assembly,01,REP,MEGAN DAHLE,206,203,3
Lassen,Lassen 119,State Assembly,01,DEM,ELIZABETH L BETANCOURT,83,83,0
Lassen,Lassen 119,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 119,State Assembly,01,,Undervotes,19,18,1
Lassen,Lassen 120,Registered Voters,,,,177,,
Lassen,Lassen 120,Ballots Cast,,,,150,149,1
Lassen,Lassen 120,President,,DEM,JOSEPH R. BIDEN,39,39,0
Lassen,Lassen 120,President,,REP,DONALD J. TRUMP,110,109,1
Lassen,Lassen 120,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 120,President,,AIP,ROCKY DE LA FUENTE GUERRA,1,1,0
Lassen,Lassen 120,President,,GRN,HOWIE HAWKINS,0,0,0
Lassen,Lassen 120,President,,LIB,JO JORGENSEN,0,0,0
Lassen,Lassen 120,President,,WRI,Write-In: UNCERTIFIED WRITE IN,0,0,0
Lassen,Lassen 120,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 120,President,,,Overvotes,0,0,0
Lassen,Lassen 120,President,,,Undervotes,0,0,0
Lassen,Lassen 120,U.S. House,1,REP,DOUG LAMALFA,110,110,0
Lassen,Lassen 120,U.S. House,1,DEM,AUDREY DENNEY,36,35,1
Lassen,Lassen 120,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 120,U.S. House,1,,Undervotes,4,4,0
Lassen,Lassen 120,State Senate,01,REP,BRIAN DAHLE,110,110,0
Lassen,Lassen 120,State Senate,01,DEM,PAMELA DAWN SWARTZ,37,36,1
Lassen,Lassen 120,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 120,State Senate,01,,Undervotes,3,3,0
Lassen,Lassen 120,State Assembly,01,REP,MEGAN DAHLE,110,110,0
Lassen,Lassen 120,State Assembly,01,DEM,ELIZABETH L BETANCOURT,38,37,1
Lassen,Lassen 120,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 120,State Assembly,01,,Undervotes,2,2,0
Lassen,Lassen 201,Registered Voters,,,,207,,
Lassen,Lassen 201,Ballots Cast,,,,167,167,0
Lassen,Lassen 201,President,,DEM,JOSEPH R. BIDEN,57,57,0
Lassen,Lassen 201,President,,REP,DONALD J. TRUMP,103,103,0
Lassen,Lassen 201,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 201,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 201,President,,GRN,HOWIE HAWKINS,1,1,0
Lassen,Lassen 201,President,,LIB,JO JORGENSEN,4,4,0
Lassen,Lassen 201,President,,WRI,Write-In: UNCERTIFIED WRITE IN,1,1,0
Lassen,Lassen 201,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 201,President,,,Overvotes,0,0,0
Lassen,Lassen 201,President,,,Undervotes,1,1,0
Lassen,Lassen 201,U.S. House,1,REP,DOUG LAMALFA,103,103,0
Lassen,Lassen 201,U.S. House,1,DEM,AUDREY DENNEY,61,61,0
Lassen,Lassen 201,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 201,U.S. House,1,,Undervotes,3,3,0
Lassen,Lassen 201,State Senate,01,REP,BRIAN DAHLE,113,113,0
Lassen,Lassen 201,State Senate,01,DEM,PAMELA DAWN SWARTZ,49,49,0
Lassen,Lassen 201,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 201,State Senate,01,,Undervotes,5,5,0
Lassen,Lassen 201,State Assembly,01,REP,MEGAN DAHLE,112,112,0
Lassen,Lassen 201,State Assembly,01,DEM,ELIZABETH L BETANCOURT,50,50,0
Lassen,Lassen 201,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 201,State Assembly,01,,Undervotes,5,5,0
Lassen,Lassen 202,Registered Voters,,,,199,,
Lassen,Lassen 202,Ballots Cast,,,,172,170,2
Lassen,Lassen 202,President,,DEM,JOSEPH R. BIDEN,53,53,0
Lassen,Lassen 202,President,,REP,DONALD J. TRUMP,115,113,2
Lassen,Lassen 202,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 202,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 202,President,,GRN,HOWIE HAWKINS,2,2,0
Lassen,Lassen 202,President,,LIB,JO JORGENSEN,1,1,0
Lassen,Lassen 202,President,,WRI,Write-In: UNCERTIFIED WRITE IN,0,0,0
Lassen,Lassen 202,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 202,President,,,Overvotes,0,0,0
Lassen,Lassen 202,President,,,Undervotes,1,1,0
Lassen,Lassen 202,U.S. House,1,REP,DOUG LAMALFA,113,111,2
Lassen,Lassen 202,U.S. House,1,DEM,AUDREY DENNEY,57,57,0
Lassen,Lassen 202,U.S. House,1,,Undervotes,2,2,0
Lassen,Lassen 202,State Senate,01,REP,BRIAN DAHLE,120,118,2
Lassen,Lassen 202,State Senate,01,DEM,PAMELA DAWN SWARTZ,47,47,0
Lassen,Lassen 202,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 202,State Senate,01,,Undervotes,5,5,0
Lassen,Lassen 202,State Assembly,01,REP,MEGAN DAHLE,118,116,2
Lassen,Lassen 202,State Assembly,01,DEM,ELIZABETH L BETANCOURT,50,50,0
Lassen,Lassen 202,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 202,State Assembly,01,,Undervotes,4,4,0
Lassen,Lassen 210,Registered Voters,,,,218,,
Lassen,Lassen 210,Ballots Cast,,,,344,339,5
Lassen,Lassen 210,President,,DEM,JOSEPH R. BIDEN,97,97,0
Lassen,Lassen 210,President,,REP,DONALD J. TRUMP,223,219,4
Lassen,Lassen 210,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 210,President,,AIP,ROCKY DE LA FUENTE GUERRA,2,2,0
Lassen,Lassen 210,President,,GRN,HOWIE HAWKINS,2,2,0
Lassen,Lassen 210,President,,LIB,JO JORGENSEN,13,12,1
Lassen,Lassen 210,President,,WRI,Write-In: UNCERTIFIED WRITE IN,3,3,0
Lassen,Lassen 210,President,,WRI,Write-In: JESSE VENTURA,2,2,0
Lassen,Lassen 210,President,,,Overvotes,0,0,0
Lassen,Lassen 210,President,,,Undervotes,2,2,0
Lassen,Lassen 210,U.S. House,1,REP,DOUG LAMALFA,212,209,3
Lassen,Lassen 210,U.S. House,1,DEM,AUDREY DENNEY,124,123,1
Lassen,Lassen 210,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 210,U.S. House,1,,Undervotes,8,7,1
Lassen,Lassen 210,State Senate,01,REP,BRIAN DAHLE,236,233,3
Lassen,Lassen 210,State Senate,01,DEM,PAMELA DAWN SWARTZ,93,92,1
Lassen,Lassen 210,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 210,State Senate,01,,Undervotes,15,14,1
Lassen,Lassen 210,State Assembly,01,REP,MEGAN DAHLE,228,225,3
Lassen,Lassen 210,State Assembly,01,DEM,ELIZABETH L BETANCOURT,103,102,1
Lassen,Lassen 210,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 210,State Assembly,01,,Undervotes,13,12,1
Lassen,Lassen 211,Registered Voters,,,,244,,
Lassen,Lassen 211,Ballots Cast,,,,2,2,0
Lassen,Lassen 211,President,,DEM,JOSEPH R. BIDEN,1,1,0
Lassen,Lassen 211,President,,REP,DONALD J. TRUMP,0,0,0
Lassen,Lassen 211,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 211,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 211,President,,GRN,HOWIE HAWKINS,0,0,0
Lassen,Lassen 211,President,,LIB,JO JORGENSEN,0,0,0
Lassen,Lassen 211,President,,WRI,Write-In: UNCERTIFIED WRITE IN,1,1,0
Lassen,Lassen 211,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 211,President,,,Overvotes,0,0,0
Lassen,Lassen 211,President,,,Undervotes,0,0,0
Lassen,Lassen 211,U.S. House,1,REP,DOUG LAMALFA,1,1,0
Lassen,Lassen 211,U.S. House,1,DEM,AUDREY DENNEY,1,1,0
Lassen,Lassen 211,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 211,U.S. House,1,,Undervotes,0,0,0
Lassen,Lassen 211,State Senate,01,REP,BRIAN DAHLE,1,1,0
Lassen,Lassen 211,State Senate,01,DEM,PAMELA DAWN SWARTZ,1,1,0
Lassen,Lassen 211,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 211,State Senate,01,,Undervotes,0,0,0
Lassen,Lassen 211,State Assembly,01,REP,MEGAN DAHLE,0,0,0
Lassen,Lassen 211,State Assembly,01,DEM,ELIZABETH L BETANCOURT,2,2,0
Lassen,Lassen 211,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 211,State Assembly,01,,Undervotes,0,0,0
Lassen,Lassen 212,Registered Voters,,,,195,,
Lassen,Lassen 212,Ballots Cast,,,,151,148,3
Lassen,Lassen 212,President,,DEM,JOSEPH R. BIDEN,42,42,0
Lassen,Lassen 212,President,,REP,DONALD J. TRUMP,102,99,3
Lassen,Lassen 212,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 212,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 212,President,,GRN,HOWIE HAWKINS,0,0,0
Lassen,Lassen 212,President,,LIB,JO JORGENSEN,4,4,0
Lassen,Lassen 212,President,,WRI,Write-In: UNCERTIFIED WRITE IN,0,0,0
Lassen,Lassen 212,President,,,Overvotes,0,0,0
Lassen,Lassen 212,President,,,Undervotes,3,3,0
Lassen,Lassen 212,U.S. House,1,REP,DOUG LAMALFA,105,102,3
Lassen,Lassen 212,U.S. House,1,DEM,AUDREY DENNEY,45,45,0
Lassen,Lassen 212,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 212,U.S. House,1,,Undervotes,1,1,0
Lassen,Lassen 212,State Senate,01,REP,BRIAN DAHLE,105,102,3
Lassen,Lassen 212,State Senate,01,DEM,PAMELA DAWN SWARTZ,38,38,0
Lassen,Lassen 212,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 212,State Senate,01,,Undervotes,8,8,0
Lassen,Lassen 212,State Assembly,01,REP,MEGAN DAHLE,103,100,3
Lassen,Lassen 212,State Assembly,01,DEM,ELIZABETH L BETANCOURT,41,41,0
Lassen,Lassen 212,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 212,State Assembly,01,,Undervotes,7,7,0
Lassen,Lassen 213,Registered Voters,,,,196,,
Lassen,Lassen 213,Ballots Cast,,,,129,127,2
Lassen,Lassen 213,President,,DEM,JOSEPH R. BIDEN,34,32,2
Lassen,Lassen 213,President,,REP,DONALD J. TRUMP,89,89,0
Lassen,Lassen 213,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 213,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 213,President,,GRN,HOWIE HAWKINS,2,2,0
Lassen,Lassen 213,President,,LIB,JO JORGENSEN,3,3,0
Lassen,Lassen 213,President,,WRI,Write-In: UNCERTIFIED WRITE IN,1,1,0
Lassen,Lassen 213,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 213,President,,,Overvotes,0,0,0
Lassen,Lassen 213,President,,,Undervotes,0,0,0
Lassen,Lassen 213,U.S. House,1,REP,DOUG LAMALFA,86,86,0
Lassen,Lassen 213,U.S. House,1,DEM,AUDREY DENNEY,39,37,2
Lassen,Lassen 213,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 213,U.S. House,1,,Undervotes,4,4,0
Lassen,Lassen 213,State Senate,01,REP,BRIAN DAHLE,90,90,0
Lassen,Lassen 213,State Senate,01,DEM,PAMELA DAWN SWARTZ,34,32,2
Lassen,Lassen 213,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 213,State Senate,01,,Undervotes,5,5,0
Lassen,Lassen 213,State Assembly,01,REP,MEGAN DAHLE,87,86,1
Lassen,Lassen 213,State Assembly,01,DEM,ELIZABETH L BETANCOURT,37,36,1
Lassen,Lassen 213,State Assembly,01,,Overvotes,0,0,0
