county,office,district,candidate,incumbent,write_in,party,votes
Amador,President,,Jo Jorgensen,N,N,Libertarian,349
Amador,President,,Gloria La Riva,N,N,Peace and Freedom,41
Amador,President,,Brian Carroll,N,Y,,1
Amador,President,,Mark Charles,N,Y,,0
Amador,President,,Joseph Kishore,N,Y,,0
Amador,President,,Brock Pierce,N,Y,,0
Amador,President,,Jesse Ventura,N,Y,,1
Amador,U.S. House,4,Brynne S. Kennedy,N,N,Democratic,8259
Amador,U.S. House,4,Tom McClintock,Y,N,Republican,13833
Amador,State Assembly,5,Frank Bigelow,Y,N,Republican,16427
Butte,President,,Joseph R. Biden,N,N,Democratic,50426
Butte,President,,Donald J. Trump,Y,N,Republican,48730
Butte,President,,"Roque ""Rocky"" De La Fuente Guerra",N,N,American Independent,324
Butte,President,,Howie Hawkins,N,N,Green,507
Butte,President,,Jo Jorgensen,N,N,Libertarian,1774
Butte,President,,Gloria La Riva,N,N,Peace and Freedom,281
Butte,President,,Brian Carroll,N,Y,,15
Butte,President,,Mark Charles,N,Y,,2
Butte,President,,Joseph Kishore,N,Y,,0
Butte,President,,Brock Pierce,N,Y,,3
Butte,President,,Jesse Ventura,N,Y,,4
Butte,U.S. House,1,Audrey Denney,N,N,Democratic,51719
Butte,U.S. House,1,Doug LaMalfa,Y,N,Republican,49828
Butte,State Assembly,1,Elizabeth L Betancourt,N,N,Democratic,3188
Butte,State Assembly,1,Megan Dahle,Y,N,Republican,4855
Butte,State Assembly,3,James R Henson,N,N,Democratic,39980
Butte,State Assembly,3,James Gallagher,Y,N,Republican,51412
Calaveras,President,,Joseph R. Biden,N,N,Democratic,10046
Calaveras,President,,Donald J. Trump,Y,N,Republican,16518
Calaveras,President,,"Roque ""Rocky"" De La Fuente Guerra",N,N,American Independent,72
Calaveras,President,,Howie Hawkins,N,N,Green,125
Calaveras,President,,Jo Jorgensen,N,N,Libertarian,359
Calaveras,President,,Gloria La Riva,N,N,Peace and Freedom,44
Calaveras,President,,Brian Carroll,N,Y,,0
Calaveras,President,,Mark Charles,N,Y,,0
Calaveras,President,,Joseph Kishore,N,Y,,0
Calaveras,President,,Brock Pierce,N,Y,,0
Calaveras,President,,Jesse Ventura,N,Y,,0
Calaveras,U.S. House,4,Brynne S. Kennedy,N,N,Democratic,10333
Calaveras,U.S. House,4,Tom McClintock,Y,N,Republican,16563
Calaveras,State Assembly,5,Frank Bigelow,Y,N,Republican,19205
Colusa,President,,Joseph R. Biden,N,N,Democratic,3239
Colusa,President,,Donald J. Trump,Y,N,Republican,4559
Colusa,President,,"Roque ""Rocky"" De La Fuente Guerra",N,N,American Independent,30
Colusa,President,,Howie Hawkins,N,N,Green,25
Colusa,President,,Jo Jorgensen,N,N,Libertarian,81
Colusa,President,,Gloria La Riva,N,N,Peace and Freedom,27
Colusa,President,,Brian Carroll,N,Y,,0
Colusa,President,,Mark Charles,N,Y,,0
Colusa,President,,Joseph Kishore,N,Y,,0
Colusa,President,,Brock Pierce,N,Y,,0
Colusa,President,,Jesse Ventura,N,Y,,0
Colusa,U.S. House,3,John Garamendi,Y,N,Democratic,3348
Colusa,U.S. House,3,Tamika Hamilton,N,N,Republican,4328
Colusa,State Assembly,3,James R Henson,N,N,Democratic,1125
Colusa,State Assembly,3,James Gallagher,Y,N,Republican,3000
Colusa,State Assembly,4,Cecilia Aguiar-Curry,Y,N,Democratic,1874
Colusa,State Assembly,4,Matthew L. Nelson,N,N,Republican,1759
Contra Costa,President,,Joseph R. Biden,N,N,Democratic,416386
Contra Costa,President,,Donald J. Trump,Y,N,Republican,152877
Contra Costa,President,,"Roque ""Rocky"" De La Fuente Guerra",N,N,American Independent,1949
Contra Costa,President,,Howie Hawkins,N,N,Green,2618
Contra Costa,President,,Jo Jorgensen,N,N,Libertarian,6116
Contra Costa,President,,Gloria La Riva,N,N,Peace and Freedom,1284
Contra Costa,President,,Brian Carroll,N,Y,,57
Contra Costa,President,,Mark Charles,N,Y,,14
Contra Costa,President,,Joseph Kishore,N,Y,,2
Contra Costa,President,,Brock Pierce,N,Y,,3
Contra Costa,President,,Jesse Ventura,N,Y,,10
Contra Costa,U.S. House,5,Mike Thompson,Y,N,Democratic,37068
Contra Costa,U.S. House,5,Scott Giblin,N,N,Republican,10966
Contra Costa,U.S. House,9,Jerry McNerney,Y,N,Democratic,58693
Contra Costa,U.S. House,9,Antonio C. 'Tony' Amador,N,N,Republican,39905
Contra Costa,U.S. House,11,Mark DeSaulnier,Y,N,Democratic,271063
Contra Costa,U.S. House,11,Nisha Sharma,N,N,Republican,100293
Contra Costa,U.S. House,15,Eric Swalwell,Y,N,Democratic,29069
Contra Costa,U.S. House,15,Alison Hayden,N,N,Republican,14008
Contra Costa,State Senate,3,Bill Dodd,Y,N,Democratic,32462
Contra Costa,State Senate,3,Carlos Santamaria,N,N,Republican,14184
Contra Costa,State Senate,7,Steve Glazer,Y,N,Democratic,264485
Contra Costa,State Senate,7,Julie Mobley,N,N,Republican,133801
Contra Costa,State Senate,9,Nancy Skinner,Y,N,Democratic,93596
Contra Costa,State Senate,9,Jamie Dluzak,N,N,Libertarian,16872
Contra Costa,State Assembly,11,Jim Frazier,Y,N,Democratic,76325
Contra Costa,State Assembly,11,Debra Schwab,N,N,Republican,37983
Contra Costa,State Assembly,14,Tim Grayson,Y,N,Democratic,110804
Contra Costa,State Assembly,14,Janell Elizabeth Proctor,N,N,Republican,50989
Contra Costa,State Assembly,15,Buffy Wicks,Y,N,Democratic,86061
Contra Costa,State Assembly,15,Sara Brink,N,N,No Party Preference,18679
Contra Costa,State Assembly,16,Rebecca Bauer-Kahan,Y,N,Democratic,117609
Contra Costa,State Assembly,16,Joseph A. Rubay,N,N,Republican,53687
Del Norte,President,,Joseph R. Biden,N,N,Democratic,4677
Del Norte,President,,Donald J. Trump,Y,N,Republican,6461
Del Norte,President,,"Roque ""Rocky"" De La Fuente Guerra",N,N,American Independent,53
Del Norte,President,,Howie Hawkins,N,N,Green,78
Del Norte,President,,Jo Jorgensen,N,N,Libertarian,150
Del Norte,President,,Gloria La Riva,N,N,Peace and Freedom,33
Del Norte,President,,Brian Carroll,N,Y,,1
Del Norte,President,,Mark Charles,N,Y,,0
Del Norte,President,,Joseph Kishore,N,Y,,0
Del Norte,President,,Brock Pierce,N,Y,,0
Del Norte,President,,Jesse Ventura,N,Y,,0
Del Norte,U.S. House,2,Jared Huffman,Y,N,Democratic,5103
Del Norte,U.S. House,2,Dale K. Mensing,N,N,Republican,6089
Del Norte,State Assembly,2,Jim Wood,Y,N,Democratic,4666
Del Norte,State Assembly,2,Charlotte Svolos,N,N,Republican,6462
El Dorado,President,,Joseph R. Biden,N,N,Democratic,51621
El Dorado,President,,Donald J. Trump,Y,N,Republican,61838
El Dorado,President,,"Roque ""Rocky"" De La Fuente Guerra",N,N,American Independent,240
El Dorado,President,,Howie Hawkins,N,N,Green,460
El Dorado,President,,Jo Jorgensen,N,N,Libertarian,1871
El Dorado,President,,Gloria La Riva,N,N,Peace and Freedom,108
El Dorado,President,,Brian Carroll,N,Y,,15
El Dorado,President,,Mark Charles,N,Y,,1
El Dorado,President,,Joseph Kishore,N,Y,,0
El Dorado,President,,Brock Pierce,N,Y,,0
El Dorado,President,,Jesse Ventura,N,Y,,5
El Dorado,U.S. House,4,Brynne S. Kennedy,N,N,Democratic,51597
El Dorado,U.S. House,4,Tom McClintock,Y,N,Republican,63710
El Dorado,State Senate,1,Pamela Dawn Swartz,N,N,Democratic,46286
El Dorado,State Senate,1,Brian Dahle,Y,N,Republican,66928
El Dorado,State Assembly,5,Frank Bigelow,Y,N,Republican,48340
El Dorado,State Assembly,6,Jackie Smith,N,N,Democratic,16813
El Dorado,State Assembly,6,Kevin Kiley,Y,N,Republican,27066
Fresno,President,,Joseph R. Biden,N,N,Democratic,193025
Fresno,President,,Donald J. Trump,Y,N,Republican,164464
Fresno,President,,"Roque ""Rocky"" De La Fuente Guerra",N,N,American Independent,1147
Fresno,President,,Howie Hawkins,N,N,Green,1474
Fresno,President,,Jo Jorgensen,N,N,Libertarian,4031
Fresno,President,,Gloria La Riva,N,N,Peace and Freedom,668
Fresno,President,,Brian Carroll,N,Y,,64
Fresno,President,,Mark Charles,N,Y,,32
Fresno,President,,Joseph Kishore,N,Y,,0
Fresno,President,,Brock Pierce,N,Y,,2
Fresno,President,,Jesse Ventura,N,Y,,10
Fresno,U.S. House,4,Brynne S. Kennedy,N,N,Democratic,2048
Fresno,U.S. House,4,Tom McClintock,Y,N,Republican,6533
Fresno,U.S. House,16,Jim Costa,Y,N,Democratic,62650
Fresno,U.S. House,16,Kevin Cookingham,N,N,Republican,27989
Fresno,U.S. House,21,TJ Cox,Y,N,Democratic,28344
Fresno,U.S. House,21,David G. Valadao,N,N,Republican,30095
Fresno,U.S. House,22,Phil Arballo,N,N,Democratic,95231
Fresno,U.S. House,22,Devin G. Nunes,Y,N,Republican,108340
Fresno,State Assembly,23,Jim Patterson,Y,N,Republican,175325
Fresno,State Assembly,31,Joaquin Arambula,Y,N,Democratic,77193
Fresno,State Assembly,31,Fernando Banuelos,N,N,Republican,47551
Glenn,President,,Joseph R. Biden,N,N,Democratic,3995
Glenn,President,,Donald J. Trump,Y,N,Republican,7063
Glenn,President,,"Roque ""Rocky"" De La Fuente Guerra",N,N,American Independent,39
Glenn,President,,Howie Hawkins,N,N,Green,34
Glenn,President,,Jo Jorgensen,N,N,Libertarian,128
Glenn,President,,Gloria La Riva,N,N,Peace and Freedom,33
Glenn,President,,Brian Carroll,N,Y,,5
Glenn,President,,Mark Charles,N,Y,,0
Glenn,President,,Joseph Kishore,N,Y,,0
Glenn,President,,Brock Pierce,N,Y,,0
Glenn,President,,Jesse Ventura,N,Y,,0
Glenn,U.S. House,1,Audrey Denney,N,N,Democratic,220
Glenn,U.S. House,1,Doug LaMalfa,Y,N,Republican,811
Glenn,U.S. House,3,John Garamendi,Y,N,Democratic,3784
Glenn,U.S. House,3,Tamika Hamilton,N,N,Republican,6315
Glenn,State Assembly,3,James R Henson,N,N,Democratic,3260
Glenn,State Assembly,3,James Gallagher,Y,N,Republican,7784
Humboldt,President,,Joseph R. Biden,N,N,Democratic,44768
Humboldt,President,,Donald J. Trump,Y,N,Republican,21770
Humboldt,President,,"Roque ""Rocky"" De La Fuente Guerra",N,N,American Independent,251
Humboldt,President,,Howie Hawkins,N,N,Green,625
Humboldt,President,,Jo Jorgensen,N,N,Libertarian,1132
Humboldt,President,,Gloria La Riva,N,N,Peace and Freedom,282
Humboldt,President,,Brian Carroll,N,Y,,7
Humboldt,President,,Mark Charles,N,Y,,6
Humboldt,President,,Joseph Kishore,N,Y,,0
Humboldt,President,,Brock Pierce,N,Y,,0
Humboldt,President,,Jesse Ventura,N,Y,,2
Humboldt,U.S. House,2,Jared Huffman,Y,N,Democratic,46089
Humboldt,U.S. House,2,Dale K. Mensing,N,N,Republican,20656
Humboldt,State Assembly,2,Jim Wood,Y,N,Democratic,44333
Humboldt,State Assembly,2,Charlotte Svolos,N,N,Republican,22737
Imperial,President,,Joseph R. Biden,N,N,Democratic,34678
Imperial,President,,Donald J. Trump,Y,N,Republican,20847
Imperial,President,,"Roque ""Rocky"" De La Fuente Guerra",N,N,American Independent,291
Imperial,President,,Howie Hawkins,N,N,Green,234
Imperial,President,,Jo Jorgensen,N,N,Libertarian,390
Imperial,President,,Gloria La Riva,N,N,Peace and Freedom,278
Imperial,President,,Brian Carroll,N,Y,,25
Imperial,President,,Mark Charles,N,Y,,0
Imperial,President,,Joseph Kishore,N,Y,,0
Imperial,President,,Brock Pierce,N,Y,,0
Imperial,President,,Jesse Ventura,N,Y,,0
Imperial,U.S. House,51,Juan C. Vargas,Y,N,Democratic,34868
Imperial,U.S. House,51,"Juan M Hidalgo, Jr",N,N,Republican,20087
Imperial,State Assembly,56,Eduardo Garcia,Y,N,Democratic,34821
Imperial,State Assembly,56,America Figueroa,N,N,Republican,20438
Inyo,President,,Joseph R. Biden,N,N,Democratic,4634
Inyo,President,,Donald J. Trump,Y,N,Republican,4620
Inyo,President,,"Roque ""Rocky"" De La Fuente Guerra",N,N,American Independent,32
Inyo,President,,Howie Hawkins,N,N,Green,45
Inyo,President,,Jo Jorgensen,N,N,Libertarian,128
Inyo,President,,Gloria La Riva,N,N,Peace and Freedom,22
Inyo,President,,Brian Carroll,N,Y,,1
Inyo,President,,Mark Charles,N,Y,,2
Inyo,President,,Joseph Kishore,N,Y,,0
Inyo,President,,Brock Pierce,N,Y,,0
Inyo,President,,Jesse Ventura,N,Y,,0
Inyo,U.S. House,8,Christine Bubser,N,N,Democratic,4559
Inyo,U.S. House,8,Jay Obernolte,N,N,Republican,4702
Inyo,State Assembly,26,Drew Phelps,N,N,Democratic,4535
Inyo,State Assembly,26,Devon Mathis,Y,N,Republican,4680
Kern,President,,Joseph R. Biden,N,N,Democratic,133366
Kern,President,,Donald J. Trump,Y,N,Republican,164484
Kern,President,,"Roque ""Rocky"" De La Fuente Guerra",N,N,American Independent,1264
Kern,President,,Howie Hawkins,N,N,Green,1074
Kern,President,,Jo Jorgensen,N,N,Libertarian,3942
Kern,President,,Gloria La Riva,N,N,Peace and Freedom,1096
Kern,President,,Brian Carroll,N,Y,,35
Kern,President,,Mark Charles,N,Y,,20
Kern,President,,Joseph Kishore,N,Y,,0
Kern,President,,Brock Pierce,N,Y,,2
Kern,President,,Jesse Ventura,N,Y,,9
Kern,U.S. House,21,TJ Cox,Y,N,Democratic,36653
Kern,U.S. House,21,David G. Valadao,N,N,Republican,26061
Kern,U.S. House,23,Kim Mangone,N,N,Democratic,86586
Kern,U.S. House,23,Kevin McCarthy,Y,N,Republican,154218
Kern,State Assembly,26,Drew Phelps,N,N,Democratic,2370
Kern,State Assembly,26,Devon Mathis,Y,N,Republican,4964
Kern,State Assembly,32,Rudy Salas,Y,N,Democratic,44198
Kern,State Assembly,32,Todd Cotta,N,N,Republican,18329
Kern,State Assembly,34,Julie Solis,N,N,Democratic,68716
Kern,State Assembly,34,Vince Fong,Y,N,Republican,146611
Kern,State Assembly,36,Steve Fox,N,N,Democratic,4996
Kern,State Assembly,36,Tom Lackey,Y,N,Republican,10157
Kings,President,,Joseph R. Biden,N,N,Democratic,18699
Kings,President,,Donald J. Trump,Y,N,Republican,24072
Kings,President,,"Roque ""Rocky"" De La Fuente Guerra",N,N,American Independent,180
Kings,President,,Howie Hawkins,N,N,Green,125
Kings,President,,Jo Jorgensen,N,N,Libertarian,604
Kings,President,,Gloria La Riva,N,N,Peace and Freedom,178
Kings,President,,Brian Carroll,N,Y,,0
Kings,President,,Mark Charles,N,Y,,1
Kings,President,,Joseph Kishore,N,Y,,0
Kings,President,,Brock Pierce,N,Y,,1
Kings,President,,Jesse Ventura,N,Y,,1
Kings,U.S. House,21,TJ Cox,Y,N,Democratic,16611
Kings,U.S. House,21,David G. Valadao,N,N,Republican,26983
Kings,State Assembly,32,Rudy Salas,Y,N,Democratic,19252
Kings,State Assembly,32,Todd Cotta,N,N,Republican,23999
Lake,President,,Joseph R. Biden,N,N,Democratic,14941
Lake,President,,Donald J. Trump,Y,N,Republican,13123
Lake,President,,"Roque ""Rocky"" De La Fuente Guerra",N,N,American Independent,89
Lake,President,,Howie Hawkins,N,N,Green,207
Lake,President,,Jo Jorgensen,N,N,Libertarian,374
Lake,President,,Gloria La Riva,N,N,Peace and Freedom,66
Lake,President,,Brian Carroll,N,Y,,2
Lake,President,,Mark Charles,N,Y,,5
Lake,President,,Joseph Kishore,N,Y,,1
Lake,President,,Brock Pierce,N,Y,,2
Lake,President,,Jesse Ventura,N,Y,,2
Lake,U.S. House,3,John Garamendi,Y,N,Democratic,6659
Lake,U.S. House,3,Tamika Hamilton,N,N,Republican,5999
Lake,U.S. House,5,Mike Thompson,Y,N,Democratic,9260
Lake,U.S. House,5,Scott Giblin,N,N,Republican,6398
Lake,State Assembly,4,Cecilia Aguiar-Curry,Y,N,Democratic,15023
Lake,State Assembly,4,Matthew L. Nelson,N,N,Republican,13155
Lassen,President,,Joseph R. Biden,N,N,Democratic,2799
Lassen,President,,Donald J. Trump,Y,N,Republican,8970
Lassen,President,,"Roque ""Rocky"" De La Fuente Guerra",N,N,American Independent,26
Lassen,President,,Howie Hawkins,N,N,Green,31
Lassen,President,,Jo Jorgensen,N,N,Libertarian,141
Lassen,President,,Gloria La Riva,N,N,Peace and Freedom,18
Lassen,President,,Brian Carroll,N,Y,,0
Lassen,President,,Mark Charles,N,Y,,0
Lassen,President,,Joseph Kishore,N,Y,,0
Lassen,President,,Brock Pierce,N,Y,,0
Lassen,President,,Jesse Ventura,N,Y,,2
Lassen,U.S. House,1,Audrey Denney,N,N,Democratic,3000
Lassen,U.S. House,1,Doug LaMalfa,Y,N,Republican,8892
Lassen,State Senate,1,Pamela Dawn Swartz,N,N,Democratic,2446
Lassen,State Senate,1,Brian Dahle,Y,N,Republican,9259
Lassen,State Assembly,1,Elizabeth L Betancourt,N,N,Democratic,2703
Lassen,State Assembly,1,Megan Dahle,Y,N,Republican,9048
Los Angeles,President,,Joseph R. Biden,N,N,Democratic,3028885
Los Angeles,President,,Donald J. Trump,Y,N,Republican,1145530
Los Angeles,President,,"Roque ""Rocky"" De La Fuente Guerra",N,N,American Independent,15999
Los Angeles,President,,Howie Hawkins,N,N,Green,21660
Los Angeles,President,,Jo Jorgensen,N,N,Libertarian,35452
Los Angeles,President,,Gloria La Riva,N,N,Peace and Freedom,15917
Los Angeles,President,,Brian Carroll,N,Y,,485
Los Angeles,President,,Mark Charles,N,Y,,127
Los Angeles,President,,Joseph Kishore,N,Y,,30
Los Angeles,President,,Brock Pierce,N,Y,,72
Los Angeles,President,,Jesse Ventura,N,Y,,208
Los Angeles,U.S. House,23,Kim Mangone,N,N,Democratic,17381
Los Angeles,U.S. House,23,Kevin McCarthy,Y,N,Republican,18920
Los Angeles,U.S. House,25,Christy Smith,N,N,Democratic,138441
Los Angeles,U.S. House,25,Mike Garcia,N,N,Republican,133066
Los Angeles,U.S. House,26,Julia Brownley,Y,N,Democratic,2805
Los Angeles,U.S. House,26,Ronda Baldwin-Kennedy,N,N,Republican,2420
Los Angeles,U.S. House,27,Judy Chu,Y,N,Democratic,211153
Los Angeles,U.S. House,27,Johnny J. Nalbandian,N,N,Republican,84398
Los Angeles,U.S. House,28,Adam B. Schiff,Y,N,Democratic,244271
Los Angeles,U.S. House,28,Eric Early,N,N,Republican,91928
Los Angeles,U.S. House,29,Tony Cardenas,Y,N,Democratic,119420
Los Angeles,U.S. House,29,AngÃ©lica MarÃ­a DueÃ±as,N,N,Democratic,91524
Los Angeles,U.S. House,30,Brad Sherman,Y,N,Democratic,239321
Los Angeles,U.S. House,30,Mark S. Reed,N,N,Republican,104868
Los Angeles,U.S. House,32,Grace F. Napolitano,Y,N,Democratic,172942
Los Angeles,U.S. House,32,Joshua M. Scott,N,N,Republican,86818
Los Angeles,U.S. House,33,Ted W. Lieu,Y,N,Democratic,257094
Los Angeles,U.S. House,33,James P. Bradley,N,N,Republican,123334
Los Angeles,U.S. House,34,Jimmy Gomez,Y,N,Democratic,108792
Los Angeles,U.S. House,34,David Kim,N,N,Democratic,96554
Los Angeles,U.S. House,35,Norma J. Torres,Y,N,Democratic,34740
Los Angeles,U.S. House,35,Mike Cargile,N,N,Republican,12004
Los Angeles,U.S. House,37,Karen Bass,Y,N,Democratic,254916
Los Angeles,U.S. House,37,Errol Webber,N,N,Republican,41705
Los Angeles,U.S. House,38,Linda T. SÃ¡nchez,Y,N,Democratic,185963
Los Angeles,U.S. House,38,Michael Tolar,N,N,Democratic,63628
Los Angeles,U.S. House,39,Gil Cisneros,Y,N,Democratic,45870
Los Angeles,U.S. House,39,Young Kim,N,N,Republican,38682
Los Angeles,U.S. House,40,Lucille Roybal-Allard,Y,N,Democratic,135572
Los Angeles,U.S. House,40,C Antonio Delgado,N,N,Republican,50809
Los Angeles,U.S. House,43,Maxine Waters,Y,N,Democratic,199210
Los Angeles,U.S. House,43,Joe E. Collins III,N,N,Republican,78688
Los Angeles,U.S. House,44,Nanette Diaz Barragan,Y,N,Democratic,139661
Los Angeles,U.S. House,44,Analilia Joya,N,N,Democratic,66375
Los Angeles,U.S. House,47,Alan Lowenthal,Y,N,Democratic,129985
Los Angeles,U.S. House,47,John Briscoe,N,N,Republican,52151
Los Angeles,State Senate,21,Kipp Mueller,N,N,Democratic,136022
Los Angeles,State Senate,21,Scott Wilk,Y,N,Republican,130012
Los Angeles,State Senate,23,Abigail Medina,N,N,Democratic,8
Los Angeles,State Senate,23,Rosilicie Ochoa Bogh,N,N,Republican,17
Los Angeles,State Senate,25,Anthony J. Portantino,Y,N,Democratic,274855
Los Angeles,State Senate,25,Kathleen Hazelton,N,N,Republican,147267
Los Angeles,State Senate,27,Henry Stern,Y,N,Democratic,188276
Los Angeles,State Senate,27,Houman Salem,N,N,Republican,103363
Los Angeles,State Senate,29,Josh Newman,N,N,Democratic,36524
Los Angeles,State Senate,29,Ling Ling Chang,Y,N,Republican,33513
Los Angeles,State Senate,33,Elizabeth C. Castillo,N,N,Democratic,101831
Los Angeles,State Senate,33,Lena Gonzalez,Y,N,Democratic,164752
Los Angeles,State Senate,35,Steven Craig Bradford,Y,N,Democratic,234881
Los Angeles,State Senate,35,Anthony Perry,N,N,American Independent,89080
Los Angeles,State Assembly,36,Steve Fox,N,N,Democratic,75849
Los Angeles,State Assembly,36,Tom Lackey,Y,N,Republican,86165
Los Angeles,State Assembly,38,Suzette Martinez Valladares,N,N,Republican,107535
Los Angeles,State Assembly,38,Lucie Lapointe Volotzky,N,N,Republican,29180
Los Angeles,State Assembly,39,Luz Maria Rivas,Y,N,Democratic,117207
Los Angeles,State Assembly,39,Ricardo Benitez,N,N,Republican,41033
Los Angeles,State Assembly,41,Chris Holden,Y,N,Democratic,135323
Los Angeles,State Assembly,41,Robin A. Hvidston,N,N,Republican,59257
Los Angeles,State Assembly,43,Laura Friedman,Y,N,Democratic,149214
Los Angeles,State Assembly,43,Mike Graves,N,N,Republican,65270
Los Angeles,State Assembly,44,Jacqui Irwin,Y,N,Democratic,2880
Los Angeles,State Assembly,44,Denise Pedrow,N,N,Republican,2320
Los Angeles,State Assembly,45,Jesse Gabriel,Y,N,Democratic,136244
Los Angeles,State Assembly,45,Jeffi Girgenti,N,N,Republican,69218
Los Angeles,State Assembly,46,Lanira K. Murphy,N,N,Democratic,60595
Los Angeles,State Assembly,46,Adrin Nazarian,Y,N,Democratic,104987
Los Angeles,State Assembly,48,Blanca E. Rubio,Y,N,Democratic,126430
Los Angeles,State Assembly,49,Ed Chau,Y,N,Democratic,107976
Los Angeles,State Assembly,49,Burton Brink,N,N,Republican,50988
Los Angeles,State Assembly,50,Richard Bloom,Y,N,Democratic,166503
Los Angeles,State Assembly,50,Will Hess,N,N,Democratic,40709
Los Angeles,State Assembly,51,Wendy Carrillo,Y,N,Democratic,127026
Los Angeles,State Assembly,52,Freddie Rodriguez,Y,N,Democratic,34798
Los Angeles,State Assembly,52,Toni Holle,N,N,Republican,11322
Los Angeles,State Assembly,53,Godfrey Santos Plata,N,N,Democratic,49580
Los Angeles,State Assembly,53,Miguel Santiago,Y,N,Democratic,63776
Los Angeles,State Assembly,54,Tracy Bernard Jones,N,N,Democratic,66915
Los Angeles,State Assembly,54,Sydney Kamlager,Y,N,Democratic,119818
Los Angeles,State Assembly,55,Andrew E. Rodriguez,N,N,Democratic,35458
Los Angeles,State Assembly,55,Phillip Chen,Y,N,Republican,34151
Los Angeles,State Assembly,57,Lisa Calderon,N,N,Democratic,114122
Los Angeles,State Assembly,57,Jessica Martinez,N,N,Republican,74371
Los Angeles,State Assembly,58,Cristina Garcia,Y,N,Democratic,122864
Los Angeles,State Assembly,58,Margaret Villa,N,N,Green,41100
Los Angeles,State Assembly,59,Reggie Jones-Sawyer,Y,N,Democratic,63448
Los Angeles,State Assembly,59,Efren Martinez,N,N,Democratic,46853
Los Angeles,State Assembly,62,Autumn R. Burke,Y,N,Democratic,158832
Los Angeles,State Assembly,62,Robert A. Steele,N,N,Republican,37500
Los Angeles,State Assembly,63,Maria D. Estrada,N,N,Democratic,61611
Los Angeles,State Assembly,63,Anthony Rendon,Y,N,Democratic,71460
Los Angeles,State Assembly,64,Mike Anthony Gipson,Y,N,Democratic,83559
Los Angeles,State Assembly,64,Fatima S. Iqbal-Zubair,N,N,Democratic,56875
Los Angeles,State Assembly,66,Al Muratsuchi,Y,N,Democratic,145874
Los Angeles,State Assembly,66,Arthur C. Schaper,N,N,Republican,84867
